datetime,open,high,low,close,volume
2021-10-05,2.951,5.437,2.951,4.73,42047404.9
2021-10-06,4.732,5.19,4.005,4.37,22413038.0
2021-10-07,4.372,4.399,3.69,3.809,10611730.2
2021-10-08,3.814,4.075,3.534,3.672,6683106.7
2021-10-09,3.674,4.144,3.598,3.707,7293931.1
2021-10-10,3.711,3.864,3.404,3.451,4062361.8
2021-10-11,3.45,4.23,3.382,3.793,7718066.5
2021-10-12,3.792,3.824,3.4,3.545,4086111.1
2021-10-13,3.541,3.699,3.265,3.477,4529033.4
2021-10-14,3.472,3.989,3.452,3.661,5273017.7
2021-10-15,3.661,3.85,3.475,3.578,3548085.0
2021-10-16,3.578,3.81,3.488,3.711,2821992.7
2021-10-17,3.716,4.139,3.639,3.847,6035062.7
2021-10-18,3.843,4.06,3.584,3.641,2632118.6
2021-10-19,3.642,3.71,3.55,3.623,1431137.8
2021-10-20,3.623,3.686,3.454,3.565,2268452.8
2021-10-21,3.565,3.787,3.316,3.358,3003003.5
2021-10-22,3.354,3.429,3.173,3.272,2093632.4
2021-10-23,3.273,3.369,3.11,3.123,1496761.2
2021-10-24,3.124,3.249,2.95,2.975,2128362.1
2021-10-25,2.975,3.212,2.956,3.064,2469990.8
2021-10-26,3.066,3.208,3.013,3.101,2144587.0
2021-10-27,3.11,3.18,2.555,2.576,4298538.7
2021-10-28,2.573,2.736,2.488,2.667,4069826.1
2021-10-29,2.665,3.78,2.64,3.4,12087057.4
2021-10-30,3.404,3.588,3.18,3.283,6765137.4
2021-10-31,3.285,3.574,2.911,3.068,4080978.7
2021-11-01,3.074,3.182,2.879,2.975,2684144.3
2021-11-02,2.978,3.17,2.898,3.01,3566433.6
2021-11-03,3.004,3.075,2.875,2.934,4049956.4
2021-11-04,2.936,3.051,2.71,2.797,3247471.3
2021-11-05,2.794,2.877,2.738,2.826,2015865.0
2021-11-06,2.825,3.15,2.7,2.857,5159230.5
2021-11-07,2.853,2.988,2.805,2.87,2030357.6
2021-11-08,2.872,2.875,2.751,2.81,1892672.8
2021-11-09,2.805,2.897,2.724,2.823,2186302.3
2021-11-10,2.819,2.87,2.512,2.624,2054041.6
2021-11-11,2.627,2.725,2.595,2.679,1602328.4
2021-11-12,2.677,3.05,2.657,2.943,3955082.8
2021-11-13,2.937,2.959,2.748,2.781,1729091.1
2021-11-14,2.781,2.828,2.646,2.736,1924635.0
2021-11-15,2.74,2.82,2.646,2.69,3393690.5
2021-11-16,2.688,2.69,2.182,2.29,4232756.3
2021-11-17,2.289,2.41,2.2,2.372,2272536.9
2021-11-18,2.374,2.625,2.118,2.184,7091622.8
2021-11-19,2.181,2.536,2.065,2.328,4234913.4
2021-11-20,2.324,3.25,2.28,2.9,14490501.9
2021-11-21,2.9,3.2,2.583,2.603,6689710.2
2021-11-22,2.604,2.793,2.4,2.486,3884654.3
2021-11-23,2.488,2.694,2.42,2.597,3198461.5
2021-11-24,2.597,2.9,2.576,2.648,4410560.3
2021-11-25,2.648,3.15,2.606,2.776,4887012.5
2021-11-26,2.776,2.831,2.131,2.318,8151036.1
2021-11-27,2.327,2.449,2.216,2.253,3260829.9
2021-11-28,2.25,2.381,2.08,2.34,3474976.1
2021-11-29,2.34,2.58,2.253,2.389,4374352.1
2021-11-30,2.39,2.555,2.264,2.28,3416664.1
2021-12-01,2.28,2.588,2.276,2.422,7120278.2
2021-12-02,2.423,2.45,2.245,2.354,5406297.2
2021-12-03,2.356,2.451,2.1,2.19,3297243.1
2021-12-04,2.19,2.19,1.333,1.792,4760932.4
2021-12-05,1.792,1.866,1.535,1.637,4112435.9
2021-12-06,1.635,1.635,1.402,1.609,4778322.6
2021-12-07,1.603,1.922,1.563,1.642,5525360.6
2021-12-08,1.643,1.748,1.565,1.653,2792676.0
2021-12-09,1.651,1.789,1.475,1.482,3119015.2
2021-12-10,1.478,1.59,1.4,1.472,3666060.1
2021-12-11,1.476,1.743,1.447,1.633,5104636.9
2021-12-12,1.635,1.715,1.566,1.644,1917923.8
2021-12-13,1.644,1.662,1.365,1.394,2134484.9
2021-12-14,1.394,1.552,1.364,1.482,2509951.5
2021-12-15,1.482,1.599,1.371,1.56,1976554.2
2021-12-16,1.559,1.606,1.537,1.547,1108734.7
2021-12-17,1.552,1.775,1.533,1.631,3745175.8
2021-12-18,1.628,1.689,1.549,1.568,1121719.6
2021-12-19,1.566,1.6,1.518,1.55,1216346.2
2021-12-20,1.55,1.57,1.413,1.51,1210774.2
2021-12-21,1.514,1.645,1.494,1.633,970419.4
2021-12-22,1.63,1.651,1.57,1.597,822595.6
2021-12-23,1.597,1.8,1.589,1.746,1875370.8
2021-12-24,1.751,1.847,1.663,1.7,2190805.7
2021-12-25,1.701,1.986,1.681,1.936,3888115.5
2021-12-26,1.937,2.314,1.856,2.225,11434308.1
2021-12-27,2.221,2.4,2.006,2.014,4841453.9
2021-12-28,2.011,2.014,1.716,1.767,4789576.2
2021-12-29,1.767,1.807,1.652,1.68,1673693.5
2021-12-30,1.679,1.769,1.652,1.688,1278371.4
2021-12-31,1.691,1.77,1.591,1.623,1357682.9
2022-01-01,1.622,1.73,1.622,1.705,928609.9
2022-01-02,1.705,1.948,1.678,1.828,2478915.0
2022-01-03,1.829,1.851,1.676,1.718,1797160.6
2022-01-04,1.716,1.745,1.63,1.637,1283563.3
2022-01-05,1.633,1.696,1.49,1.57,1464326.8
2022-01-06,1.566,1.688,1.493,1.644,1684183.3
2022-01-07,1.647,1.651,1.465,1.546,1800817.1
2022-01-08,1.547,1.589,1.404,1.45,808899.5
2022-01-09,1.445,1.528,1.437,1.455,750252.9
2022-01-10,1.452,1.464,1.295,1.335,1979646.2
2022-01-11,1.336,1.391,1.324,1.352,1179363.1
2022-01-12,1.353,1.475,1.338,1.433,1934293.9
2022-01-13,1.43,1.508,1.362,1.371,1388317.2
2022-01-14,1.371,1.41,1.315,1.381,1979558.5
2022-01-15,1.381,1.42,1.364,1.388,956948.0
2022-01-16,1.388,1.397,1.343,1.384,700011.6
2022-01-17,1.389,1.485,1.33,1.35,1895768.5
2022-01-18,1.35,1.368,1.261,1.281,2813967.3
2022-01-19,1.279,1.288,1.155,1.165,2393626.4
2022-01-20,1.166,1.264,1.106,1.112,1014831.3
2022-01-21,1.111,1.128,0.938,0.966,4413230.0
2022-01-22,0.966,0.988,0.807,0.899,4219128.0
2022-01-23,0.901,0.935,0.797,0.845,3763065.3
2022-01-24,0.845,0.845,0.697,0.792,3830244.0
2022-01-25,0.794,0.836,0.768,0.812,1447538.3
2022-01-26,0.813,0.896,0.771,0.792,1916285.0
2022-01-27,0.792,0.838,0.755,0.801,1055503.2
2022-01-28,0.8,0.853,0.782,0.853,726423.4
