datetime,open,high,low,close,volume
2021-07-05,37.48,42.0,33.37,34.28,269443.75
2021-07-06,34.2,37.4,33.32,33.79,93122.25
2021-07-07,33.79,34.88,33.33,33.54,45330.58
2021-07-08,33.54,33.57,30.01,30.35,59515.8
2021-07-09,30.33,32.31,29.48,30.71,34136.34
2021-07-10,30.67,31.35,30.0,30.03,19586.39
2021-07-11,30.17,30.88,29.6,30.06,29272.72
2021-07-12,30.01,32.4,27.49,28.26,45290.91
2021-07-13,28.26,29.12,26.32,26.76,31398.67
2021-07-14,26.77,27.35,25.99,26.9,14122.15
2021-07-15,26.87,29.02,24.56,25.01,68500.19
2021-07-16,25.05,25.57,23.5,24.15,60799.74
2021-07-17,24.13,24.59,22.13,22.8,45950.51
2021-07-18,22.79,24.7,22.54,23.4,54875.81
2021-07-19,23.43,25.09,19.95,20.17,126082.19
2021-07-20,20.2,21.45,19.08,19.84,150542.42
2021-07-21,19.93,21.34,19.68,20.3,120255.91
2021-07-22,20.31,21.73,20.03,21.08,122850.51
2021-07-23,21.08,23.8,20.76,22.71,146828.14
2021-07-24,22.73,22.99,21.58,22.06,99489.46
2021-07-25,22.09,23.8,21.79,22.44,99497.52
2021-07-26,22.48,23.53,21.51,21.8,132256.6
2021-07-27,21.81,22.31,21.21,21.89,46869.3
2021-07-28,21.86,21.9,20.66,20.93,50753.52
2021-07-29,20.93,21.26,20.36,20.86,95146.96
2021-07-30,20.9,21.88,20.06,21.15,131857.73
2021-07-31,21.18,22.87,21.04,22.55,145150.24
2021-08-01,22.51,24.98,21.94,22.47,162693.91
2021-08-02,22.43,23.31,21.65,22.04,68695.54
2021-08-03,21.99,21.99,20.7,20.74,68455.3
2021-08-04,20.8,22.1,20.52,21.68,65351.03
2021-08-05,21.69,23.59,21.26,21.54,149013.99
2021-08-06,21.55,22.89,21.45,22.35,146985.31
2021-08-07,22.36,23.56,21.91,23.3,199290.88
2021-08-08,23.3,33.93,23.2,27.44,1203522.21
2021-08-09,27.44,28.0,25.3,27.08,348622.73
2021-08-10,27.15,27.45,25.64,26.13,129270.2
2021-08-11,26.15,28.26,26.0,27.18,118074.75
2021-08-12,27.18,28.21,24.1,25.63,109457.49
2021-08-13,25.63,27.34,25.11,27.23,86652.27
2021-08-14,27.24,27.66,25.77,26.39,82409.91
2021-08-15,26.43,26.93,25.96,26.68,53816.92
2021-08-16,26.69,28.21,26.39,26.46,110904.15
2021-08-17,26.45,32.0,26.04,29.46,426691.8
2021-08-18,29.48,30.34,27.61,28.15,140949.9
2021-08-19,28.15,28.59,26.72,27.58,80035.64
2021-08-20,27.57,29.32,27.4,28.73,109842.21
