datetime,open,high,low,close,volume
2020-06-25,209.18,250.0,202.97,228.0,37101.7085
2020-06-26,227.54,269.0,226.11,261.73,26524.5204
2020-06-27,262.04,264.76,222.28,231.0,15940.11709
2020-06-28,231.1,253.0,226.15,245.45,10431.86668
2020-06-29,245.3,245.99,232.0,233.44,8236.60397
2020-06-30,233.54,240.45,213.0,216.66,16078.22456
2020-07-01,216.59,219.0,200.05,201.09,14551.42448
2020-07-02,200.56,204.77,172.98,180.01,29718.04212
2020-07-03,180.21,193.88,170.42,171.91,21353.24222
2020-07-04,171.62,193.0,163.43,180.42,25973.55181
2020-07-05,180.5,220.0,177.7,201.66,37187.92325
2020-07-06,200.85,204.23,188.5,194.83,26148.04907
2020-07-07,194.92,197.0,183.05,187.71,21819.0676
2020-07-08,187.71,188.9,180.77,184.57,24830.91003
2020-07-09,184.91,188.5,176.0,179.86,18763.35938
2020-07-10,180.13,180.94,172.15,175.05,13154.8959
2020-07-11,175.43,184.64,173.94,178.24,19248.08138
2020-07-12,177.95,186.21,167.0,176.07,17858.55898
2020-07-13,176.07,178.8,158.59,166.47,18207.40692
2020-07-14,166.27,167.5,160.01,164.19,18400.91505
2020-07-15,164.17,167.8,159.67,160.17,11736.60572
2020-07-16,160.4,163.99,152.23,154.79,18819.97966
2020-07-17,154.79,176.5,154.11,167.24,44563.02339
2020-07-18,167.04,168.0,161.0,163.64,22704.20545
2020-07-19,163.8,164.99,159.36,163.61,11709.43764
2020-07-20,163.6,174.04,154.0,157.87,46633.59127
2020-07-21,157.8,161.99,157.02,159.58,15133.94545
2020-07-22,159.79,159.95,153.16,157.73,24133.91106
2020-07-23,157.49,162.41,155.0,156.0,22840.39826
2020-07-24,156.25,158.0,154.56,155.33,12258.6424
2020-07-25,155.16,157.43,153.99,155.82,14492.32431
2020-07-26,155.82,164.0,153.55,157.45,32064.7442
2020-07-27,157.47,158.52,121.55,135.78,64309.47985
2020-07-28,135.74,140.67,129.3,136.69,28543.13028
2020-07-29,136.5,139.98,131.17,133.18,14990.37867
2020-07-30,133.2,135.89,131.06,133.0,13599.73858
2020-07-31,133.04,141.0,128.91,134.63,31288.09389
2020-08-01,134.6,143.97,134.0,137.89,35554.32505
2020-08-02,137.89,139.05,110.0,127.39,37242.04762
2020-08-03,127.48,133.0,124.69,127.2,15817.55962
2020-08-04,126.99,133.6,126.62,131.91,18123.99709
2020-08-05,132.19,141.5,128.97,134.85,36588.96519
2020-08-06,134.72,142.5,132.27,136.86,30213.66065
2020-08-07,136.7,156.34,136.25,154.46,72474.24744
2020-08-08,154.68,160.66,147.6,152.86,48290.83884
2020-08-09,152.64,175.0,148.0,170.89,60988.44859
2020-08-10,170.91,188.0,165.0,176.62,61794.1367
2020-08-11,176.58,198.55,153.26,195.8,94712.82577
2020-08-12,196.0,267.5,190.55,218.38,290189.1276
2020-08-13,218.38,234.76,185.0,205.33,223478.28529
2020-08-14,205.02,217.0,192.39,196.06,99246.53034
2020-08-15,196.32,213.0,186.58,196.35,80423.05705
2020-08-16,196.36,207.4,191.23,201.08,52742.67709
2020-08-17,201.4,202.54,182.93,184.21,61169.19873
2020-08-18,184.76,190.66,172.0,187.5,69688.74337
2020-08-19,187.42,211.6,175.57,182.83,123241.00949
2020-08-20,182.71,187.75,176.36,179.75,45671.27364
2020-08-21,179.96,190.0,162.84,169.52,81779.88332
2020-08-22,169.52,175.21,160.34,173.88,38431.16018
