datetime,open,high,low,close,volume
2020-07-23,509.5,845.0,509.5,529.32,9085.38992
2020-07-24,530.15,553.0,503.11,514.0,2393.36207
2020-07-25,514.0,536.86,498.53,525.43,1704.52818
2020-07-26,525.25,552.57,511.7,521.46,1785.90235
2020-07-27,520.59,530.86,501.69,509.07,1627.76829
2020-07-28,510.76,519.58,498.0,516.68,905.44999
2020-07-29,517.58,549.0,512.0,544.84,1517.14304
2020-07-30,544.93,578.34,534.62,572.22,2457.57003
2020-07-31,572.39,574.76,552.69,555.17,1172.60762
2020-08-01,555.29,598.77,551.74,594.69,1944.67198
2020-08-02,594.69,631.34,529.0,567.72,2949.63491
2020-08-03,566.96,607.83,566.71,593.0,1031.74562
2020-08-04,593.0,612.23,577.79,584.49,1558.03534
2020-08-05,584.56,599.74,581.47,592.67,600.58339
2020-08-06,592.67,594.3,577.32,586.7,772.49443
2020-08-07,585.93,593.37,562.54,579.36,835.98288
2020-08-08,579.44,586.19,574.88,582.48,429.79237
2020-08-09,583.55,597.78,581.15,595.78,1173.10211
2020-08-10,596.38,634.16,596.21,623.18,2794.19341
2020-08-11,623.62,627.52,581.38,599.75,2709.99998
2020-08-12,599.74,841.0,599.73,719.99,16802.01714
2020-08-13,719.99,875.0,688.37,789.72,32845.8781
2020-08-14,789.72,814.76,717.78,729.14,9359.2473
2020-08-15,729.21,731.78,680.0,695.59,5691.97169
2020-08-16,694.12,705.33,683.41,693.27,2800.09057
2020-08-17,693.48,728.69,680.0,686.0,5664.16441
2020-08-18,685.18,693.81,645.01,674.86,3928.30457
2020-08-19,674.75,683.31,622.0,648.9,5216.0736
2020-08-20,649.48,697.97,646.35,661.69,4491.17533
2020-08-21,661.54,671.29,601.5,603.17,4996.22357
2020-08-22,603.37,650.66,593.59,642.87,7824.11616
2020-08-23,642.8,650.3,621.36,638.49,2805.33554
2020-08-24,638.71,696.35,635.91,677.33,7761.75368
2020-08-25,677.17,678.41,609.65,638.1,7333.41816
2020-08-26,638.09,655.0,629.0,640.77,5185.20344
2020-08-27,640.77,646.02,609.25,614.97,3986.94846
2020-08-28,617.99,636.78,610.63,635.96,3682.24313
2020-08-29,636.3,644.52,629.17,631.21,2524.58011
2020-08-30,630.83,686.32,629.0,675.83,4964.07386
2020-08-31,677.41,688.0,656.09,681.61,2693.2008
2020-09-01,681.61,745.56,672.18,718.3,8030.67015
2020-09-02,718.17,719.49,622.88,661.43,5437.03075
2020-09-03,660.78,666.74,559.5,560.0,5229.22817
2020-09-04,559.51,604.29,551.01,586.47,4657.69243
2020-09-05,584.76,599.22,499.47,513.78,6110.91458
2020-09-06,513.92,547.62,481.49,546.38,5266.04652
2020-09-07,544.2,551.24,500.94,527.73,3757.29813
2020-09-08,529.08,530.71,500.0,507.59,2808.59182
2020-09-09,506.89,534.96,500.39,522.0,2206.37414
2020-09-10,522.47,557.66,522.4,533.27,2340.59957
