datetime,open,high,low,close,volume
2020-06-25 06:00:00,209.18,250.0,209.18,230.94,5315.93609
2020-06-25 07:00:00,230.95,231.5,220.1,223.58,1157.88623
2020-06-25 08:00:00,223.58,227.0,218.25,222.21,1112.37682
2020-06-25 09:00:00,222.55,228.74,219.47,224.82,658.96396
2020-06-25 10:00:00,225.54,225.59,217.84,219.0,383.49864
2020-06-25 11:00:00,218.99,221.9,212.11,212.13,601.92911
2020-06-25 12:00:00,212.14,213.47,202.97,207.94,1056.68828
2020-06-25 13:00:00,207.95,219.3,206.02,217.97,664.57802
2020-06-25 14:00:00,217.97,231.48,215.02,229.8,1365.34485
2020-06-25 15:00:00,229.8,230.49,221.4,221.4,1860.81005
2020-06-25 16:00:00,222.0,229.38,220.45,226.91,776.71787
2020-06-25 17:00:00,227.2,239.0,214.44,225.1,5772.30575
2020-06-25 18:00:00,225.1,226.29,203.0,212.8,5596.39542
2020-06-25 19:00:00,212.84,218.83,210.69,217.32,2233.80434
2020-06-25 20:00:00,217.37,230.0,216.51,226.5,1980.83179
2020-06-25 21:00:00,226.67,244.0,225.48,235.19,4365.39562
2020-06-25 22:00:00,235.14,241.01,229.54,232.35,1427.41191
2020-06-25 23:00:00,232.35,233.09,226.43,228.0,770.83375
2020-06-26 00:00:00,227.54,242.0,226.11,238.99,1364.26358
2020-06-26 01:00:00,238.99,247.51,238.99,245.74,1404.67428
2020-06-26 02:00:00,245.74,265.0,235.1,243.06,1240.64475
2020-06-26 03:00:00,242.85,255.82,238.5,252.96,1869.58357
2020-06-26 04:00:00,252.96,259.04,240.51,247.04,1775.93215
2020-06-26 05:00:00,247.21,247.71,237.18,240.34,1408.50596
2020-06-26 06:00:00,240.15,251.42,239.88,249.91,1265.14267
2020-06-26 07:00:00,249.91,250.17,243.01,246.36,954.16686
2020-06-26 08:00:00,246.39,247.83,242.02,245.16,899.71672
2020-06-26 09:00:00,245.72,246.48,238.5,242.14,710.06316
2020-06-26 10:00:00,241.73,243.03,238.0,243.03,672.80558
2020-06-26 11:00:00,243.03,244.99,240.99,244.99,423.36548
2020-06-26 12:00:00,243.63,248.49,240.53,248.23,681.17514
2020-06-26 13:00:00,248.45,257.64,248.45,253.04,1824.76753
2020-06-26 14:00:00,253.15,258.71,244.64,250.88,1542.09186
2020-06-26 15:00:00,250.89,253.14,246.47,249.95,396.40982
2020-06-26 16:00:00,249.95,257.3,249.95,255.57,752.99939
2020-06-26 17:00:00,255.57,259.0,251.35,254.05,624.39087
2020-06-26 18:00:00,254.04,259.86,251.45,259.35,658.4463
2020-06-26 19:00:00,259.2,269.0,259.0,265.94,2485.8093
2020-06-26 20:00:00,265.94,267.99,257.18,263.55,1242.23493
