datetime,open,high,low,close,volume
2023-01-12 08:00:00,0.5254,0.8424,0.52,0.5304,23972725.9
2023-01-12 09:00:00,0.53,0.5479,0.5,0.5126,4091183.0
2023-01-12 10:00:00,0.5105,0.524,0.4943,0.5054,2239930.6
2023-01-12 11:00:00,0.5055,0.52,0.4968,0.5076,1191571.0
2023-01-12 12:00:00,0.5077,0.5161,0.5006,0.5094,1088909.6
2023-01-12 13:00:00,0.5081,0.5099,0.4774,0.5001,1994265.6
2023-01-12 14:00:00,0.5001,0.505,0.4835,0.493,955328.0
2023-01-12 15:00:00,0.4924,0.4971,0.47,0.4958,712593.9
2023-01-12 16:00:00,0.4958,0.4974,0.4845,0.4953,539391.9
2023-01-12 17:00:00,0.4943,0.5041,0.4923,0.5021,592103.9
2023-01-12 18:00:00,0.5013,0.5052,0.496,0.5002,455108.8
2023-01-12 19:00:00,0.5002,0.5055,0.4849,0.4943,932202.5
2023-01-12 20:00:00,0.4943,0.5,0.4876,0.4959,379714.5
2023-01-12 21:00:00,0.4958,0.512,0.4951,0.509,553431.1
2023-01-12 22:00:00,0.5094,0.51,0.5005,0.5033,269965.2
2023-01-12 23:00:00,0.5032,0.518,0.5,0.5083,407363.8
2023-01-13 00:00:00,0.5083,0.518,0.5001,0.5057,475975.8
2023-01-13 01:00:00,0.5057,0.507,0.4931,0.5025,384469.9
2023-01-13 02:00:00,0.5025,0.5047,0.495,0.503,204029.1
2023-01-13 03:00:00,0.503,0.5074,0.5,0.5032,332197.6
2023-01-13 04:00:00,0.5032,0.5156,0.5022,0.5107,500530.9
2023-01-13 05:00:00,0.5116,0.5198,0.505,0.5095,414802.4
2023-01-13 06:00:00,0.5095,0.517,0.501,0.5074,428128.1
2023-01-13 07:00:00,0.5074,0.5145,0.504,0.5077,375132.3
2023-01-13 08:00:00,0.5079,0.53,0.5053,0.5169,1681070.9
2023-01-13 09:00:00,0.5178,0.5195,0.5,0.5091,986269.7
2023-01-13 10:00:00,0.509,0.5099,0.5,0.5048,437947.6
2023-01-13 11:00:00,0.5049,0.5099,0.498,0.504,351854.8
2023-01-13 12:00:00,0.5037,0.505,0.495,0.4988,576601.9
2023-01-13 13:00:00,0.4988,0.4997,0.4877,0.4923,576014.4
2023-01-13 14:00:00,0.4924,0.4978,0.4902,0.4945,356734.8
2023-01-13 15:00:00,0.4946,0.5,0.4915,0.4976,397675.0
2023-01-13 16:00:00,0.4981,0.4995,0.4901,0.4959,495202.5
2023-01-13 17:00:00,0.4959,0.499,0.493,0.4979,274890.7
2023-01-13 18:00:00,0.4979,0.5,0.4955,0.496,137536.0
2023-01-13 19:00:00,0.4961,0.508,0.4937,0.5072,182854.7
2023-01-13 20:00:00,0.5051,0.5072,0.4963,0.4977,224853.7
2023-01-13 21:00:00,0.4976,0.508,0.4976,0.5059,263200.7
2023-01-13 22:00:00,0.5053,0.5197,0.5029,0.5057,558363.8
2023-01-13 23:00:00,0.5058,0.5115,0.5043,0.5071,285515.8
2023-01-14 00:00:00,0.5065,0.5132,0.5053,0.5085,462106.3
2023-01-14 01:00:00,0.5117,0.5182,0.5085,0.5154,656349.4
2023-01-14 02:00:00,0.5137,0.5225,0.5129,0.5207,940458.5
2023-01-14 03:00:00,0.521,0.526,0.5146,0.5231,1006736.5
2023-01-14 04:00:00,0.523,0.5262,0.5127,0.5233,560802.7
2023-01-14 05:00:00,0.5233,0.525,0.501,0.5155,1064268.4
2023-01-14 06:00:00,0.5156,0.538,0.5095,0.5344,751008.4
