datetime,open,high,low,close,volume
2020-09-24 09:00:00,1.86,8.0,1.86,3.326,3213314.751
2020-09-24 10:00:00,3.319,3.428,2.783,2.86,1074161.069
2020-09-24 11:00:00,2.863,2.894,2.635,2.888,670128.067
2020-09-24 12:00:00,2.889,3.5,2.85,3.252,1286244.245
2020-09-24 13:00:00,3.252,3.254,2.5,2.781,869957.807
2020-09-24 14:00:00,2.77,2.841,2.587,2.736,509494.506
2020-09-24 15:00:00,2.737,2.75,2.62,2.621,319697.864
2020-09-24 16:00:00,2.621,2.654,2.415,2.42,463228.805
2020-09-24 17:00:00,2.421,2.43,2.16,2.208,611680.622
2020-09-24 18:00:00,2.206,2.379,2.133,2.282,715229.928
2020-09-24 19:00:00,2.282,2.332,2.165,2.274,442592.052
2020-09-24 20:00:00,2.273,2.319,2.067,2.114,352581.941
2020-09-24 21:00:00,2.114,2.166,1.996,2.122,336520.83
2020-09-24 22:00:00,2.122,2.149,2.068,2.149,106780.4
2020-09-24 23:00:00,2.142,2.318,2.131,2.29,258491.795
2020-09-25 00:00:00,2.288,2.338,2.155,2.172,203944.246
2020-09-25 01:00:00,2.181,2.181,2.102,2.135,56387.445
2020-09-25 02:00:00,2.135,2.138,2.072,2.086,55852.918
2020-09-25 03:00:00,2.088,2.177,2.071,2.177,64356.136
2020-09-25 04:00:00,2.176,2.234,2.143,2.224,64043.57
2020-09-25 05:00:00,2.22,2.264,2.181,2.235,124025.329
2020-09-25 06:00:00,2.24,2.273,2.12,2.122,95916.007
2020-09-25 07:00:00,2.123,2.164,2.1,2.126,78409.971
2020-09-25 08:00:00,2.128,2.196,2.111,2.119,66012.615
2020-09-25 09:00:00,2.117,2.194,2.102,2.118,72743.82
2020-09-25 10:00:00,2.115,2.158,2.076,2.086,52593.167
2020-09-25 11:00:00,2.083,2.095,1.969,2.024,244953.817
2020-09-25 12:00:00,2.024,2.064,2.007,2.038,118589.525
2020-09-25 13:00:00,2.038,2.11,2.034,2.068,85738.353
2020-09-25 14:00:00,2.068,2.078,2.004,2.047,126171.204
2020-09-25 15:00:00,2.047,2.119,2.02,2.033,171352.988
2020-09-25 16:00:00,2.032,2.071,2.032,2.035,48997.262
2020-09-25 17:00:00,2.038,2.075,2.021,2.03,60508.754
2020-09-25 18:00:00,2.03,2.039,2.01,2.019,40100.981
2020-09-25 19:00:00,2.02,2.02,1.987,2.003,42094.751
