datetime,open,high,low,close,volume
2023-02-24 08:00:00,36.46,98.0,36.36,38.9,25373.947
2023-02-24 09:00:00,38.9,39.14,36.78,37.0,12200.309
2023-02-24 10:00:00,37.0,37.63,36.49,37.13,10254.744
2023-02-24 11:00:00,37.3,37.69,36.96,37.1,4947.978
2023-02-24 12:00:00,37.1,39.85,37.1,39.47,34109.501
2023-02-24 13:00:00,39.45,39.7,37.97,38.39,18941.784
2023-02-24 14:00:00,38.36,39.82,37.95,39.49,20823.508
2023-02-24 15:00:00,39.49,39.49,36.58,36.82,26927.982
2023-02-24 16:00:00,36.85,39.18,35.9,38.88,47767.818
2023-02-24 17:00:00,38.8,39.32,38.17,38.47,12276.288
2023-02-24 18:00:00,38.6,38.97,38.26,38.77,3689.31
2023-02-24 19:00:00,38.71,39.19,37.77,39.07,6403.295
2023-02-24 20:00:00,39.09,39.43,38.48,39.4,7160.879
2023-02-24 21:00:00,39.4,39.53,37.8,38.11,9329.726
2023-02-24 22:00:00,38.15,38.58,37.59,37.94,4949.473
2023-02-24 23:00:00,37.94,38.39,37.35,37.85,6939.278
2023-02-25 00:00:00,37.89,38.05,36.0,37.18,21627.838
2023-02-25 01:00:00,37.2,38.45,37.11,37.88,7784.386
2023-02-25 02:00:00,37.84,38.34,36.84,36.93,10229.679
2023-02-25 03:00:00,36.91,37.81,36.54,37.79,13758.058
2023-02-25 04:00:00,37.73,38.55,37.38,38.39,17344.238
2023-02-25 05:00:00,38.38,38.86,37.26,37.6,15599.096
2023-02-25 06:00:00,37.64,38.3,37.01,37.34,7475.913
2023-02-25 07:00:00,37.34,37.82,36.39,37.35,16333.159
2023-02-25 08:00:00,37.35,38.49,37.16,37.73,12742.418
2023-02-25 09:00:00,37.72,38.15,37.45,38.09,6815.361
2023-02-25 10:00:00,38.09,39.35,38.09,39.04,35541.728
2023-02-25 11:00:00,39.09,39.8,38.62,39.53,61703.925
2023-02-25 12:00:00,39.56,39.8,38.75,39.04,40488.798
2023-02-25 13:00:00,39.02,39.91,38.61,39.66,30193.846
2023-02-25 14:00:00,39.66,41.55,38.91,40.72,56999.355
2023-02-25 15:00:00,40.71,41.74,40.07,40.63,29345.199
2023-02-25 16:00:00,40.6,41.0,40.1,40.21,17698.907
2023-02-25 17:00:00,40.18,40.66,39.24,39.89,14242.915
2023-02-25 18:00:00,39.9,40.17,39.19,39.57,8286.101
2023-02-25 19:00:00,39.56,39.98,39.16,39.84,6738.995
2023-02-25 20:00:00,39.82,39.94,38.44,38.69,16405.115
2023-02-25 21:00:00,38.78,39.43,38.33,39.34,6935.6
2023-02-25 22:00:00,39.32,41.0,39.15,40.93,15696.781
2023-02-25 23:00:00,40.94,41.0,39.5,40.0,24281.746
2023-02-26 00:00:00,40.01,41.17,39.65,41.0,14510.028
2023-02-26 01:00:00,41.0,41.59,40.67,41.05,19710.818
2023-02-26 02:00:00,41.01,42.5,40.5,42.05,28874.416
2023-02-26 03:00:00,42.02,43.94,41.86,43.75,72175.755
2023-02-26 04:00:00,43.76,44.49,42.55,43.03,39466.667
2023-02-26 05:00:00,42.97,43.52,42.41,42.44,12452.571
2023-02-26 06:00:00,42.45,43.6,42.32,43.32,15113.212
2023-02-26 07:00:00,43.3,43.54,42.99,43.2,14583.105
2023-02-26 08:00:00,43.19,43.2,42.08,42.85,18855.788
2023-02-26 09:00:00,42.85,43.98,42.85,43.11,19780.629
2023-02-26 10:00:00,43.12,43.93,42.9,43.36,13020.202
2023-02-26 11:00:00,43.4,43.61,42.76,43.26,13760.805
2023-02-26 12:00:00,43.27,44.0,42.8,43.44,20516.815
2023-02-26 13:00:00,43.43,44.0,43.09,43.73,11383.798
2023-02-26 14:00:00,43.73,44.43,43.32,43.46,24931.48
2023-02-26 15:00:00,43.45,43.59,43.0,43.29,8950.962
2023-02-26 16:00:00,43.29,44.29,43.2,43.69,10851.74
2023-02-26 17:00:00,43.71,44.0,43.27,43.78,9309.511
2023-02-26 18:00:00,43.89,46.0,43.5,44.85,26663.029
2023-02-26 19:00:00,44.85,45.87,44.59,45.06,12819.264
2023-02-26 20:00:00,45.1,45.5,44.68,44.9,7671.211
2023-02-26 21:00:00,44.9,44.98,44.34,44.41,3955.202
2023-02-26 22:00:00,44.48,44.52,43.7,44.21,10404.013
2023-02-26 23:00:00,44.2,45.0,43.9,44.82,7995.456
2023-02-27 00:00:00,44.82,44.97,43.3,44.04,14242.186
2023-02-27 01:00:00,44.04,44.07,42.81,43.47,14077.975
2023-02-27 02:00:00,43.48,43.84,43.17,43.36,8910.281
2023-02-27 03:00:00,43.35,44.37,43.33,44.19,8527.64
2023-02-27 04:00:00,44.19,44.31,43.91,43.97,4921.648
2023-02-27 05:00:00,43.97,43.97,43.28,43.74,18516.962
2023-02-27 06:00:00,43.72,44.9,43.72,44.75,15682.246
2023-02-27 07:00:00,44.71,47.1,44.4,45.56,53631.747
2023-02-27 08:00:00,45.59,46.03,44.25,44.45,17130.5
2023-02-27 09:00:00,44.48,44.96,44.14,44.59,12013.043
2023-02-27 10:00:00,44.59,44.7,43.98,44.12,10096.26
2023-02-27 11:00:00,44.06,45.7,43.97,45.23,13173.767
2023-02-27 12:00:00,45.23,45.84,44.84,45.49,11214.204
2023-02-27 13:00:00,45.49,47.48,45.49,46.16,34259.785
2023-02-27 14:00:00,46.16,46.51,45.1,45.3,14199.493
2023-02-27 15:00:00,45.29,46.62,44.55,45.92,18584.68
2023-02-27 16:00:00,45.99,47.5,45.41,47.5,27237.862
2023-02-27 17:00:00,47.49,49.1,46.42,48.57,67162.351
2023-02-27 18:00:00,48.54,48.85,46.8,47.92,28735.642
2023-02-27 19:00:00,47.92,49.5,47.88,48.02,25009.83
2023-02-27 20:00:00,48.01,49.5,47.62,49.07,14430.235
2023-02-27 21:00:00,49.06,49.9,48.79,49.28,23768.909
2023-02-27 22:00:00,49.24,49.9,48.66,49.56,19106.188
2023-02-27 23:00:00,49.56,49.89,48.76,48.97,17539.327
2023-02-28 00:00:00,49.05,49.2,48.0,48.49,22289.629
2023-02-28 01:00:00,48.46,49.9,48.42,48.82,24218.453
2023-02-28 02:00:00,48.81,49.04,46.41,46.97,75559.682
2023-02-28 03:00:00,46.97,47.27,44.89,46.6,70419.624
2023-02-28 04:00:00,46.59,46.66,44.23,45.36,70931.709
2023-02-28 05:00:00,45.36,46.65,45.36,46.36,23959.115
2023-02-28 06:00:00,46.35,46.35,45.1,45.37,20317.046
2023-02-28 07:00:00,45.38,45.63,44.26,44.39,34268.563
2023-02-28 08:00:00,44.39,45.87,44.36,45.81,31358.275
2023-02-28 09:00:00,45.77,45.84,44.47,45.31,14819.469
2023-02-28 10:00:00,45.21,45.7,44.74,44.8,25987.775
2023-02-28 11:00:00,44.84,45.6,44.5,44.71,14016.781
2023-02-28 12:00:00,44.65,44.82,43.5,44.38,37105.163
2023-02-28 13:00:00,44.46,44.48,43.18,43.31,25399.428
2023-02-28 14:00:00,43.31,44.32,42.97,43.57,29049.116
2023-02-28 15:00:00,43.57,44.39,43.45,44.35,13291.793
2023-02-28 16:00:00,44.34,44.68,43.59,44.63,14133.551
2023-02-28 17:00:00,44.57,44.72,44.11,44.55,10284.234
2023-02-28 18:00:00,44.54,44.54,42.14,42.8,28440.896
2023-02-28 19:00:00,42.77,42.85,41.0,41.29,24481.115
2023-02-28 20:00:00,41.29,42.15,41.1,41.49,15567.005
2023-02-28 21:00:00,41.49,42.07,40.69,41.92,30110.825
2023-02-28 22:00:00,41.93,42.98,41.53,42.7,31694.85
2023-02-28 23:00:00,42.7,42.84,41.57,41.91,18863.965
