datetime,open,high,low,close,volume
2022-04-22 10:00:00,0.5988,0.6688,0.5421,0.5734,14451905.1
2022-04-22 11:00:00,0.5739,0.5887,0.5433,0.5577,2421199.4
2022-04-22 12:00:00,0.5547,0.5629,0.539,0.5423,1242098.1
2022-04-22 13:00:00,0.5421,0.5556,0.525,0.5319,1650051.7
2022-04-22 14:00:00,0.5318,0.5342,0.5112,0.5232,1262840.7
2022-04-22 15:00:00,0.5227,0.5252,0.5097,0.5139,874526.5
2022-04-22 16:00:00,0.514,0.5225,0.502,0.5066,908872.0
2022-04-22 17:00:00,0.5049,0.52,0.5002,0.5056,945446.1
2022-04-22 18:00:00,0.5038,0.52,0.5017,0.5146,1309555.4
2022-04-22 19:00:00,0.5149,0.5198,0.5097,0.5165,940151.5
2022-04-22 20:00:00,0.5165,0.518,0.505,0.5078,777757.7
2022-04-22 21:00:00,0.5075,0.5947,0.5052,0.5643,3761397.9
2022-04-22 22:00:00,0.5631,0.5782,0.5172,0.52,3093021.5
2022-04-22 23:00:00,0.52,0.5273,0.51,0.5163,1086887.5
2022-04-23 00:00:00,0.5172,0.5233,0.4736,0.4753,2608509.7
2022-04-23 01:00:00,0.4754,0.4857,0.4647,0.4737,2115680.1
2022-04-23 02:00:00,0.4734,0.493,0.4622,0.4841,2158758.2
2022-04-23 03:00:00,0.4823,0.4835,0.4661,0.4686,994369.5
2022-04-23 04:00:00,0.4688,0.4772,0.4659,0.4734,716918.3
2022-04-23 05:00:00,0.4737,0.4829,0.4688,0.4727,759915.1
2022-04-23 06:00:00,0.4727,0.4791,0.4628,0.4656,640749.6
2022-04-23 07:00:00,0.4656,0.4775,0.465,0.4658,496019.8
2022-04-23 08:00:00,0.4659,0.485,0.4628,0.4689,1324338.6
2022-04-23 09:00:00,0.4691,0.479,0.4659,0.4679,1032443.0
2022-04-23 10:00:00,0.4679,0.4737,0.4655,0.4705,489885.8
2022-04-23 11:00:00,0.4702,0.4709,0.4625,0.4674,532497.2
2022-04-23 12:00:00,0.4681,0.474,0.4669,0.4693,570090.2
2022-04-23 13:00:00,0.469,0.4845,0.467,0.473,1574713.7
2022-04-23 14:00:00,0.4738,0.4833,0.47,0.4774,1068913.5
2022-04-23 15:00:00,0.4779,0.4844,0.4732,0.4769,1036563.2
2022-04-23 16:00:00,0.4769,0.4772,0.472,0.4744,544889.2
2022-04-23 17:00:00,0.4744,0.477,0.47,0.4706,336138.1
2022-04-23 18:00:00,0.4708,0.4718,0.4644,0.4679,515338.5
2022-04-23 19:00:00,0.4679,0.4707,0.4648,0.4687,329181.2
2022-04-23 20:00:00,0.4686,0.4725,0.467,0.4707,370968.8
2022-04-23 21:00:00,0.4706,0.477,0.4671,0.4753,435731.4
2022-04-23 22:00:00,0.4753,0.4792,0.4732,0.4766,475781.0
2022-04-23 23:00:00,0.4766,0.4775,0.4677,0.4696,564213.9
2022-04-24 00:00:00,0.4689,0.5,0.449,0.4508,2514650.6
2022-04-24 01:00:00,0.4508,0.4568,0.45,0.4501,438211.2
2022-04-24 02:00:00,0.45,0.4501,0.4441,0.447,286322.6
2022-04-24 03:00:00,0.4472,0.453,0.4467,0.4497,131790.9
2022-04-24 04:00:00,0.4511,0.453,0.4485,0.4504,242706.3
2022-04-24 05:00:00,0.4504,0.453,0.449,0.4509,134028.7
2022-04-24 06:00:00,0.4507,0.4556,0.4477,0.4492,162949.5
2022-04-24 07:00:00,0.4492,0.451,0.4462,0.4484,166568.5
2022-04-24 08:00:00,0.4489,0.452,0.444,0.444,227566.3
2022-04-24 09:00:00,0.445,0.447,0.439,0.4429,315576.3
