datetime,open,high,low,close,volume
2021-03-25 10:00:00,2.71,3.19,2.083,2.276,10388417.023
2021-03-25 11:00:00,2.273,2.36,2.212,2.311,1289220.126
2021-03-25 12:00:00,2.311,2.315,1.928,2.126,2036369.961
2021-03-25 13:00:00,2.126,2.33,2.045,2.3,1049024.718
2021-03-25 14:00:00,2.303,2.579,2.263,2.334,1549663.046
2021-03-25 15:00:00,2.336,2.365,2.25,2.268,452929.673
2021-03-25 16:00:00,2.268,2.41,2.256,2.291,390276.1
2021-03-25 17:00:00,2.29,2.51,2.289,2.462,599674.225
2021-03-25 18:00:00,2.462,2.96,2.451,2.948,3958834.117
2021-03-25 19:00:00,2.947,3.1,2.56,2.714,2951208.302
2021-03-25 20:00:00,2.709,2.869,2.581,2.61,950002.838
2021-03-25 21:00:00,2.612,2.762,2.552,2.757,471966.502
2021-03-25 22:00:00,2.757,2.856,2.684,2.711,645887.186
2021-03-25 23:00:00,2.717,2.794,2.64,2.728,310710.054
2021-03-26 00:00:00,2.719,3.024,2.711,2.798,1075833.816
2021-03-26 01:00:00,2.798,2.862,2.632,2.683,380194.497
2021-03-26 02:00:00,2.691,2.702,2.501,2.642,505525.214
2021-03-26 03:00:00,2.649,2.849,2.616,2.681,428699.99
2021-03-26 04:00:00,2.677,2.695,2.48,2.529,384581.202
2021-03-26 05:00:00,2.529,2.601,2.439,2.492,383185.204
2021-03-26 06:00:00,2.501,2.607,2.457,2.586,235961.064
2021-03-26 07:00:00,2.586,2.697,2.504,2.581,331968.076
2021-03-26 08:00:00,2.586,2.756,2.546,2.732,530907.825
2021-03-26 09:00:00,2.732,2.799,2.655,2.711,335652.839
2021-03-26 10:00:00,2.713,3.081,2.676,2.977,2176865.002
2021-03-26 11:00:00,2.98,3.29,2.848,3.29,2790265.355
2021-03-26 12:00:00,3.29,3.55,3.113,3.411,4519955.929
2021-03-26 13:00:00,3.417,3.497,3.169,3.346,2905045.428
2021-03-26 14:00:00,3.34,3.377,3.091,3.15,1428930.238
2021-03-26 15:00:00,3.15,3.26,3.063,3.083,1182000.339
2021-03-26 16:00:00,3.083,3.195,3.02,3.194,963833.119
2021-03-26 17:00:00,3.189,3.215,3.057,3.088,622045.982
2021-03-26 18:00:00,3.087,3.101,2.951,3.018,743119.361
2021-03-26 19:00:00,3.018,3.327,3.009,3.15,1814747.221
2021-03-26 20:00:00,3.149,3.173,3.064,3.133,562558.798
