datetime,open,high,low,close,volume
2021-01-19 07:00:00,0.2466,0.385,0.2466,0.3411,26345948.16
2021-01-19 08:00:00,0.3416,0.3455,0.2992,0.3086,5584245.18
2021-01-19 09:00:00,0.308,0.3286,0.308,0.3232,3130589.32
2021-01-19 10:00:00,0.323,0.3578,0.313,0.3479,5754875.71
2021-01-19 11:00:00,0.3477,0.3624,0.322,0.3364,6580772.66
2021-01-19 12:00:00,0.3363,0.3367,0.318,0.3208,2250578.11
2021-01-19 13:00:00,0.3208,0.3476,0.3202,0.3438,2464999.64
2021-01-19 14:00:00,0.3434,0.35,0.3277,0.338,2662813.79
2021-01-19 15:00:00,0.338,0.338,0.3205,0.3247,1904647.77
2021-01-19 16:00:00,0.3247,0.3266,0.321,0.3226,1138079.86
2021-01-19 17:00:00,0.3218,0.3237,0.3107,0.3119,1125191.17
2021-01-19 18:00:00,0.3111,0.3113,0.2901,0.2946,2288946.35
2021-01-19 19:00:00,0.2945,0.2959,0.28,0.2837,1792440.04
2021-01-19 20:00:00,0.2837,0.2998,0.2806,0.2819,1728662.08
2021-01-19 21:00:00,0.2819,0.2973,0.2819,0.2876,923979.69
2021-01-19 22:00:00,0.2873,0.2962,0.2854,0.288,737947.81
2021-01-19 23:00:00,0.2884,0.2921,0.2711,0.2751,1862718.88
2021-01-20 00:00:00,0.2772,0.2893,0.2727,0.2745,1193586.22
2021-01-20 01:00:00,0.2748,0.2761,0.266,0.2685,1464206.38
2021-01-20 02:00:00,0.2685,0.2694,0.264,0.2653,561877.63
2021-01-20 03:00:00,0.2656,0.2763,0.2574,0.2574,1126947.81
2021-01-20 04:00:00,0.2574,0.2728,0.2556,0.267,1053034.77
2021-01-20 05:00:00,0.267,0.2773,0.2667,0.2698,1006786.04
2021-01-20 06:00:00,0.2696,0.28,0.2685,0.2701,866238.95
2021-01-20 07:00:00,0.2701,0.282,0.2682,0.2755,1126166.28
2021-01-20 08:00:00,0.2757,0.2807,0.2655,0.2655,1242179.24
2021-01-20 09:00:00,0.2659,0.2692,0.256,0.2599,1154896.08
2021-01-20 10:00:00,0.259,0.2615,0.2521,0.255,1320695.59
2021-01-20 11:00:00,0.2555,0.2566,0.2358,0.2462,2311657.38
2021-01-20 12:00:00,0.2462,0.2569,0.2434,0.2525,610646.77
2021-01-20 13:00:00,0.2525,0.2575,0.2519,0.2567,718849.99
2021-01-20 14:00:00,0.2567,0.2642,0.2567,0.2639,594489.39
2021-01-20 15:00:00,0.2645,0.2667,0.2562,0.2604,836987.49
2021-01-20 16:00:00,0.2614,0.2708,0.253,0.2683,1285026.88
2021-01-20 17:00:00,0.2682,0.2705,0.2656,0.2695,270395.87
2021-01-20 18:00:00,0.2692,0.27,0.2654,0.2666,217204.86
2021-01-20 19:00:00,0.2665,0.27,0.2656,0.268,579309.26
2021-01-20 20:00:00,0.2692,0.2726,0.2639,0.2657,882597.63
2021-01-20 21:00:00,0.2657,0.266,0.2575,0.2609,297690.89
2021-01-20 22:00:00,0.2609,0.263,0.2605,0.2628,202119.13
2021-01-20 23:00:00,0.2627,0.2722,0.2615,0.271,472043.2
2021-01-21 00:00:00,0.2697,0.2803,0.2693,0.2754,456981.51
2021-01-21 01:00:00,0.2755,0.276,0.2652,0.2669,435071.06
2021-01-21 02:00:00,0.2675,0.2679,0.2641,0.2657,124908.85
2021-01-21 03:00:00,0.2656,0.2696,0.2644,0.269,267498.75
2021-01-21 04:00:00,0.269,0.2698,0.2556,0.2557,706177.24
2021-01-21 05:00:00,0.2563,0.2616,0.2537,0.2565,365287.66
2021-01-21 06:00:00,0.2568,0.2582,0.256,0.257,243092.66
2021-01-21 07:00:00,0.2569,0.2611,0.256,0.2564,279021.71
2021-01-21 08:00:00,0.2564,0.2564,0.2451,0.2458,507362.95
2021-01-21 09:00:00,0.245,0.2467,0.2424,0.2431,580384.64
2021-01-21 10:00:00,0.2434,0.2486,0.2393,0.2458,513776.87
2021-01-21 11:00:00,0.2458,0.2461,0.24,0.244,623622.46
2021-01-21 12:00:00,0.2428,0.2448,0.236,0.2428,609462.95
