datetime,open,high,low,close,volume
2023-08-15 12:00:00,1.44,17.79,1.44,5.43,8679084.37
2023-08-15 16:00:00,5.434,5.436,4.568,4.794,2477405.43
2023-08-15 20:00:00,4.791,4.827,4.42,4.687,980643.55
2023-08-16 00:00:00,4.688,5.29,4.539,5.244,2553250.11
2023-08-16 04:00:00,5.245,5.27,4.635,4.902,1894379.95
2023-08-16 08:00:00,4.901,5.18,4.677,4.787,1942273.1
2023-08-16 12:00:00,4.787,4.8,4.19,4.295,1605895.42
2023-08-16 16:00:00,4.296,4.343,4.02,4.107,789261.71
2023-08-16 20:00:00,4.106,4.41,4.021,4.296,719657.69
2023-08-17 00:00:00,4.296,4.342,4.06,4.218,397005.02
2023-08-17 04:00:00,4.216,4.38,4.0,4.049,622673.99
2023-08-17 08:00:00,4.047,4.081,3.862,3.903,1021271.21
2023-08-17 12:00:00,3.907,3.978,3.802,3.846,755418.35
2023-08-17 16:00:00,3.847,4.06,3.807,3.929,552406.63
2023-08-17 20:00:00,3.928,3.975,3.705,3.872,587688.24
2023-08-18 00:00:00,3.874,4.37,3.864,4.273,974441.98
2023-08-18 04:00:00,4.272,5.1,4.105,4.713,3249137.19
2023-08-18 08:00:00,4.715,5.0,4.432,4.578,3064930.99
2023-08-18 12:00:00,4.578,4.674,4.33,4.444,1656256.94
2023-08-18 16:00:00,4.448,4.448,4.046,4.279,1338612.25
2023-08-18 20:00:00,4.279,4.462,4.144,4.45,635123.03
2023-08-19 00:00:00,4.449,4.67,4.241,4.353,614776.23
2023-08-19 04:00:00,4.354,4.58,4.15,4.238,772741.75
2023-08-19 08:00:00,4.234,4.4,4.15,4.242,575698.67
2023-08-19 12:00:00,4.242,4.252,4.025,4.125,713949.76
2023-08-19 16:00:00,4.125,4.183,4.011,4.125,564489.94
2023-08-19 20:00:00,4.124,4.163,4.022,4.041,308062.3
2023-08-20 00:00:00,4.034,4.314,4.0,4.183,479793.02
2023-08-20 04:00:00,4.181,4.589,4.102,4.585,741602.63
2023-08-20 08:00:00,4.579,4.78,4.33,4.408,1773226.78
2023-08-20 12:00:00,4.404,4.529,4.316,4.344,843946.59
2023-08-20 16:00:00,4.345,4.608,4.322,4.425,637267.66
2023-08-20 20:00:00,4.426,4.586,4.382,4.516,425177.09
2023-08-21 00:00:00,4.516,4.649,4.335,4.393,619915.96
2023-08-21 04:00:00,4.393,4.5,4.349,4.402,692446.16
2023-08-21 08:00:00,4.402,4.434,4.12,4.248,1118546.02
