datetime,open,high,low,close,volume
2018-06-13 08:00:00,1.9525,2.07,1.8497,1.9127,691780.38
2018-06-13 12:00:00,1.9121,2.06,1.87,1.89,1022676.62
2018-06-13 16:00:00,1.8987,2.01,1.75,1.9167,1275764.88
2018-06-13 20:00:00,1.9067,2.0499,1.8783,1.9792,760182.68
2018-06-14 00:00:00,1.9792,2.1299,1.961,2.0907,1120753.89
2018-06-14 04:00:00,2.0906,2.199,2.0626,2.1288,1393633.1
2018-06-14 08:00:00,2.1285,2.2269,2.1206,2.1548,855383.37
2018-06-14 12:00:00,2.1572,2.1658,2.001,2.0372,1256796.94
2018-06-14 16:00:00,2.043,2.3986,2.0381,2.2807,2045801.24
2018-06-14 20:00:00,2.2744,2.34,2.205,2.2988,834891.94
2018-06-15 00:00:00,2.2931,2.2988,2.1777,2.234,638240.71
2018-06-15 04:00:00,2.2338,2.2343,2.1617,2.1939,584777.96
2018-06-15 08:00:00,2.1882,2.25,2.106,2.1377,803025.09
2018-06-15 12:00:00,2.1322,2.2049,2.08,2.1934,761496.64
2018-06-15 16:00:00,2.1933,2.235,2.1401,2.1578,745662.51
2018-06-15 20:00:00,2.1589,2.1589,1.977,1.9864,1074565.16
2018-06-16 00:00:00,1.9863,2.03,1.8555,1.9663,1395365.14
2018-06-16 04:00:00,1.9686,2.0291,1.9,2.0164,987323.58
2018-06-16 08:00:00,2.0164,2.049,1.9868,2.0122,790203.78
2018-06-16 12:00:00,2.0132,2.0335,1.9114,1.954,700111.37
2018-06-16 16:00:00,1.9511,2.0529,1.925,2.0214,830231.3
2018-06-16 20:00:00,2.0202,2.0494,2.0,2.0196,640795.37
2018-06-17 00:00:00,2.0242,2.1021,2.0163,2.0896,641549.41
2018-06-17 04:00:00,2.0882,2.102,2.0485,2.0588,649310.06
2018-06-17 08:00:00,2.0588,2.1,2.0156,2.0492,647909.74
2018-06-17 12:00:00,2.0513,2.057,2.0013,2.0411,638736.73
2018-06-17 16:00:00,2.0401,2.09,2.0176,2.0318,696234.4
2018-06-17 20:00:00,2.0321,2.0325,1.9608,1.9835,821159.78
2018-06-18 00:00:00,1.984,1.9918,1.95,1.9679,665390.04
2018-06-18 04:00:00,1.9681,1.9919,1.9324,1.978,767290.28
2018-06-18 08:00:00,1.977,2.0337,1.95,1.9615,623886.53
