datetime,open,high,low,close,volume
2019-04-03 04:00:00,2.5,2.5,1.98,2.073,164799.54
2019-04-03 08:00:00,2.08,2.0999,2.0478,2.079,71297.85
2019-04-03 12:00:00,2.0843,2.1681,2.0801,2.0803,101680.31
2019-04-03 16:00:00,2.0945,2.2897,2.0847,2.2075,142327.74
2019-04-03 20:00:00,2.2158,2.2889,1.829,1.9835,220585.48
2019-04-04 00:00:00,1.9839,2.0667,1.9396,1.9955,132424.47
2019-04-04 04:00:00,1.9732,2.21,1.9606,2.1801,90400.09
2019-04-04 08:00:00,2.1753,2.1925,2.0641,2.1165,81994.16
2019-04-04 12:00:00,2.1213,2.1799,2.0999,2.1459,64770.68
2019-04-04 16:00:00,2.15,2.2193,2.0594,2.0594,89331.08
2019-04-04 20:00:00,2.058,2.1358,2.0481,2.1328,36501.06
2019-04-05 00:00:00,2.1388,2.2889,2.1209,2.2493,136160.84
2019-04-05 04:00:00,2.2511,2.2999,2.2056,2.2341,101195.63
2019-04-05 08:00:00,2.2436,2.4341,2.2353,2.4112,156507.34
2019-04-05 12:00:00,2.4112,2.4237,2.2927,2.3161,148376.81
2019-04-05 16:00:00,2.3161,2.41,2.309,2.41,78775.65
2019-04-05 20:00:00,2.4122,2.4723,2.3932,2.451,107487.06
2019-04-06 00:00:00,2.4488,2.4488,2.3719,2.4315,86066.61
2019-04-06 04:00:00,2.428,2.4362,2.3378,2.3469,27908.92
2019-04-06 08:00:00,2.3547,2.3931,2.3,2.3157,80810.61
2019-04-06 12:00:00,2.314,2.3896,2.2973,2.3896,46732.07
2019-04-06 16:00:00,2.3946,2.4109,2.3351,2.3661,53531.04
2019-04-06 20:00:00,2.3639,2.3818,2.3066,2.3204,66364.52
2019-04-07 00:00:00,2.3238,2.3539,2.28,2.3379,193858.29
2019-04-07 04:00:00,2.327,2.337,2.296,2.33,39564.28
2019-04-07 08:00:00,2.33,2.3694,2.3101,2.3292,32994.04
2019-04-07 12:00:00,2.3229,2.335,2.2803,2.2914,25191.83
2019-04-07 16:00:00,2.3084,2.3435,2.2609,2.3251,53984.36
2019-04-07 20:00:00,2.335,2.3662,2.3175,2.3419,23405.07
2019-04-08 00:00:00,2.3339,2.4998,2.3268,2.347,119026.18
2019-04-08 04:00:00,2.3262,2.3606,2.2887,2.3259,37546.39
2019-04-08 08:00:00,2.3313,2.3744,2.1741,2.1899,122515.45
2019-04-08 12:00:00,2.1899,2.3489,2.188,2.3261,77497.47
2019-04-08 16:00:00,2.3261,2.3533,2.2637,2.2947,31238.05
