datetime,open,high,low,close,volume
2020-07-09 12:00:00,2.893,3.398,2.71,2.771,592289.287
2020-07-09 16:00:00,2.771,3.01,2.748,2.875,163707.464
2020-07-09 20:00:00,2.9,3.0,2.85,2.956,58831.838
2020-07-10 00:00:00,2.956,2.974,2.871,2.95,63728.503
2020-07-10 04:00:00,2.949,2.97,2.849,2.911,63765.121
2020-07-10 08:00:00,2.913,2.936,2.844,2.855,59551.716
2020-07-10 12:00:00,2.852,2.886,2.763,2.809,69566.418
2020-07-10 16:00:00,2.815,2.816,2.77,2.801,30047.035
2020-07-10 20:00:00,2.8,2.929,2.782,2.921,49463.155
2020-07-11 00:00:00,2.921,2.927,2.654,2.772,141997.608
2020-07-11 04:00:00,2.772,2.853,2.73,2.745,34510.544
2020-07-11 08:00:00,2.751,2.853,2.731,2.808,29653.166
2020-07-11 12:00:00,2.809,2.836,2.793,2.831,21669.279
2020-07-11 16:00:00,2.825,2.836,2.76,2.787,26394.261
2020-07-11 20:00:00,2.787,2.834,2.768,2.809,31472.29
2020-07-12 00:00:00,2.806,2.84,2.734,2.835,67368.264
2020-07-12 04:00:00,2.835,2.84,2.784,2.819,34246.978
2020-07-12 08:00:00,2.82,2.835,2.758,2.831,42313.474
2020-07-12 12:00:00,2.832,2.843,2.73,2.778,58595.136
2020-07-12 16:00:00,2.789,2.837,2.751,2.807,21137.052
2020-07-12 20:00:00,2.812,2.834,2.734,2.78,43790.693
2020-07-13 00:00:00,2.78,2.84,2.673,2.681,94604.356
2020-07-13 04:00:00,2.691,2.768,2.685,2.734,52107.237
2020-07-13 08:00:00,2.728,2.806,2.71,2.743,66718.38
2020-07-13 12:00:00,2.748,2.769,2.691,2.691,49969.223
2020-07-13 16:00:00,2.701,2.727,2.582,2.624,89972.447
2020-07-13 20:00:00,2.617,2.659,2.5,2.541,66870.488
2020-07-14 00:00:00,2.538,2.58,2.384,2.475,149878.942
2020-07-14 04:00:00,2.475,2.517,2.429,2.494,42769.432
2020-07-14 08:00:00,2.495,2.5,2.403,2.467,46823.581
2020-07-14 12:00:00,2.46,2.469,2.4,2.453,62887.186
2020-07-14 16:00:00,2.454,2.618,2.454,2.608,66255.155
2020-07-14 20:00:00,2.605,2.75,2.6,2.747,100965.785
2020-07-15 00:00:00,2.747,2.888,2.704,2.806,118967.296
2020-07-15 04:00:00,2.805,2.923,2.772,2.893,101914.13
2020-07-15 08:00:00,2.893,2.933,2.777,2.79,97834.589
2020-07-15 12:00:00,2.785,2.93,2.777,2.824,89221.875
2020-07-15 16:00:00,2.818,3.09,2.801,3.032,157550.589
2020-07-15 20:00:00,3.032,3.15,3.0,3.05,142908.708
2020-07-16 00:00:00,3.05,3.071,2.921,2.96,93239.706
2020-07-16 04:00:00,2.967,2.973,2.85,2.878,91307.062
2020-07-16 08:00:00,2.866,2.921,2.782,2.92,79032.693
2020-07-16 12:00:00,2.92,3.25,2.915,3.082,296293.187
2020-07-16 16:00:00,3.082,3.189,3.031,3.035,172908.485
2020-07-16 20:00:00,3.033,3.168,2.99,3.097,58372.393
2020-07-17 00:00:00,3.097,3.156,3.053,3.129,41485.39
2020-07-17 04:00:00,3.129,3.565,3.128,3.42,323455.097
2020-07-17 08:00:00,3.425,3.474,3.278,3.324,157418.838
2020-07-17 12:00:00,3.329,3.6,3.329,3.415,159143.349
2020-07-17 16:00:00,3.417,3.511,3.35,3.438,96492.651
2020-07-17 20:00:00,3.438,3.474,3.27,3.308,60231.311
2020-07-18 00:00:00,3.307,3.363,3.204,3.23,85834.442
2020-07-18 04:00:00,3.23,3.339,3.169,3.258,47422.572
2020-07-18 08:00:00,3.258,3.375,3.239,3.324,82514.942
2020-07-18 12:00:00,3.324,3.401,3.305,3.328,37210.655
2020-07-18 16:00:00,3.328,3.5,3.31,3.41,52371.238
2020-07-18 20:00:00,3.414,3.52,3.371,3.371,76444.48
2020-07-19 00:00:00,3.381,3.412,3.34,3.36,28523.279
2020-07-19 04:00:00,3.367,3.451,3.331,3.436,66000.37
2020-07-19 08:00:00,3.432,3.535,3.371,3.407,68971.568
2020-07-19 12:00:00,3.408,3.439,3.342,3.36,43770.335
2020-07-19 16:00:00,3.353,3.439,3.321,3.35,70191.282
2020-07-19 20:00:00,3.35,3.45,3.288,3.297,92191.112
2020-07-20 00:00:00,3.299,3.4,3.27,3.366,52049.307
2020-07-20 04:00:00,3.366,3.81,3.353,3.79,399000.757
2020-07-20 08:00:00,3.789,4.199,3.667,3.84,472251.015
2020-07-20 12:00:00,3.83,3.83,3.605,3.723,218959.84
2020-07-20 16:00:00,3.723,3.929,3.6,3.605,196513.362
2020-07-20 20:00:00,3.612,3.921,3.602,3.849,136288.679
2020-07-21 00:00:00,3.84,3.932,3.72,3.737,74460.945
2020-07-21 04:00:00,3.737,4.029,3.728,3.872,164156.439
2020-07-21 08:00:00,3.877,3.88,3.621,3.643,99914.401
2020-07-21 12:00:00,3.643,3.679,3.393,3.401,161933.438
2020-07-21 16:00:00,3.401,3.666,3.341,3.611,115915.487
2020-07-21 20:00:00,3.611,3.689,3.445,3.479,120701.439
2020-07-22 00:00:00,3.479,3.643,3.401,3.628,70075.636
2020-07-22 04:00:00,3.621,3.629,3.49,3.509,69173.158
2020-07-22 08:00:00,3.516,3.57,3.351,3.538,43320.815
2020-07-22 12:00:00,3.532,3.749,3.519,3.688,86539.85
2020-07-22 16:00:00,3.688,3.79,3.612,3.65,62621.821
2020-07-22 20:00:00,3.643,3.691,3.468,3.479,62217.505
2020-07-23 00:00:00,3.479,3.52,3.439,3.466,39299.019
2020-07-23 04:00:00,3.467,3.62,3.46,3.526,58769.641
2020-07-23 08:00:00,3.528,3.555,3.497,3.508,26572.202
2020-07-23 12:00:00,3.509,3.521,3.1,3.44,184172.856
2020-07-23 16:00:00,3.428,3.446,3.229,3.3,82700.314
2020-07-23 20:00:00,3.293,3.35,3.27,3.35,28978.016
2020-07-24 00:00:00,3.346,3.5,3.235,3.448,120688.779
2020-07-24 04:00:00,3.437,3.627,3.434,3.477,178362.442
2020-07-24 08:00:00,3.467,3.557,3.381,3.442,101650.163
2020-07-24 12:00:00,3.435,3.443,3.29,3.324,62038.327
2020-07-24 16:00:00,3.337,3.383,3.279,3.378,36613.589
2020-07-24 20:00:00,3.376,3.4,3.3,3.337,44244.509
2020-07-25 00:00:00,3.337,3.396,3.296,3.362,38510.364
2020-07-25 04:00:00,3.367,3.395,3.323,3.357,37323.298
2020-07-25 08:00:00,3.357,3.479,3.344,3.425,61922.33
2020-07-25 12:00:00,3.425,3.6,3.419,3.6,76007.45
2020-07-25 16:00:00,3.599,3.721,3.496,3.523,92064.987
2020-07-25 20:00:00,3.523,3.648,3.517,3.541,41383.265
2020-07-26 00:00:00,3.542,3.565,3.465,3.483,39192.172
2020-07-26 04:00:00,3.473,3.483,3.282,3.285,81607.813
2020-07-26 08:00:00,3.282,3.282,3.003,3.067,203147.084
2020-07-26 12:00:00,3.061,3.211,3.061,3.144,149724.731
2020-07-26 16:00:00,3.144,3.238,3.0,3.08,108464.174
2020-07-26 20:00:00,3.08,3.17,3.065,3.155,76800.974
2020-07-27 00:00:00,3.154,3.22,2.868,2.949,254903.894
2020-07-27 04:00:00,2.945,3.011,2.753,2.862,268282.241
2020-07-27 08:00:00,2.862,3.001,2.751,3.0,118260.675
2020-07-27 12:00:00,3.004,3.074,2.725,2.864,122004.751
2020-07-27 16:00:00,2.865,2.967,2.67,2.935,140106.856
2020-07-27 20:00:00,2.934,2.972,2.818,2.869,54573.304
2020-07-28 00:00:00,2.869,3.2,2.869,3.113,140082.527
2020-07-28 04:00:00,3.114,3.39,3.068,3.362,189535.801
2020-07-28 08:00:00,3.363,3.405,3.166,3.212,205375.053
2020-07-28 12:00:00,3.212,3.252,3.055,3.133,149629.553
2020-07-28 16:00:00,3.133,3.333,3.099,3.323,94980.231
2020-07-28 20:00:00,3.324,3.48,3.304,3.372,89543.105
2020-07-29 00:00:00,3.372,3.385,3.305,3.34,51543.565
2020-07-29 04:00:00,3.337,3.34,3.21,3.236,86321.079
2020-07-29 08:00:00,3.236,3.265,3.18,3.198,91509.31
2020-07-29 12:00:00,3.198,3.209,3.102,3.144,83808.923
2020-07-29 16:00:00,3.146,3.357,3.07,3.354,161045.417
2020-07-29 20:00:00,3.354,3.386,3.221,3.273,68291.083
2020-07-30 00:00:00,3.273,3.35,3.265,3.349,42081.797
2020-07-30 04:00:00,3.349,3.461,3.342,3.429,176714.891
2020-07-30 08:00:00,3.429,3.526,3.372,3.419,189841.255
2020-07-30 12:00:00,3.418,3.442,3.344,3.429,118908.735
2020-07-30 16:00:00,3.43,3.567,3.386,3.522,151119.021
2020-07-30 20:00:00,3.522,3.683,3.5,3.547,146696.462
2020-07-31 00:00:00,3.547,3.554,3.492,3.506,69462.389
2020-07-31 04:00:00,3.506,3.762,3.486,3.693,143312.853
2020-07-31 08:00:00,3.694,3.775,3.677,3.755,153964.086
2020-07-31 12:00:00,3.767,3.88,3.7,3.78,232580.131
2020-07-31 16:00:00,3.785,3.871,3.633,3.783,233169.573
2020-07-31 20:00:00,3.787,3.965,3.784,3.952,139312.423
2020-08-01 00:00:00,3.951,4.047,3.87,3.979,264117.421
2020-08-01 04:00:00,3.98,4.111,3.972,4.028,199074.696
2020-08-01 08:00:00,4.027,4.1,3.868,3.94,225875.868
2020-08-01 12:00:00,3.94,3.989,3.895,3.921,169380.849
2020-08-01 16:00:00,3.921,3.931,3.781,3.809,188867.007
2020-08-01 20:00:00,3.811,3.811,3.577,3.793,175873.638
2020-08-02 00:00:00,3.792,3.941,3.704,3.912,130380.848
2020-08-02 04:00:00,3.912,3.912,3.5,3.791,225570.908
2020-08-02 08:00:00,3.791,4.044,3.774,3.849,217582.869
2020-08-02 12:00:00,3.846,3.947,3.8,3.933,148161.562
2020-08-02 16:00:00,3.932,4.147,3.866,4.102,204815.676
2020-08-02 20:00:00,4.102,4.437,4.08,4.266,372215.845
2020-08-03 00:00:00,4.266,4.387,3.89,4.146,186324.005
2020-08-03 04:00:00,4.142,4.153,4.048,4.101,146488.405
2020-08-03 08:00:00,4.101,4.212,4.066,4.166,196414.696
2020-08-03 12:00:00,4.165,4.331,4.128,4.179,175150.337
2020-08-03 16:00:00,4.179,4.199,4.126,4.173,83232.814
2020-08-03 20:00:00,4.173,4.247,4.081,4.148,90041.7
2020-08-04 00:00:00,4.148,4.331,4.136,4.289,132582.524
2020-08-04 04:00:00,4.287,4.385,4.282,4.319,175861.2
2020-08-04 08:00:00,4.319,4.399,4.237,4.26,195520.469
2020-08-04 12:00:00,4.259,4.346,4.145,4.342,164850.601
2020-08-04 16:00:00,4.342,4.343,4.212,4.301,206228.435
2020-08-04 20:00:00,4.302,4.563,4.282,4.47,146097.988
2020-08-05 00:00:00,4.461,4.557,4.368,4.41,47557.522
2020-08-05 04:00:00,4.408,4.59,4.386,4.551,50167.87
2020-08-05 08:00:00,4.559,4.69,4.525,4.613,64097.549
2020-08-05 12:00:00,4.624,4.649,4.49,4.608,88856.958
2020-08-05 16:00:00,4.609,4.624,4.411,4.512,75465.02
2020-08-05 20:00:00,4.512,4.606,4.28,4.339,130747.481
2020-08-06 00:00:00,4.339,4.4,4.292,4.347,55906.766
2020-08-06 04:00:00,4.351,4.534,4.338,4.511,53809.145
2020-08-06 08:00:00,4.511,4.511,4.395,4.432,53860.504
2020-08-06 12:00:00,4.432,4.569,4.432,4.532,56342.623
2020-08-06 16:00:00,4.53,4.74,4.46,4.559,129346.839
2020-08-06 20:00:00,4.559,4.58,4.348,4.45,71040.954
2020-08-07 00:00:00,4.451,4.622,4.446,4.581,49343.114
2020-08-07 04:00:00,4.58,4.627,4.449,4.499,41901.586
2020-08-07 08:00:00,4.503,4.55,4.444,4.454,43824.985
2020-08-07 12:00:00,4.456,4.48,4.304,4.375,64740.711
2020-08-07 16:00:00,4.375,4.379,4.13,4.253,94087.513
2020-08-07 20:00:00,4.247,4.389,4.245,4.297,37517.743
2020-08-08 00:00:00,4.297,4.31,4.213,4.253,36719.933
