datetime,open,high,low,close,volume
2020-08-11 12:00:00,0.11,5.0,0.11,1.3064,37173577.49
2020-08-11 16:00:00,1.3064,1.324,1.2239,1.2764,4870890.64
2020-08-11 20:00:00,1.2766,1.614,1.261,1.5629,18053371.04
2020-08-12 00:00:00,1.5609,1.985,1.555,1.7569,29747670.92
2020-08-12 04:00:00,1.7562,1.9376,1.7117,1.8199,13135310.17
2020-08-12 08:00:00,1.8182,1.885,1.6285,1.6513,8585304.62
2020-08-12 12:00:00,1.6555,1.9139,1.617,1.9,9805070.66
2020-08-12 16:00:00,1.8915,1.91,1.778,1.8426,3658307.5
2020-08-12 20:00:00,1.8426,1.8469,1.66,1.6658,4055224.41
2020-08-13 00:00:00,1.6609,1.7772,1.62,1.7059,4939251.68
2020-08-13 04:00:00,1.7057,1.785,1.6613,1.7835,2684047.68
2020-08-13 08:00:00,1.783,2.149,1.6581,2.0567,8570861.08
2020-08-13 12:00:00,2.0564,2.23,2.0111,2.08,10442993.34
2020-08-13 16:00:00,2.08,2.178,1.9747,2.1628,3223394.48
2020-08-13 20:00:00,2.1628,2.2087,1.9,2.0068,4102028.25
2020-08-14 00:00:00,2.0066,2.0955,1.894,2.0221,3158053.89
2020-08-14 04:00:00,2.0226,2.1469,1.9512,2.0621,3244420.75
2020-08-14 08:00:00,2.0518,2.1133,2.027,2.0456,1512958.28
2020-08-14 12:00:00,2.0413,2.07,1.906,1.9524,2851727.3
2020-08-14 16:00:00,1.9525,1.96,1.8,1.8746,2619601.82
2020-08-14 20:00:00,1.878,1.9285,1.8423,1.8574,888835.55
2020-08-15 00:00:00,1.86,1.9287,1.7779,1.8343,2032614.16
2020-08-15 04:00:00,1.8343,1.84,1.7445,1.83,1795980.55
2020-08-15 08:00:00,1.8303,1.8652,1.766,1.7851,1970386.4
2020-08-15 12:00:00,1.7872,1.7992,1.6877,1.7,2974918.23
2020-08-15 16:00:00,1.6999,1.765,1.6964,1.724,785561.95
2020-08-15 20:00:00,1.724,1.7551,1.64,1.6651,1414980.49
2020-08-16 00:00:00,1.6629,1.704,1.5173,1.699,3216163.51
2020-08-16 04:00:00,1.6992,1.85,1.6451,1.8038,2588456.59
2020-08-16 08:00:00,1.8045,1.8452,1.7425,1.7606,1762403.89
2020-08-16 12:00:00,1.7668,1.7958,1.7153,1.7538,1143950.63
2020-08-16 16:00:00,1.7539,1.7539,1.6969,1.713,694570.25
2020-08-16 20:00:00,1.7121,1.7332,1.6742,1.73,818616.01
2020-08-17 00:00:00,1.7313,1.7422,1.6827,1.7028,599991.49
2020-08-17 04:00:00,1.7001,1.7869,1.6937,1.7467,1558677.37
2020-08-17 08:00:00,1.7468,1.7499,1.71,1.718,738467.11
2020-08-17 12:00:00,1.718,1.7244,1.625,1.632,1448574.96
2020-08-17 16:00:00,1.6321,1.6791,1.6302,1.6641,538231.34
2020-08-17 20:00:00,1.6641,1.6679,1.6341,1.6503,552342.02
2020-08-18 00:00:00,1.6504,1.6553,1.63,1.6378,542894.44
2020-08-18 04:00:00,1.6409,1.6503,1.62,1.6231,580466.23
2020-08-18 08:00:00,1.621,1.6988,1.618,1.6332,804998.46
2020-08-18 12:00:00,1.6326,1.7998,1.5252,1.7356,3450869.38
2020-08-18 16:00:00,1.7368,1.75,1.6714,1.696,834048.86
2020-08-18 20:00:00,1.6981,1.699,1.6519,1.6714,305091.0
2020-08-19 00:00:00,1.6669,1.77,1.6459,1.6646,1175673.98
2020-08-19 04:00:00,1.6684,1.6685,1.5654,1.6223,1278492.85
2020-08-19 08:00:00,1.6187,1.6861,1.6164,1.6454,555239.53
2020-08-19 12:00:00,1.6468,1.6709,1.6049,1.6122,469274.78
2020-08-19 16:00:00,1.6108,1.6175,1.5581,1.5666,521738.87
2020-08-19 20:00:00,1.5666,1.607,1.55,1.5993,226810.64
2020-08-20 00:00:00,1.5994,1.6348,1.595,1.6215,278412.5
2020-08-20 04:00:00,1.6215,1.6499,1.6164,1.6333,503219.0
2020-08-20 08:00:00,1.6362,1.66,1.608,1.63,515169.2
2020-08-20 12:00:00,1.63,1.75,1.6258,1.733,1450421.25
2020-08-20 16:00:00,1.732,1.7616,1.713,1.74,691662.91
2020-08-20 20:00:00,1.74,1.789,1.7259,1.7748,377863.74
2020-08-21 00:00:00,1.7711,1.774,1.6105,1.6579,1084754.58
2020-08-21 04:00:00,1.658,1.6977,1.6293,1.6562,725787.24
2020-08-21 08:00:00,1.657,1.6909,1.6,1.6086,551302.13
2020-08-21 12:00:00,1.6087,1.626,1.556,1.6148,682533.67
2020-08-21 16:00:00,1.6209,1.6476,1.52,1.5717,696645.37
2020-08-21 20:00:00,1.576,1.5865,1.5,1.5098,467770.16
2020-08-22 00:00:00,1.5098,1.5401,1.41,1.5082,890769.39
2020-08-22 04:00:00,1.5082,1.5343,1.5026,1.53,306543.11
2020-08-22 08:00:00,1.53,1.537,1.4916,1.526,347039.45
2020-08-22 12:00:00,1.524,1.5656,1.524,1.5506,499141.54
2020-08-22 16:00:00,1.5551,1.5561,1.4994,1.5047,325443.19
2020-08-22 20:00:00,1.5035,1.5451,1.48,1.5425,463469.46
2020-08-23 00:00:00,1.5445,1.5961,1.5217,1.5457,363075.64
2020-08-23 04:00:00,1.5464,1.551,1.4946,1.5171,310361.6
