datetime,open,high,low,close,volume
2022-10-05 10:00:00,40.91,67.0,40.91,60.8,400062.707
2022-10-05 10:15:00,60.8,61.37,56.0,58.67,102520.55
2022-10-05 10:30:00,58.7,60.44,54.1,55.18,87459.092
2022-10-05 10:45:00,55.35,55.95,52.99,55.11,60830.948
2022-10-05 11:00:00,55.11,55.8,53.19,54.91,39189.115
2022-10-05 11:15:00,54.96,56.49,54.05,55.45,35213.714
2022-10-05 11:30:00,55.47,56.47,51.4,52.95,49733.783
2022-10-05 11:45:00,52.86,53.27,51.0,51.78,28126.69
2022-10-05 12:00:00,51.87,51.99,49.31,50.15,44885.269
2022-10-05 12:15:00,50.14,50.72,47.82,48.34,64628.752
2022-10-05 12:30:00,48.38,49.42,47.69,49.31,27806.001
2022-10-05 12:45:00,49.23,50.8,48.41,48.93,35226.999
2022-10-05 13:00:00,48.9,50.5,48.7,49.75,26548.526
2022-10-05 13:15:00,49.76,50.77,49.46,50.38,19099.75
2022-10-05 13:30:00,50.37,50.6,48.8,50.11,19141.673
2022-10-05 13:45:00,50.05,51.4,49.87,51.06,19061.587
2022-10-05 14:00:00,51.06,51.2,48.3,48.8,21944.921
2022-10-05 14:15:00,48.86,48.88,46.7,47.17,27831.005
2022-10-05 14:30:00,47.26,47.99,46.0,47.72,26704.388
2022-10-05 14:45:00,47.72,48.99,47.5,47.53,12497.802
2022-10-05 15:00:00,47.52,48.18,46.73,48.1,12971.565
2022-10-05 15:15:00,48.05,49.4,47.7,49.15,20784.85
2022-10-05 15:30:00,49.16,49.76,48.5,49.6,10521.491
2022-10-05 15:45:00,49.6,49.83,48.39,49.16,13036.617
2022-10-05 16:00:00,49.23,49.7,48.5,48.65,13042.64
2022-10-05 16:15:00,48.52,49.4,48.14,48.39,7640.729
2022-10-05 16:30:00,48.41,50.5,47.73,50.27,15260.486
2022-10-05 16:45:00,50.27,51.44,49.22,49.55,23477.033
2022-10-05 17:00:00,49.53,51.25,49.27,50.94,17678.946
2022-10-05 17:15:00,51.08,51.45,50.29,51.07,14508.531
2022-10-05 17:30:00,51.05,53.0,50.71,51.61,34055.765
2022-10-05 17:45:00,51.65,52.11,48.73,49.84,28230.927
2022-10-05 18:00:00,49.93,50.22,49.08,50.21,8969.405
2022-10-05 18:15:00,50.23,50.5,48.4,48.84,13076.52
2022-10-05 18:30:00,48.86,49.27,47.0,47.92,23725.449
2022-10-05 18:45:00,47.99,49.0,47.75,48.36,4963.886
2022-10-05 19:00:00,48.51,49.0,48.19,48.43,5759.152
2022-10-05 19:15:00,48.45,48.88,48.45,48.81,1741.525
2022-10-05 19:30:00,48.74,48.8,48.34,48.62,3041.828
2022-10-05 19:45:00,48.56,48.86,48.18,48.41,3183.495
2022-10-05 20:00:00,48.45,48.77,47.76,48.77,6109.928
