datetime,open,high,low,close,volume
2021-12-23 14:00:00,38.51,51.8,38.51,40.58,296551.318
2021-12-23 14:30:00,40.58,42.61,40.15,40.76,49992.055
2021-12-23 15:00:00,40.76,41.28,40.21,40.41,21529.043
2021-12-23 15:30:00,40.6,41.6,40.46,41.44,19647.416
2021-12-23 16:00:00,41.44,42.92,40.97,42.63,22846.351
2021-12-23 16:30:00,42.9,43.45,42.4,42.87,12238.112
2021-12-23 17:00:00,42.87,42.88,39.39,40.23,21499.131
2021-12-23 17:30:00,40.23,40.24,39.51,39.65,13693.472
2021-12-23 18:00:00,39.65,40.48,38.6,40.48,18392.907
2021-12-23 18:30:00,40.48,40.9,39.78,40.76,7366.636
2021-12-23 19:00:00,40.76,42.0,40.76,41.63,7299.823
2021-12-23 19:30:00,41.62,42.0,40.95,41.33,7688.943
2021-12-23 20:00:00,41.33,41.65,41.3,41.57,2554.524
2021-12-23 20:30:00,41.5,43.69,41.34,43.05,19187.504
2021-12-23 21:00:00,43.09,49.91,42.62,48.42,102190.984
2021-12-23 21:30:00,48.45,48.75,45.36,46.19,76296.876
2021-12-23 22:00:00,46.1,47.2,45.04,45.47,33251.51
2021-12-23 22:30:00,45.45,45.65,45.01,45.01,11728.987
2021-12-23 23:00:00,45.02,47.29,44.21,44.48,21792.577
2021-12-23 23:30:00,44.48,45.1,43.7,44.49,9486.751
2021-12-24 00:00:00,44.49,44.64,43.6,44.23,15282.039
2021-12-24 00:30:00,44.23,45.43,43.8,44.01,3294.839
2021-12-24 01:00:00,44.1,44.61,44.0,44.09,4318.33
2021-12-24 01:30:00,44.03,44.18,41.0,42.7,11357.232
2021-12-24 02:00:00,42.57,43.0,41.72,42.49,6038.865
2021-12-24 02:30:00,42.49,42.8,42.07,42.71,4603.715
2021-12-24 03:00:00,42.71,43.61,42.7,42.7,3127.841
2021-12-24 03:30:00,42.7,42.9,42.7,42.7,3914.859
2021-12-24 04:00:00,42.7,42.96,42.7,42.7,1719.01
2021-12-24 04:30:00,42.71,43.0,42.7,42.73,996.75
2021-12-24 05:00:00,42.71,43.0,42.01,42.03,3588.776
2021-12-24 05:30:00,42.07,42.49,41.58,42.33,958.11
2021-12-24 06:00:00,42.3,42.71,41.33,41.86,1740.546
2021-12-24 06:30:00,41.86,42.72,41.82,42.3,1412.73
2021-12-24 07:00:00,42.13,42.72,41.5,41.85,1005.623
2021-12-24 07:30:00,41.75,42.37,41.31,41.91,14616.293
2021-12-24 08:00:00,41.91,42.31,41.6,41.9,1540.825
2021-12-24 08:30:00,41.9,42.55,41.89,42.27,2056.546
2021-12-24 09:00:00,41.89,42.49,41.89,42.27,1099.501
2021-12-24 09:30:00,42.39,43.0,42.01,42.05,1281.584
2021-12-24 10:00:00,42.05,42.47,42.01,42.08,725.736
2021-12-24 10:30:00,42.13,42.29,41.88,42.09,534.838
2021-12-24 11:00:00,42.09,42.09,41.5,41.53,2884.395
2021-12-24 11:30:00,41.73,41.99,41.33,41.39,2133.684
