datetime,open,high,low,close,volume
2020-09-24 09:00:00,1.86,8.0,1.86,3.481,2461061.564
2020-09-24 09:30:00,3.49,3.622,3.13,3.326,752253.187
2020-09-24 10:00:00,3.319,3.428,3.024,3.067,486934.765
2020-09-24 10:30:00,3.08,3.087,2.783,2.86,587226.304
2020-09-24 11:00:00,2.863,2.871,2.635,2.719,392018.798
2020-09-24 11:30:00,2.718,2.894,2.667,2.888,278109.269
2020-09-24 12:00:00,2.889,3.361,2.85,3.275,688425.73
2020-09-24 12:30:00,3.277,3.5,3.181,3.252,597818.515
2020-09-24 13:00:00,3.252,3.254,2.5,2.85,643654.32
2020-09-24 13:30:00,2.852,2.887,2.681,2.781,226303.487
2020-09-24 14:00:00,2.77,2.841,2.587,2.665,277522.755
2020-09-24 14:30:00,2.672,2.769,2.612,2.736,231971.751
2020-09-24 15:00:00,2.737,2.75,2.63,2.653,160061.587
2020-09-24 15:30:00,2.653,2.745,2.62,2.621,159636.277
2020-09-24 16:00:00,2.621,2.654,2.497,2.585,272359.618
2020-09-24 16:30:00,2.577,2.584,2.415,2.42,190869.187
2020-09-24 17:00:00,2.421,2.43,2.263,2.271,327580.251
2020-09-24 17:30:00,2.273,2.347,2.16,2.208,284100.371
2020-09-24 18:00:00,2.206,2.309,2.133,2.273,397757.154
2020-09-24 18:30:00,2.265,2.379,2.206,2.282,317472.774
2020-09-24 19:00:00,2.282,2.282,2.165,2.252,246839.078
2020-09-24 19:30:00,2.256,2.332,2.197,2.274,195752.974
2020-09-24 20:00:00,2.273,2.319,2.201,2.218,127597.522
2020-09-24 20:30:00,2.221,2.223,2.067,2.114,224984.419
2020-09-24 21:00:00,2.114,2.115,1.996,2.049,197610.409
2020-09-24 21:30:00,2.052,2.166,2.038,2.122,138910.421
2020-09-24 22:00:00,2.122,2.146,2.069,2.115,68229.836
2020-09-24 22:30:00,2.103,2.149,2.068,2.149,38550.564
2020-09-24 23:00:00,2.142,2.262,2.131,2.222,139704.874
