datetime,open,high,low,close,volume
2020-06-12 08:00:00,1.154,1.279,1.122,1.23,33660.978
2020-06-12 08:30:00,1.23,1.237,1.198,1.198,20942.792
2020-06-12 09:00:00,1.199,1.211,1.189,1.19,6904.092
2020-06-12 09:30:00,1.19,1.196,1.181,1.181,16210.797
2020-06-12 10:00:00,1.191,1.201,1.176,1.195,46694.661
2020-06-12 10:30:00,1.196,1.199,1.178,1.18,33567.816
2020-06-12 11:00:00,1.183,1.227,1.171,1.216,23266.812
2020-06-12 11:30:00,1.21,1.211,1.19,1.191,20477.569
2020-06-12 12:00:00,1.188,1.188,1.162,1.172,33511.613
2020-06-12 12:30:00,1.177,1.212,1.168,1.191,39276.764
2020-06-12 13:00:00,1.194,1.237,1.19,1.23,28298.344
2020-06-12 13:30:00,1.231,1.345,1.226,1.31,141602.28
2020-06-12 14:00:00,1.31,1.332,1.258,1.273,148113.314
2020-06-12 14:30:00,1.281,1.281,1.218,1.229,108032.365
2020-06-12 15:00:00,1.228,1.281,1.222,1.275,93159.781
2020-06-12 15:30:00,1.274,1.3,1.245,1.247,27098.443
2020-06-12 16:00:00,1.245,1.268,1.222,1.25,44069.572
2020-06-12 16:30:00,1.251,1.284,1.243,1.276,42705.773
2020-06-12 17:00:00,1.276,1.305,1.256,1.256,267056.621
2020-06-12 17:30:00,1.256,1.26,1.223,1.256,65347.734
2020-06-12 18:00:00,1.256,1.274,1.25,1.263,51514.98
2020-06-12 18:30:00,1.262,1.264,1.232,1.248,51203.501
2020-06-12 19:00:00,1.253,1.288,1.249,1.283,38913.58
2020-06-12 19:30:00,1.282,1.29,1.26,1.279,75343.12
2020-06-12 20:00:00,1.276,1.286,1.257,1.282,56845.013
2020-06-12 20:30:00,1.282,1.298,1.282,1.283,48007.875
2020-06-12 21:00:00,1.283,1.29,1.268,1.273,46669.221
2020-06-12 21:30:00,1.274,1.275,1.265,1.266,65379.196
2020-06-12 22:00:00,1.266,1.266,1.255,1.255,14280.812
2020-06-12 22:30:00,1.256,1.274,1.253,1.271,14925.879
2020-06-12 23:00:00,1.271,1.289,1.26,1.288,35369.383
2020-06-12 23:30:00,1.285,1.292,1.267,1.279,45749.762
2020-06-13 00:00:00,1.282,1.296,1.27,1.273,67908.7
2020-06-13 00:30:00,1.272,1.286,1.265,1.266,27541.835
2020-06-13 01:00:00,1.266,1.282,1.252,1.271,50310.013
2020-06-13 01:30:00,1.271,1.275,1.264,1.275,8341.192
2020-06-13 02:00:00,1.275,1.283,1.271,1.274,32707.849
2020-06-13 02:30:00,1.272,1.276,1.268,1.268,15213.151
2020-06-13 03:00:00,1.269,1.272,1.26,1.266,34934.066
2020-06-13 03:30:00,1.263,1.265,1.228,1.25,288985.473
2020-06-13 04:00:00,1.249,1.255,1.227,1.234,12194.472
2020-06-13 04:30:00,1.234,1.246,1.211,1.243,66633.33
2020-06-13 05:00:00,1.242,1.246,1.211,1.22,18345.728
2020-06-13 05:30:00,1.219,1.239,1.216,1.236,15511.657
2020-06-13 06:00:00,1.234,1.234,1.225,1.233,7350.563
2020-06-13 06:30:00,1.235,1.255,1.231,1.255,30472.021
2020-06-13 07:00:00,1.257,1.259,1.244,1.255,6991.506
2020-06-13 07:30:00,1.255,1.26,1.247,1.254,4755.215
2020-06-13 08:00:00,1.254,1.259,1.241,1.245,18220.503
2020-06-13 08:30:00,1.244,1.248,1.24,1.246,1836.528
2020-06-13 09:00:00,1.243,1.261,1.236,1.257,11999.984
2020-06-13 09:30:00,1.256,1.256,1.244,1.247,7124.47
2020-06-13 10:00:00,1.245,1.253,1.242,1.247,4521.066
2020-06-13 10:30:00,1.245,1.258,1.244,1.255,16149.937
2020-06-13 11:00:00,1.255,1.255,1.248,1.248,9557.427
2020-06-13 11:30:00,1.245,1.245,1.217,1.234,39006.756
2020-06-13 12:00:00,1.235,1.236,1.204,1.222,78935.47
2020-06-13 12:30:00,1.218,1.22,1.194,1.204,28035.56
2020-06-13 13:00:00,1.204,1.206,1.171,1.171,58669.709
2020-06-13 13:30:00,1.173,1.218,1.173,1.208,50772.176
2020-06-13 14:00:00,1.208,1.231,1.202,1.228,13062.426
2020-06-13 14:30:00,1.228,1.232,1.215,1.222,20480.77
2020-06-13 15:00:00,1.223,1.224,1.209,1.219,24300.998
2020-06-13 15:30:00,1.218,1.218,1.21,1.214,16287.224
2020-06-13 16:00:00,1.215,1.217,1.189,1.19,27041.306
2020-06-13 16:30:00,1.191,1.207,1.179,1.186,88029.683
2020-06-13 17:00:00,1.185,1.187,1.178,1.18,14324.341
2020-06-13 17:30:00,1.179,1.199,1.178,1.181,24922.768
2020-06-13 18:00:00,1.181,1.191,1.181,1.189,6209.954
2020-06-13 18:30:00,1.185,1.189,1.182,1.185,18176.936
2020-06-13 19:00:00,1.185,1.193,1.185,1.191,16276.577
2020-06-13 19:30:00,1.19,1.191,1.179,1.183,13890.694
2020-06-13 20:00:00,1.183,1.208,1.18,1.202,42276.437
2020-06-13 20:30:00,1.203,1.215,1.202,1.213,15274.304
2020-06-13 21:00:00,1.212,1.221,1.208,1.209,22336.713
2020-06-13 21:30:00,1.209,1.209,1.2,1.204,11869.261
2020-06-13 22:00:00,1.205,1.209,1.191,1.195,17756.788
2020-06-13 22:30:00,1.195,1.199,1.184,1.197,11542.841
2020-06-13 23:00:00,1.198,1.202,1.189,1.192,9095.046
2020-06-13 23:30:00,1.193,1.203,1.189,1.203,13595.545
2020-06-14 00:00:00,1.204,1.205,1.197,1.198,31265.499
2020-06-14 00:30:00,1.199,1.202,1.19,1.202,7602.565
2020-06-14 01:00:00,1.202,1.207,1.198,1.201,12465.582
2020-06-14 01:30:00,1.201,1.201,1.197,1.197,1125.113
2020-06-14 02:00:00,1.198,1.199,1.191,1.191,10385.598
2020-06-14 02:30:00,1.191,1.195,1.178,1.182,11770.566
2020-06-14 03:00:00,1.183,1.187,1.176,1.177,16575.678
2020-06-14 03:30:00,1.177,1.177,1.162,1.163,82870.057
2020-06-14 04:00:00,1.165,1.173,1.15,1.172,36281.41
2020-06-14 04:30:00,1.17,1.17,1.159,1.162,26456.456
2020-06-14 05:00:00,1.162,1.166,1.152,1.165,35691.493
2020-06-14 05:30:00,1.165,1.17,1.161,1.161,7329.479
2020-06-14 06:00:00,1.161,1.161,1.155,1.156,10696.475
2020-06-14 06:30:00,1.156,1.158,1.144,1.148,10918.977
2020-06-14 07:00:00,1.15,1.152,1.121,1.125,18362.177
2020-06-14 07:30:00,1.126,1.176,1.126,1.172,98924.178
2020-06-14 08:00:00,1.173,1.173,1.154,1.165,9978.891
2020-06-14 08:30:00,1.167,1.17,1.159,1.161,13581.386
2020-06-14 09:00:00,1.161,1.163,1.133,1.136,24345.851
2020-06-14 09:30:00,1.136,1.148,1.13,1.13,22314.573
2020-06-14 10:00:00,1.131,1.144,1.129,1.141,33405.223
2020-06-14 10:30:00,1.141,1.156,1.141,1.154,7346.976
2020-06-14 11:00:00,1.154,1.16,1.154,1.159,10050.612
2020-06-14 11:30:00,1.161,1.163,1.157,1.16,4821.065
2020-06-14 12:00:00,1.16,1.161,1.156,1.16,7466.401
2020-06-14 12:30:00,1.16,1.164,1.156,1.164,18463.33
2020-06-14 13:00:00,1.163,1.187,1.163,1.185,41893.817
2020-06-14 13:30:00,1.186,1.249,1.185,1.23,173262.022
2020-06-14 14:00:00,1.23,1.24,1.182,1.213,116180.963
2020-06-14 14:30:00,1.215,1.218,1.175,1.188,58578.65
2020-06-14 15:00:00,1.189,1.197,1.18,1.192,16646.84
2020-06-14 15:30:00,1.192,1.196,1.192,1.193,5835.237
2020-06-14 16:00:00,1.193,1.199,1.192,1.199,33504.767
2020-06-14 16:30:00,1.199,1.227,1.199,1.223,39103.657
2020-06-14 17:00:00,1.223,1.223,1.197,1.202,70835.917
2020-06-14 17:30:00,1.202,1.222,1.202,1.219,7692.025
2020-06-14 18:00:00,1.219,1.238,1.219,1.221,21371.18
2020-06-14 18:30:00,1.223,1.231,1.208,1.211,15055.201
2020-06-14 19:00:00,1.212,1.219,1.206,1.215,23976.864
2020-06-14 19:30:00,1.216,1.226,1.215,1.226,9916.545
2020-06-14 20:00:00,1.226,1.238,1.215,1.23,24690.258
2020-06-14 20:30:00,1.231,1.234,1.222,1.222,16133.07
2020-06-14 21:00:00,1.222,1.223,1.197,1.205,46391.078
2020-06-14 21:30:00,1.206,1.213,1.193,1.21,24357.97
2020-06-14 22:00:00,1.207,1.212,1.179,1.206,106779.695
2020-06-14 22:30:00,1.208,1.216,1.188,1.194,45113.087
2020-06-14 23:00:00,1.194,1.201,1.189,1.19,15045.213
2020-06-14 23:30:00,1.19,1.191,1.167,1.171,56436.647
2020-06-15 00:00:00,1.171,1.218,1.17,1.218,44690.449
2020-06-15 00:30:00,1.218,1.218,1.199,1.202,30946.833
2020-06-15 01:00:00,1.202,1.207,1.179,1.186,39610.67
2020-06-15 01:30:00,1.189,1.193,1.163,1.164,53922.489
2020-06-15 02:00:00,1.164,1.171,1.132,1.134,52791.903
2020-06-15 02:30:00,1.134,1.152,1.132,1.148,31840.935
2020-06-15 03:00:00,1.148,1.156,1.131,1.131,28756.973
2020-06-15 03:30:00,1.131,1.137,1.1,1.133,59122.345
2020-06-15 04:00:00,1.129,1.154,1.129,1.151,63152.163
2020-06-15 04:30:00,1.15,1.158,1.146,1.148,34795.338
2020-06-15 05:00:00,1.152,1.152,1.123,1.133,21566.169
2020-06-15 05:30:00,1.135,1.135,1.09,1.092,81232.612
2020-06-15 06:00:00,1.098,1.124,1.088,1.109,42760.624
2020-06-15 06:30:00,1.101,1.109,1.051,1.109,108028.231
2020-06-15 07:00:00,1.11,1.138,1.102,1.129,102526.523
2020-06-15 07:30:00,1.13,1.15,1.127,1.143,26253.562
2020-06-15 08:00:00,1.141,1.15,1.138,1.138,29600.719
2020-06-15 08:30:00,1.138,1.141,1.131,1.139,35905.439
2020-06-15 09:00:00,1.131,1.135,1.123,1.135,9573.822
2020-06-15 09:30:00,1.128,1.129,1.118,1.118,12450.305
2020-06-15 10:00:00,1.12,1.128,1.116,1.121,59527.274
2020-06-15 10:30:00,1.121,1.121,1.086,1.086,46150.756
2020-06-15 11:00:00,1.088,1.117,1.088,1.116,32772.542
2020-06-15 11:30:00,1.115,1.121,1.112,1.12,14859.816
2020-06-15 12:00:00,1.117,1.142,1.117,1.134,20456.896
2020-06-15 12:30:00,1.133,1.151,1.126,1.129,46576.287
2020-06-15 13:00:00,1.129,1.129,1.111,1.117,16370.823
2020-06-15 13:30:00,1.117,1.134,1.1,1.134,69488.486
2020-06-15 14:00:00,1.135,1.164,1.134,1.151,51048.553
2020-06-15 14:30:00,1.15,1.156,1.149,1.153,29803.806
2020-06-15 15:00:00,1.154,1.179,1.154,1.177,57281.756
2020-06-15 15:30:00,1.179,1.212,1.179,1.187,84314.949
2020-06-15 16:00:00,1.186,1.206,1.18,1.187,56656.721
2020-06-15 16:30:00,1.187,1.193,1.166,1.177,59745.173
2020-06-15 17:00:00,1.177,1.189,1.177,1.178,30702.278
2020-06-15 17:30:00,1.177,1.179,1.177,1.178,24019.522
2020-06-15 18:00:00,1.178,1.189,1.166,1.167,29776.569
2020-06-15 18:30:00,1.166,1.166,1.155,1.157,38332.811
2020-06-15 19:00:00,1.159,1.188,1.158,1.173,33862.464
2020-06-15 19:30:00,1.175,1.181,1.166,1.181,5507.446
2020-06-15 20:00:00,1.182,1.185,1.173,1.177,9883.786
2020-06-15 20:30:00,1.18,1.184,1.164,1.172,9897.615
2020-06-15 21:00:00,1.173,1.173,1.151,1.155,14184.877
2020-06-15 21:30:00,1.159,1.172,1.159,1.169,43476.793
2020-06-15 22:00:00,1.169,1.175,1.168,1.168,11023.379
2020-06-15 22:30:00,1.168,1.168,1.151,1.16,17462.34
2020-06-15 23:00:00,1.158,1.167,1.151,1.16,16659.544
2020-06-15 23:30:00,1.166,1.166,1.157,1.165,1419.14
2020-06-16 00:00:00,1.165,1.165,1.141,1.147,56713.549
2020-06-16 00:30:00,1.147,1.15,1.144,1.149,26176.998
2020-06-16 01:00:00,1.149,1.163,1.146,1.159,10313.65
2020-06-16 01:30:00,1.16,1.174,1.156,1.17,17906.621
2020-06-16 02:00:00,1.17,1.173,1.17,1.171,14158.299
2020-06-16 02:30:00,1.171,1.177,1.171,1.173,14570.781
2020-06-16 03:00:00,1.175,1.187,1.172,1.187,50305.689
2020-06-16 03:30:00,1.187,1.202,1.182,1.201,31348.259
