datetime,open,high,low,close,volume
2023-02-28 11:00:00,1.0,2.527,1.0,2.332,13045999.2
2023-02-28 11:30:00,2.329,2.678,2.28,2.542,8602430.7
2023-02-28 12:00:00,2.544,2.867,2.51,2.635,6912148.8
2023-02-28 12:30:00,2.634,2.65,2.434,2.527,2829206.4
2023-02-28 13:00:00,2.529,2.535,2.302,2.411,2079777.5
2023-02-28 13:30:00,2.413,2.478,2.326,2.34,1836741.1
2023-02-28 14:00:00,2.338,2.378,2.03,2.059,3106293.9
2023-02-28 14:30:00,2.058,2.12,1.96,2.01,3458892.4
2023-02-28 15:00:00,2.012,2.02,1.944,2.001,1780811.7
2023-02-28 15:30:00,2.004,2.009,1.855,1.94,1766880.6
2023-02-28 16:00:00,1.936,2.01,1.905,1.995,1481740.7
2023-02-28 16:30:00,1.995,2.06,1.956,2.005,2197920.0
2023-02-28 17:00:00,2.005,2.04,1.85,1.935,1562233.0
2023-02-28 17:30:00,1.937,1.97,1.893,1.936,574821.9
2023-02-28 18:00:00,1.936,2.012,1.935,2.0,775795.9
2023-02-28 18:30:00,2.001,2.013,1.891,1.915,996172.7
2023-02-28 19:00:00,1.914,1.95,1.872,1.886,425481.5
2023-02-28 19:30:00,1.886,2.003,1.851,1.976,987991.0
2023-02-28 20:00:00,1.977,2.07,1.911,1.977,1127605.4
2023-02-28 20:30:00,1.977,2.03,1.962,2.0,839373.7
2023-02-28 21:00:00,2.0,2.009,1.942,1.99,596954.3
2023-02-28 21:30:00,1.99,2.012,1.89,1.964,804564.4
2023-02-28 22:00:00,1.964,2.24,1.935,2.141,2483483.9
2023-02-28 22:30:00,2.141,2.43,2.134,2.257,3667434.2
2023-02-28 23:00:00,2.257,2.336,2.168,2.321,1567770.5
2023-02-28 23:30:00,2.318,2.36,2.133,2.166,1073141.0
2023-03-01 00:00:00,2.167,2.184,2.065,2.15,1167349.3
2023-03-01 00:30:00,2.15,2.231,2.116,2.135,746051.1
2023-03-01 01:00:00,2.135,2.266,2.131,2.265,663507.8
2023-03-01 01:30:00,2.262,2.3,2.132,2.145,959240.0
2023-03-01 02:00:00,2.149,2.234,2.148,2.171,346054.2
2023-03-01 02:30:00,2.168,2.193,2.126,2.129,254566.4
2023-03-01 03:00:00,2.129,2.138,2.018,2.05,740059.5
2023-03-01 03:30:00,2.05,2.125,2.036,2.065,452255.2
2023-03-01 04:00:00,2.06,2.085,1.983,2.07,738492.4
2023-03-01 04:30:00,2.072,2.11,1.805,2.002,1691540.4
2023-03-01 05:00:00,2.002,2.08,1.874,1.95,1038878.7
2023-03-01 05:30:00,1.95,1.978,1.9,1.948,483673.2
2023-03-01 06:00:00,1.945,1.969,1.915,1.941,321110.8
2023-03-01 06:30:00,1.944,2.22,1.944,2.217,1662754.1
2023-03-01 07:00:00,2.217,2.28,2.112,2.266,2512914.1
2023-03-01 07:30:00,2.263,2.418,2.226,2.241,2987566.6
2023-03-01 08:00:00,2.241,2.322,2.186,2.258,1282424.3
2023-03-01 08:30:00,2.258,2.39,2.24,2.33,1287109.7
2023-03-01 09:00:00,2.33,2.375,2.035,2.086,2622305.0
2023-03-01 09:30:00,2.084,2.123,1.882,2.014,2773709.6
2023-03-01 10:00:00,2.015,2.105,1.978,2.087,1156321.8
2023-03-01 10:30:00,2.089,2.11,2.022,2.093,772797.0
2023-03-01 11:00:00,2.093,2.135,2.0,2.018,1301570.9
2023-03-01 11:30:00,2.02,2.06,2.0,2.015,560188.8
2023-03-01 12:00:00,2.015,2.037,1.98,2.012,551765.3
2023-03-01 12:30:00,2.013,2.051,1.991,2.032,437722.2
2023-03-01 13:00:00,2.032,2.06,2.0,2.004,375185.8
2023-03-01 13:30:00,2.002,2.025,1.976,2.02,336830.0
2023-03-01 14:00:00,2.02,2.052,2.0,2.037,348939.8
2023-03-01 14:30:00,2.039,2.091,2.022,2.073,521445.5
2023-03-01 15:00:00,2.072,2.095,2.033,2.092,519213.5
2023-03-01 15:30:00,2.095,2.188,2.087,2.113,1209423.2
2023-03-01 16:00:00,2.114,2.12,2.017,2.068,672077.8
2023-03-01 16:30:00,2.066,2.083,2.038,2.049,291610.7
2023-03-01 17:00:00,2.05,2.062,2.015,2.041,297175.2
2023-03-01 17:30:00,2.042,2.062,2.025,2.039,259190.2
2023-03-01 18:00:00,2.039,2.04,2.01,2.032,194460.8
2023-03-01 18:30:00,2.031,2.036,2.017,2.017,128449.4
2023-03-01 19:00:00,2.017,2.018,1.96,2.0,308019.1
2023-03-01 19:30:00,2.0,2.012,1.968,2.004,282279.2
2023-03-01 20:00:00,2.004,2.006,1.938,1.952,335744.2
2023-03-01 20:30:00,1.952,1.998,1.94,1.985,204604.0
2023-03-01 21:00:00,1.985,1.989,1.955,1.964,114238.0
2023-03-01 21:30:00,1.963,1.972,1.932,1.956,191878.1
2023-03-01 22:00:00,1.956,1.96,1.925,1.936,212814.4
2023-03-01 22:30:00,1.935,1.941,1.9,1.902,381112.9
2023-03-01 23:00:00,1.902,1.943,1.9,1.921,401803.7
2023-03-01 23:30:00,1.919,1.952,1.91,1.928,255493.9
2023-03-02 00:00:00,1.926,1.999,1.901,1.969,475002.6
2023-03-02 00:30:00,1.968,1.968,1.932,1.934,180452.3
2023-03-02 01:00:00,1.933,1.943,1.909,1.935,241272.4
2023-03-02 01:30:00,1.936,1.967,1.915,1.942,252721.0
2023-03-02 02:00:00,1.942,1.951,1.927,1.95,118893.7
2023-03-02 02:30:00,1.948,1.962,1.906,1.91,208689.9
2023-03-02 03:00:00,1.91,1.918,1.882,1.883,295277.8
2023-03-02 03:30:00,1.883,1.915,1.85,1.91,435828.4
2023-03-02 04:00:00,1.91,1.92,1.821,1.85,333612.0
2023-03-02 04:30:00,1.85,1.878,1.82,1.833,273997.0
2023-03-02 05:00:00,1.833,1.9,1.822,1.868,281707.9
2023-03-02 05:30:00,1.867,1.873,1.832,1.836,127428.8
2023-03-02 06:00:00,1.835,1.861,1.824,1.829,158334.9
2023-03-02 06:30:00,1.829,1.851,1.777,1.814,377903.5
2023-03-02 07:00:00,1.814,1.815,1.772,1.809,317812.8
2023-03-02 07:30:00,1.808,1.851,1.735,1.768,669888.8
2023-03-02 08:00:00,1.768,1.82,1.75,1.79,427420.3
2023-03-02 08:30:00,1.789,1.795,1.76,1.793,303810.3
2023-03-02 09:00:00,1.794,1.799,1.777,1.791,169394.9
2023-03-02 09:30:00,1.791,1.792,1.75,1.75,178764.4
2023-03-02 10:00:00,1.751,1.769,1.715,1.757,335218.5
2023-03-02 10:30:00,1.756,1.765,1.71,1.734,319718.1
2023-03-02 11:00:00,1.732,1.764,1.72,1.76,199919.1
2023-03-02 11:30:00,1.76,1.76,1.736,1.75,134681.6
2023-03-02 12:00:00,1.752,1.795,1.747,1.782,275003.7
2023-03-02 12:30:00,1.783,1.783,1.75,1.753,117297.3
2023-03-02 13:00:00,1.751,1.77,1.731,1.763,165299.1
2023-03-02 13:30:00,1.765,1.787,1.756,1.756,122905.6
2023-03-02 14:00:00,1.756,1.821,1.752,1.787,486586.9
2023-03-02 14:30:00,1.786,1.86,1.773,1.831,853606.0
2023-03-02 15:00:00,1.831,1.865,1.81,1.851,317249.2
2023-03-02 15:30:00,1.851,1.861,1.813,1.816,134166.5
2023-03-02 16:00:00,1.813,1.822,1.774,1.796,188822.7
2023-03-02 16:30:00,1.796,1.805,1.75,1.75,277038.7
2023-03-02 17:00:00,1.75,1.767,1.744,1.751,119282.5
2023-03-02 17:30:00,1.752,1.79,1.75,1.758,152717.7
2023-03-02 18:00:00,1.757,1.803,1.755,1.765,176446.0
2023-03-02 18:30:00,1.768,1.817,1.768,1.795,168951.0
2023-03-02 19:00:00,1.792,1.814,1.79,1.793,84582.5
2023-03-02 19:30:00,1.793,1.801,1.769,1.773,87628.2
2023-03-02 20:00:00,1.775,1.814,1.765,1.803,103591.9
2023-03-02 20:30:00,1.803,1.844,1.794,1.817,174988.2
2023-03-02 21:00:00,1.817,1.849,1.8,1.838,136024.7
2023-03-02 21:30:00,1.838,1.841,1.803,1.82,94559.9
2023-03-02 22:00:00,1.82,1.84,1.811,1.818,66981.6
2023-03-02 22:30:00,1.814,1.838,1.81,1.824,34597.4
2023-03-02 23:00:00,1.825,1.833,1.801,1.826,84001.5
2023-03-02 23:30:00,1.826,1.84,1.806,1.816,78258.2
2023-03-03 00:00:00,1.814,1.83,1.806,1.807,53386.1
2023-03-03 00:30:00,1.807,1.807,1.795,1.798,96665.9
2023-03-03 01:00:00,1.796,1.802,1.7,1.704,447806.2
2023-03-03 01:30:00,1.705,1.727,1.61,1.614,608392.6
2023-03-03 02:00:00,1.614,1.696,1.61,1.672,321878.8
2023-03-03 02:30:00,1.671,1.675,1.619,1.621,205947.3
2023-03-03 03:00:00,1.62,1.646,1.601,1.634,174829.7
2023-03-03 03:30:00,1.638,1.668,1.6,1.628,280809.3
2023-03-03 04:00:00,1.628,1.657,1.579,1.654,395149.3
2023-03-03 04:30:00,1.655,1.725,1.655,1.69,410536.2
2023-03-03 05:00:00,1.69,1.718,1.671,1.681,136067.0
2023-03-03 05:30:00,1.682,1.716,1.672,1.698,161566.8
2023-03-03 06:00:00,1.698,1.705,1.632,1.655,171797.6
2023-03-03 06:30:00,1.656,1.679,1.614,1.631,216415.9
2023-03-03 07:00:00,1.632,1.664,1.619,1.649,140161.5
2023-03-03 07:30:00,1.649,1.675,1.636,1.65,162543.5
2023-03-03 08:00:00,1.653,1.656,1.623,1.629,129330.6
2023-03-03 08:30:00,1.628,1.69,1.627,1.67,277813.2
2023-03-03 09:00:00,1.671,1.7,1.639,1.659,215457.9
2023-03-03 09:30:00,1.659,1.659,1.628,1.634,119552.8
2023-03-03 10:00:00,1.634,1.649,1.634,1.639,58272.8
2023-03-03 10:30:00,1.639,1.668,1.636,1.65,145816.7
2023-03-03 11:00:00,1.65,1.665,1.636,1.648,116538.0
2023-03-03 11:30:00,1.645,1.648,1.631,1.631,70185.7
2023-03-03 12:00:00,1.633,1.646,1.63,1.641,44400.0
2023-03-03 12:30:00,1.643,1.648,1.62,1.627,89263.6
2023-03-03 13:00:00,1.628,1.629,1.609,1.618,172907.3
