datetime,open,high,low,close,volume
2021-03-19 08:00:00,9.38,17.6,9.38,10.316,3902804.494
2021-03-19 08:30:00,10.319,10.944,10.0,10.416,1004731.944
2021-03-19 09:00:00,10.439,10.714,10.21,10.253,338396.409
2021-03-19 09:30:00,10.253,10.253,9.633,9.91,356521.459
2021-03-19 10:00:00,9.91,10.452,9.762,9.87,250663.674
2021-03-19 10:30:00,9.87,10.3,9.7,9.975,198730.973
2021-03-19 11:00:00,9.967,10.76,9.88,10.502,284204.498
2021-03-19 11:30:00,10.495,10.67,10.178,10.65,171330.803
2021-03-19 12:00:00,10.653,11.59,10.653,11.435,848073.326
2021-03-19 12:30:00,11.441,11.56,10.931,10.968,350676.43
2021-03-19 13:00:00,10.98,11.309,10.7,10.989,191535.286
2021-03-19 13:30:00,10.988,10.988,10.336,10.48,181983.434
2021-03-19 14:00:00,10.481,11.0,10.203,10.685,233458.383
2021-03-19 14:30:00,10.674,10.674,10.46,10.522,47589.529
2021-03-19 15:00:00,10.522,11.006,10.47,10.789,155121.448
2021-03-19 15:30:00,10.819,10.821,10.3,10.334,137777.707
2021-03-19 16:00:00,10.337,10.639,9.958,9.958,125779.397
2021-03-19 16:30:00,9.972,10.363,9.951,9.978,87346.172
2021-03-19 17:00:00,9.978,10.022,9.66,9.7,108480.04
2021-03-19 17:30:00,9.698,9.84,9.684,9.765,63206.71
2021-03-19 18:00:00,9.75,9.905,9.728,9.749,24966.268
2021-03-19 18:30:00,9.749,9.817,9.68,9.808,18686.321
2021-03-19 19:00:00,9.808,9.83,9.777,9.821,14790.753
2021-03-19 19:30:00,9.816,9.829,9.78,9.792,12313.139
2021-03-19 20:00:00,9.792,9.829,9.747,9.761,18824.816
2021-03-19 20:30:00,9.754,9.795,9.5,9.571,122088.682
2021-03-19 21:00:00,9.571,9.706,9.5,9.576,24385.827
2021-03-19 21:30:00,9.559,10.186,9.529,10.033,105328.868
2021-03-19 22:00:00,10.035,10.089,10.03,10.051,17520.656
2021-03-19 22:30:00,10.051,10.063,9.7,9.793,34846.48
2021-03-19 23:00:00,9.795,9.851,9.672,9.697,24013.908
2021-03-19 23:30:00,9.697,9.728,9.582,9.613,23147.647
2021-03-20 00:00:00,9.61,9.664,9.513,9.537,24946.493
2021-03-20 00:30:00,9.54,10.1,9.437,9.555,105187.619
2021-03-20 01:00:00,9.555,9.622,9.506,9.6,21222.009
2021-03-20 01:30:00,9.6,9.704,9.583,9.674,19502.172
2021-03-20 02:00:00,9.679,9.851,9.579,9.77,58673.323
2021-03-20 02:30:00,9.773,9.829,9.689,9.708,19700.275
2021-03-20 03:00:00,9.712,9.768,9.691,9.721,20832.483
2021-03-20 03:30:00,9.715,9.724,9.691,9.703,20358.493
2021-03-20 04:00:00,9.702,9.73,9.637,9.675,31209.8
2021-03-20 04:30:00,9.675,9.72,9.475,9.48,39550.557
2021-03-20 05:00:00,9.48,9.539,9.049,9.158,252187.704
2021-03-20 05:30:00,9.173,9.239,9.04,9.059,66752.032
2021-03-20 06:00:00,9.061,9.078,8.9,9.009,83575.043
2021-03-20 06:30:00,9.013,9.251,8.75,8.987,160885.023
2021-03-20 07:00:00,8.983,8.983,8.757,8.757,67789.514
2021-03-20 07:30:00,8.759,8.982,8.729,8.924,89681.077
2021-03-20 08:00:00,8.933,9.258,8.933,9.207,125788.327
2021-03-20 08:30:00,9.207,9.248,9.0,9.103,66329.374
2021-03-20 09:00:00,9.102,9.177,9.088,9.177,44717.551
2021-03-20 09:30:00,9.178,9.375,9.176,9.219,59903.58
2021-03-20 10:00:00,9.219,9.247,9.07,9.109,52324.575
2021-03-20 10:30:00,9.122,9.131,8.95,8.979,41428.729
2021-03-20 11:00:00,8.98,9.018,8.95,8.973,31568.927
2021-03-20 11:30:00,8.972,9.1,8.95,9.091,62542.868
2021-03-20 12:00:00,9.095,9.297,9.063,9.173,93133.996
2021-03-20 12:30:00,9.175,9.226,9.041,9.141,87939.597
