datetime,open,high,low,close,volume
2022-02-08 06:30:00,0.6868,0.879,0.6868,0.7836,10457748.8
2022-02-08 07:00:00,0.7836,0.839,0.768,0.8091,3688512.0
2022-02-08 07:30:00,0.8118,0.835,0.7872,0.8045,1681364.3
2022-02-08 08:00:00,0.8045,0.8047,0.7605,0.7767,1297455.6
2022-02-08 08:30:00,0.7758,0.794,0.7655,0.7736,1135406.8
2022-02-08 09:00:00,0.7732,0.793,0.7551,0.7597,1206010.6
2022-02-08 09:30:00,0.7597,0.78,0.7508,0.7639,763744.7
2022-02-08 10:00:00,0.7625,0.7684,0.7512,0.761,509749.7
2022-02-08 10:30:00,0.7605,0.7614,0.7522,0.7537,252536.7
2022-02-08 11:00:00,0.7533,0.7575,0.7379,0.7439,776479.7
2022-02-08 11:30:00,0.7439,0.7851,0.73,0.7784,1309703.5
2022-02-08 12:00:00,0.7789,0.7845,0.74,0.7436,854751.0
2022-02-08 12:30:00,0.7431,0.7597,0.735,0.7472,546347.6
2022-02-08 13:00:00,0.7479,0.775,0.7468,0.7678,550730.4
2022-02-08 13:30:00,0.7678,0.775,0.757,0.7664,446838.6
2022-02-08 14:00:00,0.7666,0.7698,0.7449,0.7516,522596.1
2022-02-08 14:30:00,0.7515,0.7537,0.7235,0.73,700876.6
2022-02-08 15:00:00,0.73,0.742,0.7152,0.7253,999291.4
2022-02-08 15:30:00,0.7253,0.7529,0.7233,0.736,632289.9
2022-02-08 16:00:00,0.736,0.7596,0.7353,0.7567,457159.3
2022-02-08 16:30:00,0.757,0.7615,0.7283,0.7356,461695.2
2022-02-08 17:00:00,0.7365,0.7425,0.72,0.7212,456257.6
2022-02-08 17:30:00,0.7212,0.7286,0.6954,0.701,854014.0
2022-02-08 18:00:00,0.7011,0.7256,0.701,0.7163,566737.1
2022-02-08 18:30:00,0.7163,0.733,0.7012,0.7098,395052.8
2022-02-08 19:00:00,0.7117,0.7127,0.6962,0.7038,351998.8
2022-02-08 19:30:00,0.7036,0.707,0.688,0.6925,463287.3
2022-02-08 20:00:00,0.694,0.7299,0.6931,0.7256,441276.5
2022-02-08 20:30:00,0.7256,0.755,0.7192,0.7529,1245145.4
2022-02-08 21:00:00,0.754,0.754,0.7302,0.7474,575232.2
2022-02-08 21:30:00,0.7465,0.7714,0.7404,0.7667,652895.4
2022-02-08 22:00:00,0.7637,0.7798,0.7448,0.748,1141579.2
2022-02-08 22:30:00,0.7487,0.767,0.7421,0.7627,264981.7
2022-02-08 23:00:00,0.7647,0.7762,0.7479,0.7592,494245.2
2022-02-08 23:30:00,0.7601,0.778,0.7592,0.7626,528135.2
2022-02-09 00:00:00,0.7625,0.765,0.7439,0.7523,412181.7
2022-02-09 00:30:00,0.752,0.7988,0.7459,0.7967,1203240.8
2022-02-09 01:00:00,0.7972,0.8064,0.7727,0.7768,851529.4
2022-02-09 01:30:00,0.7768,0.82,0.774,0.7839,570389.5
2022-02-09 02:00:00,0.7827,0.7869,0.7513,0.7587,470422.8
2022-02-09 02:30:00,0.7569,0.7572,0.7395,0.7472,388329.0
2022-02-09 03:00:00,0.7467,0.7546,0.7454,0.7509,124874.6
2022-02-09 03:30:00,0.7512,0.7542,0.7394,0.7462,121080.1
2022-02-09 04:00:00,0.7461,0.7516,0.7442,0.7486,102123.4
2022-02-09 04:30:00,0.748,0.749,0.74,0.7444,85294.4
2022-02-09 05:00:00,0.7447,0.7461,0.7261,0.7319,249824.6
2022-02-09 05:30:00,0.7308,0.7411,0.7258,0.7343,224139.1
2022-02-09 06:00:00,0.7343,0.7401,0.7297,0.7346,130350.3
2022-02-09 06:30:00,0.7342,0.7411,0.7313,0.7409,193650.2
2022-02-09 07:00:00,0.7405,0.7416,0.7335,0.7356,115888.3
