datetime,open,high,low,close,volume
2023-08-15 12:00:00,1.44,17.79,1.44,7.128,1148845.78
2023-08-15 12:05:00,7.127,7.247,6.844,7.173,492686.84
2023-08-15 12:10:00,7.164,8.17,7.071,7.172,708003.88
2023-08-15 12:15:00,7.171,7.181,6.67,6.845,394376.1
2023-08-15 12:20:00,6.842,6.848,6.3,6.301,249721.62
2023-08-15 12:25:00,6.3,6.541,6.2,6.358,189850.95
2023-08-15 12:30:00,6.356,6.6,6.353,6.479,184371.29
2023-08-15 12:35:00,6.479,6.51,6.007,6.26,233824.71
2023-08-15 12:40:00,6.257,6.266,6.13,6.131,163903.03
2023-08-15 12:45:00,6.131,6.325,6.13,6.249,201975.04
2023-08-15 12:50:00,6.252,6.292,6.11,6.207,146766.08
2023-08-15 12:55:00,6.203,6.384,6.19,6.264,218519.82
2023-08-15 13:00:00,6.262,6.316,6.16,6.248,126406.73
2023-08-15 13:05:00,6.248,6.249,6.07,6.079,203236.64
2023-08-15 13:10:00,6.082,6.083,5.756,5.94,339052.35
2023-08-15 13:15:00,5.939,5.943,5.6,5.655,249599.83
2023-08-15 13:20:00,5.655,5.771,5.623,5.661,190559.57
2023-08-15 13:25:00,5.66,5.77,5.624,5.732,170865.05
2023-08-15 13:30:00,5.732,5.764,5.671,5.728,138507.14
2023-08-15 13:35:00,5.728,5.74,5.45,5.503,219298.08
2023-08-15 13:40:00,5.503,5.662,5.465,5.575,123215.36
2023-08-15 13:45:00,5.572,5.692,5.55,5.606,135626.99
2023-08-15 13:50:00,5.611,5.643,5.523,5.62,97022.43
2023-08-15 13:55:00,5.612,5.683,5.579,5.666,108600.29
2023-08-15 14:00:00,5.657,5.711,5.528,5.542,137466.76
2023-08-15 14:05:00,5.542,5.61,5.521,5.593,61402.64
2023-08-15 14:10:00,5.593,5.599,5.41,5.459,122846.08
2023-08-15 14:15:00,5.459,5.545,5.45,5.467,73438.07
2023-08-15 14:20:00,5.469,5.528,5.467,5.488,59299.03
2023-08-15 14:25:00,5.488,5.496,5.264,5.28,158004.27
2023-08-15 14:30:00,5.275,5.36,5.203,5.347,136593.04
2023-08-15 14:35:00,5.349,5.45,5.34,5.4,98407.6
2023-08-15 14:40:00,5.397,5.397,5.282,5.326,75570.05
2023-08-15 14:45:00,5.327,5.35,5.25,5.333,83427.54
2023-08-15 14:50:00,5.333,5.347,5.27,5.282,58064.76
2023-08-15 14:55:00,5.282,5.33,5.274,5.315,63183.26
2023-08-15 15:00:00,5.315,5.415,5.27,5.407,109528.68
