datetime,open,high,low,close,volume
2022-01-10,0.06464,0.098,0.05651,0.05751,3843536047.0
2022-01-17,0.05761,0.05881,0.03232,0.03983,1475086659.0
2022-01-24,0.03988,0.04538,0.03419,0.03884,519780780.0
2022-01-31,0.03878,0.04272,0.03524,0.03963,390013051.0
2022-02-07,0.03973,0.06333,0.03894,0.04334,2652875934.0
2022-02-14,0.04332,0.069,0.04299,0.05119,3389133618.0
2022-02-21,0.05117,0.05594,0.04003,0.04614,1213754571.0
2022-02-28,0.04614,0.05099,0.04263,0.04285,529429369.0
2022-03-07,0.04286,0.0446,0.03912,0.03947,371360445.0
2022-03-14,0.0394,0.04566,0.03794,0.04007,423657938.0
2022-03-21,0.04007,0.0445,0.03991,0.04349,886763799.0
2022-03-28,0.04349,0.04661,0.0398,0.04275,789909620.0
2022-04-04,0.04275,0.048,0.03757,0.03792,697838390.0
2022-04-11,0.03794,0.04499,0.03424,0.03517,1912047722.0
2022-04-18,0.03514,0.03691,0.03148,0.03152,2062904871.0
2022-04-25,0.0315,0.03194,0.02359,0.02503,1540611664.0
2022-05-02,0.02508,0.02817,0.0216,0.02208,2128466618.0
2022-05-09,0.02209,0.02513,0.01309,0.01722,1398482865.0
2022-05-16,0.0172,0.01777,0.01464,0.01758,461726349.0
2022-05-23,0.01755,0.03763,0.01601,0.01717,3569244778.0
2022-05-30,0.01717,0.01853,0.01476,0.01527,876531719.0
2022-06-06,0.01531,0.01623,0.01196,0.01235,669575037.0
2022-06-13,0.01234,0.0162,0.01059,0.0124,1397001001.0
2022-06-20,0.01241,0.01431,0.0116,0.0121,1403399586.0
2022-06-27,0.0121,0.01408,0.01102,0.01204,1569029680.0
2022-07-04,0.01206,0.01395,0.01174,0.0125,714161473.0
2022-07-11,0.01248,0.01338,0.01103,0.0124,829006905.0
2022-07-18,0.0124,0.02275,0.0124,0.01417,7335626868.0
2022-07-25,0.01417,0.01879,0.01318,0.01589,3294718309.0
2022-08-01,0.01591,0.01718,0.01384,0.01595,1348457319.0
2022-08-08,0.01595,0.018,0.01495,0.01565,1592365047.0
2022-08-15,0.01567,0.01684,0.01305,0.01462,1127817670.0
2022-08-22,0.01462,0.0152,0.01279,0.01298,629691049.0
2022-08-29,0.01297,0.01465,0.01268,0.01318,1110762003.0
2022-09-05,0.01318,0.0139,0.01182,0.01319,1203280584.0
2022-09-12,0.01319,0.01334,0.01176,0.01189,612461171.0
2022-09-19,0.01189,0.01249,0.01111,0.01176,1612505290.0
2022-09-26,0.01179,0.01415,0.01118,0.01135,2648080511.0
2022-10-03,0.01136,0.012,0.01052,0.01105,1386242361.0
2022-10-10,0.01104,0.01776,0.01,0.01237,4424368806.0
2022-10-17,0.01236,0.01294,0.01055,0.01121,1749591837.0
2022-10-24,0.01121,0.0158,0.0111,0.01138,2940027587.0
2022-10-31,0.01141,0.0126,0.01124,0.01185,1902724885.0
2022-11-07,0.01185,0.01215,0.00892,0.00931,1363833864.0
2022-11-14,0.00931,0.01072,0.00846,0.00946,1308786500.0
2022-11-21,0.00948,0.01009,0.00892,0.00927,1483851351.0
