datetime,open,high,low,close,volume
2023-02-13,0.4039,0.46187,0.39134,0.4,91096323.0
2023-02-20,0.39999,0.47389,0.37053,0.4167,551705114.0
2023-02-27,0.41639,0.56,0.40625,0.46567,1060351347.0
2023-03-06,0.46578,0.46578,0.2851,0.37667,871802653.0
2023-03-13,0.3766,0.59,0.34249,0.51672,1993926595.0
2023-03-20,0.51679,0.52982,0.426,0.44665,876345376.0
2023-03-27,0.44665,0.45375,0.38665,0.41127,541871364.0
2023-04-03,0.41123,0.42877,0.36702,0.40225,306807958.0
2023-04-10,0.40224,0.45946,0.37922,0.43862,450969988.0
2023-04-17,0.43863,0.44432,0.3286,0.35012,340619809.0
2023-04-24,0.35014,0.367,0.32575,0.32736,231009771.0
2023-05-01,0.32732,0.32966,0.26542,0.27863,284406173.0
2023-05-08,0.27858,0.28177,0.22623,0.24558,376790985.0
2023-05-15,0.24552,0.32533,0.23933,0.28036,645128239.0
2023-05-22,0.28036,0.32942,0.25024,0.31537,709146922.0
2023-05-29,0.31544,0.33388,0.28423,0.29277,400669059.0
2023-06-05,0.29274,0.29382,0.17101,0.19999,359367505.0
2023-06-12,0.19995,0.2279,0.18622,0.21533,367326636.0
2023-06-19,0.21532,0.26647,0.20906,0.24289,392913314.0
2023-06-26,0.2428,0.265,0.21223,0.24713,319983798.0
2023-07-03,0.24714,0.26973,0.226,0.22832,255077929.0
2023-07-10,0.22835,0.28185,0.21958,0.2431,446785850.0
2023-07-17,0.24307,0.24901,0.22654,0.23462,180216887.0
2023-07-24,0.23462,0.23956,0.21246,0.21803,143885096.0
2023-07-31,0.21821,0.22681,0.19925,0.20971,154365125.0
2023-08-07,0.20979,0.21717,0.20085,0.2147,121903225.0
2023-08-14,0.21469,0.22336,0.15791,0.18218,292072968.0
2023-08-21,0.18224,0.1951,0.16537,0.17938,258165702.0
2023-08-28,0.17933,0.19816,0.17287,0.18753,316898764.0
2023-09-04,0.18761,0.19829,0.17476,0.17892,199946841.0
2023-09-11,0.17893,0.189,0.16815,0.17702,152752685.0
2023-09-18,0.17704,0.18866,0.17438,0.17602,102958143.0
2023-09-25,0.17599,0.1966,0.17215,0.19533,109328162.0
2023-10-02,0.19546,0.19813,0.1733,0.17802,106714472.0
2023-10-09,0.17797,0.17983,0.16314,0.16719,98830074.0
2023-10-16,0.16718,0.18323,0.15706,0.18241,156614053.0
2023-10-23,0.18244,0.24795,0.17777,0.23856,459061317.0
2023-10-30,0.23848,0.26,0.214,0.24756,391626678.0
2023-11-06,0.24759,0.27111,0.22103,0.25856,381914543.0
2023-11-13,0.25855,0.3059,0.22416,0.29757,477596772.0
2023-11-20,0.29773,0.33,0.25977,0.30891,582193757.0
2023-11-27,0.309,0.325,0.29474,0.31477,277556822.0
2023-12-04,0.31481,0.34608,0.2984,0.32928,298362467.0
2023-12-11,0.32929,0.35945,0.28676,0.31708,349981557.0
2023-12-18,0.31707,0.35465,0.29,0.3333,244218061.0
2023-12-25,0.33334,0.36734,0.31002,0.31945,205432018.0
2024-01-01,0.31944,0.34452,0.23617,0.25842,231432898.0
2024-01-08,0.25854,0.30888,0.23967,0.28028,187285782.0
