datetime,open,high,low,close,volume
2019-11-04,0.02109,0.038,0.01933,0.02051,743382758.8
2019-11-11,0.0205,0.02069,0.01625,0.01734,257657123.7
2019-11-18,0.01734,0.01744,0.01012,0.01016,234882769.2
2019-11-25,0.01012,0.01322,0.00897,0.01111,199594972.9
2019-12-02,0.01111,0.01184,0.01029,0.01151,167461212.9
2019-12-09,0.01151,0.01178,0.00878,0.00968,129508318.5
2019-12-16,0.00971,0.0119,0.00795,0.01058,224884930.0
2019-12-23,0.01058,0.0125,0.00974,0.00989,362285937.8
2019-12-30,0.0099,0.01097,0.00926,0.01008,2261120491.8
2020-01-06,0.01008,0.01035,0.009,0.00923,411746047.2
2020-01-13,0.00923,0.0095,0.00795,0.0081,176017047.6
2020-01-20,0.00811,0.00981,0.008,0.00887,157225464.4
2020-01-27,0.00888,0.01204,0.00865,0.01135,205256402.9
2020-02-03,0.01133,0.01879,0.01124,0.01638,184238672.3
2020-02-10,0.0165,0.02058,0.01507,0.01772,249157184.0
2020-02-17,0.01771,0.023,0.01075,0.01255,730549289.7
2020-02-24,0.01257,0.01339,0.009,0.00963,291170649.2
2020-03-02,0.00964,0.0128,0.00888,0.00909,346596278.9
2020-03-09,0.00906,0.01049,0.00326,0.00535,269946852.3
2020-03-16,0.00535,0.00713,0.00399,0.00591,248939411.5
2020-03-23,0.00589,0.00726,0.00561,0.00595,180656849.8
2020-03-30,0.00594,0.00808,0.00591,0.00764,192627204.8
2020-04-06,0.00764,0.00805,0.00694,0.00711,110803157.2
2020-04-13,0.00707,0.00857,0.00672,0.00791,162953902.9
2020-04-20,0.00792,0.01082,0.00752,0.00988,349035405.3
2020-04-27,0.00986,0.01145,0.00945,0.01055,203104232.6
2020-05-04,0.01051,0.01293,0.00919,0.01197,273097050.5
2020-05-11,0.01199,0.0135,0.01005,0.01085,903209452.5
2020-05-18,0.01084,0.01114,0.00992,0.01049,216537464.7
2020-05-25,0.01046,0.0121,0.01041,0.01089,252777778.8
2020-06-01,0.0109,0.01228,0.01033,0.01219,207471517.9
2020-06-08,0.01221,0.01458,0.01178,0.01226,385503750.2
2020-06-15,0.01228,0.01525,0.01106,0.01379,345049472.8
2020-06-22,0.01379,0.01407,0.01134,0.01213,125331793.4
2020-06-29,0.01212,0.0142,0.01204,0.01346,126727163.5
2020-07-06,0.01345,0.03982,0.01325,0.02414,2212069477.7
2020-07-13,0.02415,0.02665,0.01989,0.02223,951670637.1
2020-07-20,0.02229,0.028,0.0215,0.0242,602237045.9
2020-07-27,0.0242,0.02432,0.02028,0.02149,458585447.0
2020-08-03,0.02147,0.0297,0.02138,0.02915,459512890.5
2020-08-10,0.02907,0.05795,0.02773,0.0505,1463046106.7
2020-08-17,0.05052,0.053,0.022,0.03654,750286043.6
2020-08-24,0.0365,0.04658,0.03494,0.04213,426548313.0
2020-08-31,0.04215,0.047,0.03015,0.04142,695749385.7
2020-09-07,0.04139,0.04404,0.0353,0.03896,368708259.0
2020-09-14,0.03906,0.04145,0.0286,0.02937,486085038.6
2020-09-21,0.02937,0.03145,0.02013,0.0234,376111309.7
