datetime,open,high,low,close,volume
2022-02-28,0.1392,0.178,0.0998,0.0999,494698955.0
2022-03-07,0.0998,0.125,0.0969,0.1055,396907369.9
2022-03-14,0.1057,0.115,0.0985,0.1049,167010085.4
2022-03-21,0.1051,0.1208,0.1017,0.113,221675695.7
2022-03-28,0.113,0.29,0.1129,0.2164,1838873461.9
2022-04-04,0.2163,0.3382,0.1976,0.3086,1702150351.3
2022-04-11,0.3086,0.3109,0.2158,0.2212,837244075.3
2022-04-18,0.2212,0.2419,0.1776,0.1853,771415109.5
2022-04-25,0.1853,0.1884,0.1302,0.1381,851160486.2
2022-05-02,0.1381,0.1798,0.119,0.1256,803510347.2
2022-05-09,0.1257,0.1283,0.042,0.0751,999693132.9
2022-05-16,0.0748,0.075,0.0545,0.0586,553155395.7
2022-05-23,0.0585,0.0888,0.0517,0.0578,1741402290.6
2022-05-30,0.0578,0.0783,0.0567,0.0605,685370487.1
2022-06-06,0.0604,0.0664,0.0451,0.0497,510194096.9
2022-06-13,0.0497,0.0515,0.0415,0.0468,687010234.8
2022-06-20,0.0469,0.0588,0.0444,0.0485,336776705.3
2022-06-27,0.0485,0.0595,0.0408,0.0427,402827229.9
2022-07-04,0.0428,0.0476,0.042,0.043,269742291.0
2022-07-11,0.043,0.0445,0.0393,0.0412,312877203.9
2022-07-18,0.0413,0.0518,0.0411,0.0439,626720843.2
2022-07-25,0.044,0.0522,0.0396,0.0477,469936258.2
2022-08-01,0.0477,0.055,0.0442,0.0513,409795093.8
2022-08-08,0.0513,0.0548,0.0459,0.047,381799982.8
2022-08-15,0.047,0.0479,0.039,0.0408,292211975.0
2022-08-22,0.0408,0.0417,0.035,0.0351,192510090.8
2022-08-29,0.035,0.0378,0.0348,0.0366,111462455.3
2022-09-05,0.0366,0.0389,0.0328,0.0376,199557761.3
2022-09-12,0.0375,0.046,0.0349,0.0362,539315663.7
2022-09-19,0.036,0.0439,0.0342,0.0414,392930595.3
2022-09-26,0.0414,0.046,0.0363,0.0367,387542484.2
2022-10-03,0.0367,0.0385,0.0363,0.0371,100322236.2
2022-10-10,0.037,0.041,0.0326,0.0365,197762213.6
2022-10-17,0.0364,0.0387,0.0347,0.0368,127837857.8
2022-10-24,0.0367,0.0382,0.0354,0.0367,117498984.4
2022-10-31,0.0368,0.0529,0.0357,0.0444,522738045.4
2022-11-07,0.0443,0.052,0.035,0.0363,466358989.3
2022-11-14,0.0362,0.0379,0.035,0.0355,89603683.1
2022-11-21,0.0356,0.0474,0.035,0.039,224536193.1
2022-11-28,0.039,0.044,0.0375,0.042,178267715.5
2022-12-05,0.0419,0.0456,0.0417,0.0431,122472647.5
2022-12-12,0.0431,0.0436,0.037,0.0384,96602256.4
2022-12-19,0.0384,0.041,0.0372,0.0388,67668895.9
2022-12-26,0.0389,0.0425,0.0373,0.0394,75862841.4
2023-01-02,0.0395,0.0414,0.0385,0.0406,102085811.9
2023-01-09,0.0406,0.0461,0.0388,0.0445,200925050.3
2023-01-16,0.0444,0.0599,0.0406,0.0507,352774932.5
2023-01-23,0.0506,0.0632,0.0462,0.0574,403480206.9
2023-01-30,0.0574,0.064,0.0527,0.0539,474069949.8
2023-02-06,0.0539,0.0987,0.0522,0.075,1284705958.4
2023-02-13,0.075,0.1166,0.0722,0.1027,1833116084.6
2023-02-20,0.1026,0.1054,0.0723,0.082,609624855.4
2023-02-27,0.082,0.0827,0.0641,0.0667,370502788.6
2023-03-06,0.0668,0.0706,0.0516,0.0608,684643122.1
2023-03-13,0.0607,0.0756,0.0585,0.07,693476714.6
2023-03-20,0.0701,0.0723,0.0595,0.0622,368653193.6
2023-03-27,0.0621,0.066,0.0576,0.0612,380003313.5
2023-04-03,0.0613,0.0677,0.0592,0.0629,420288308.5
2023-04-10,0.0629,0.075,0.0622,0.0738,621434080.9
2023-04-17,0.0739,0.0742,0.0579,0.06,385240547.7
2023-04-24,0.06,0.0663,0.0574,0.0637,309513895.2
2023-05-01,0.0637,0.0644,0.0553,0.0561,292118644.5
2023-05-08,0.0561,0.0568,0.0487,0.0514,262724679.5
2023-05-15,0.0515,0.055,0.0507,0.0516,181699132.6
2023-05-22,0.0516,0.0537,0.049,0.0513,186564611.1
2023-05-29,0.0514,0.0528,0.0478,0.0494,289605617.9
2023-06-05,0.0494,0.0495,0.0305,0.0369,440741323.9
2023-06-12,0.0369,0.0415,0.0359,0.0403,326654474.1
2023-06-19,0.0402,0.0488,0.0402,0.0478,356402838.0
2023-06-26,0.0478,0.0485,0.0412,0.0444,301403410.6
2023-07-03,0.0444,0.0462,0.0415,0.0418,212683773.8
2023-07-10,0.0418,0.0468,0.0408,0.0418,208540082.7
2023-07-17,0.0418,0.0453,0.041,0.045,334164534.2
2023-07-24,0.045,0.057,0.0415,0.055,1040621519.8
2023-07-31,0.0549,0.0579,0.0481,0.0499,519948441.4
2023-08-07,0.0499,0.0633,0.0498,0.059,680952911.8
2023-08-14,0.059,0.063,0.0463,0.0606,1119698654.9
2023-08-21,0.0607,0.0694,0.058,0.0605,834152053.3
2023-08-28,0.0604,0.0638,0.054,0.0553,519143043.3
2023-09-04,0.0553,0.0614,0.0521,0.0589,373721612.0
2023-09-11,0.0589,0.0612,0.0483,0.0496,581558755.7
2023-09-18,0.0496,0.0599,0.0489,0.0502,483522735.8
2023-09-25,0.0501,0.0517,0.0461,0.0506,310363378.6
2023-10-02,0.0507,0.0508,0.0444,0.0461,371038627.1
2023-10-09,0.0461,0.0464,0.0409,0.0427,317244609.1
2023-10-16,0.0426,0.0439,0.0383,0.0418,389706004.6
2023-10-23,0.0418,0.0592,0.0412,0.0518,1219825387.7
2023-10-30,0.0518,0.0574,0.0515,0.0554,628026700.9
2023-11-06,0.0555,0.0848,0.0543,0.0812,1522012945.4
2023-11-13,0.0811,0.0874,0.0585,0.068,1464652926.1
2023-11-20,0.068,0.0692,0.0584,0.0675,562225753.1
2023-11-27,0.0676,0.0721,0.0629,0.0708,492953870.7
2023-12-04,0.0708,0.0777,0.0673,0.0761,753678392.1
2023-12-11,0.0761,0.0894,0.0663,0.0783,1091753789.0
2023-12-18,0.0783,0.23,0.074,0.1075,3262006092.6
2023-12-25,0.1074,0.1462,0.1006,0.136,1818913677.2
2024-01-01,0.1359,0.1908,0.1253,0.1279,1834204558.0
2024-01-08,0.1279,0.165,0.1127,0.1427,1332992838.6
