datetime,open,high,low,close,volume
2023-05-29,1.73,1.97,1.454,1.473,49923514.7
2023-06-05,1.475,1.52,0.796,0.982,47411700.2
2023-06-12,0.98,1.033,0.866,0.89,20782257.6
2023-06-19,0.89,1.068,0.873,0.983,29902252.0
2023-06-26,0.981,0.982,0.701,0.855,21391140.3
2023-07-03,0.856,0.875,0.73,0.74,14773851.7
2023-07-10,0.74,0.8,0.667,0.686,19277537.1
2023-07-17,0.685,0.714,0.657,0.682,21714139.1
2023-07-24,0.682,0.685,0.595,0.626,20794075.6
2023-07-31,0.625,0.696,0.577,0.641,27854041.3
2023-08-07,0.642,0.673,0.604,0.655,20406585.6
2023-08-14,0.655,0.67,0.411,0.505,25097851.3
2023-08-21,0.504,0.505,0.469,0.485,8258075.1
2023-08-28,0.485,0.588,0.458,0.543,46164510.7
2023-09-04,0.542,0.621,0.503,0.525,44159107.4
2023-09-11,0.526,0.605,0.482,0.518,21860472.3
2023-09-18,0.518,0.618,0.511,0.548,22881681.4
2023-09-25,0.548,0.707,0.543,0.698,22078688.1
2023-10-02,0.699,0.708,0.567,0.578,14411844.6
2023-10-09,0.578,0.584,0.518,0.541,13820679.8
2023-10-16,0.542,0.57,0.481,0.547,10499643.9
2023-10-23,0.547,0.639,0.534,0.624,19762551.2
2023-10-30,0.625,0.736,0.585,0.634,42861217.2
2023-11-06,0.634,0.727,0.582,0.717,28528390.0
2023-11-13,0.716,0.729,0.572,0.611,26979546.6
2023-11-20,0.611,0.725,0.518,0.675,32936315.2
2023-11-27,0.676,0.782,0.641,0.745,40194802.7
2023-12-04,0.745,0.936,0.654,0.921,50091657.1
2023-12-11,0.921,1.015,0.734,0.817,66905609.0
2023-12-18,0.817,1.0,0.782,0.867,54521353.8
2023-12-25,0.868,0.964,0.791,0.807,29769729.5
2024-01-01,0.806,0.876,0.69,0.701,26081303.5
2024-01-08,0.7,0.8,0.635,0.745,17188044.8
