datetime,open,high,low,close,volume
2020-06-22,209.18,269.0,202.97,245.45,89998.21267
2020-06-29,245.3,245.99,163.43,201.66,153099.01241
2020-07-06,200.85,204.23,167.0,176.07,141822.92234
2020-07-13,176.07,178.8,152.23,163.61,146141.57383
2020-07-20,163.6,174.04,153.16,157.45,167557.55695
2020-07-27,157.47,158.52,110.0,127.39,225527.19394
2020-08-03,127.48,175.0,124.69,170.89,282497.71742
2020-08-10,170.91,267.5,153.26,201.08,902586.63984
2020-08-17,201.4,211.6,160.34,169.18,450283.28845
2020-08-24,169.29,224.66,161.0,216.72,339431.67973
2020-08-31,216.6,272.61,145.2,170.85,576357.12115
2020-09-07,170.85,186.82,153.72,165.09,251946.40677
2020-09-14,165.01,170.74,140.33,144.62,185692.76888
2020-09-21,144.55,147.76,124.15,139.08,200444.19774
2020-09-28,139.29,141.53,116.57,119.46,157929.83178
2020-10-05,119.39,125.0,101.16,115.55,358156.77525
2020-10-12,115.79,120.86,99.35,104.89,180680.50046
2020-10-19,104.74,107.82,92.72,101.2,150590.49978
2020-10-26,101.2,120.89,88.29,93.84,288765.01237
2020-11-02,93.97,111.8,80.62,97.13,272970.35355
2020-11-09,97.07,130.4,93.07,120.2,373131.07419
2020-11-16,119.86,129.0,107.01,116.88,328647.49349
2020-11-23,116.95,139.78,98.5,110.49,365566.69273
2020-11-30,110.62,147.76,100.32,137.01,545940.31357
2020-12-07,137.16,179.48,135.0,147.36,712145.21348
2020-12-14,147.12,178.99,143.54,153.67,404940.91986
2020-12-21,153.53,155.57,122.0,131.15,212502.67511
2020-12-28,131.46,159.0,129.84,146.9,350114.31557
2021-01-04,146.92,208.97,137.0,194.39,459618.064
2021-01-11,194.55,229.0,147.51,216.96,447167.0938
2021-01-18,217.14,253.04,165.47,250.06,300198.73694
2021-01-25,250.38,349.0,205.16,347.19,456962.9072
2021-02-01,347.46,553.99,330.85,457.41,523633.69855
2021-02-08,457.41,573.0,436.01,471.27,489374.23581
2021-02-15,471.31,508.39,399.79,453.06,350772.35507
2021-02-22,453.51,470.7,322.15,405.12,515848.02383
2021-03-01,404.86,536.2,404.83,490.35,298275.5594
2021-03-08,490.77,505.52,413.15,438.13,193251.04983
2021-03-15,437.89,451.82,400.0,403.3,158714.70563
2021-03-22,403.43,424.24,330.0,362.24,232933.2913
2021-03-29,362.23,562.85,357.54,548.13,346985.32866
2021-04-05,548.44,556.0,434.66,458.84,314092.65024
2021-04-12,458.89,619.0,411.37,487.73,550092.85499
2021-04-19,487.71,665.69,423.39,553.46,899774.02279
2021-04-26,553.95,879.0,550.0,804.74,554514.86781
2021-05-03,805.03,850.0,692.98,770.7,409375.82236
2021-05-10,771.3,911.0,630.17,684.05,560379.93009
2021-05-17,684.6,726.37,267.55,339.79,722511.81336
2021-05-24,340.34,464.76,328.44,406.25,403692.84914
2021-05-31,405.51,459.64,376.8,388.28,235640.17647
2021-06-07,388.3,412.38,278.66,324.15,290918.7445
2021-06-14,324.22,349.0,259.57,293.66,220569.81953
2021-06-21,293.66,295.93,196.46,257.39,447238.6501
2021-06-28,257.4,464.72,248.79,443.98,1021950.16407
2021-07-05,443.72,530.98,386.7,436.65,1141892.94749
2021-07-12,436.62,444.52,358.51,379.37,508753.37328
2021-07-19,379.41,428.5,310.0,391.35,609376.65293
2021-07-26,391.12,438.32,375.7,409.03,464821.52675
2021-08-02,409.07,512.71,385.23,467.09,528166.76246
2021-08-09,466.99,497.89,440.18,488.95,390666.44071
2021-08-16,488.77,529.53,419.29,459.89,582047.70672
2021-08-23,459.71,484.99,389.7,418.5,397452.08685
2021-08-30,418.9,527.5,405.4,510.9,564409.31346
2021-09-06,511.2,528.6,350.2,403.7,459098.20766
2021-09-13,403.2,459.4,360.0,393.1,333833.925
2021-09-20,393.2,394.1,301.7,355.0,391321.66536
2021-09-27,354.6,375.2,279.9,326.7,629145.67177
2021-10-04,326.7,335.9,286.3,303.5,652086.288
2021-10-11,303.3,330.7,287.1,310.7,384801.297
2021-10-18,310.7,335.2,298.7,308.4,433162.751
2021-10-25,308.6,361.4,291.6,346.2,799721.671
2021-11-01,346.3,400.0,325.2,362.6,716203.526
2021-11-08,362.5,371.2,305.0,346.2,434922.714
2021-11-15,346.3,355.4,286.0,304.3,344613.082
2021-11-22,304.3,305.2,242.0,287.6,417833.97293
2021-11-29,287.2,297.0,185.0,211.4,282641.70327
2021-12-06,211.6,230.6,180.1,198.6,434027.708
2021-12-13,198.5,216.1,174.7,194.8,448370.20709
2021-12-20,194.7,241.5,181.6,234.8,412344.373
2021-12-27,234.9,249.0,192.9,210.4,387759.861
2022-01-03,210.3,244.8,180.6,194.0,531876.97
2022-01-10,193.9,202.4,175.2,191.2,232518.288
2022-01-17,191.2,191.8,110.2,128.4,384864.81391
2022-01-24,128.2,136.7,109.3,117.8,382341.006
2022-01-31,117.7,143.2,112.8,141.0,390922.361
2022-02-07,141.0,153.0,122.4,124.1,413032.143
2022-02-14,124.1,137.9,112.2,114.7,196480.873
2022-02-21,114.8,120.0,93.3,107.1,355191.495
2022-02-28,107.0,128.3,100.8,101.1,303639.114
2022-03-07,101.1,112.1,97.6,99.0,199934.681
2022-03-14,99.0,124.4,98.2,115.2,301493.201
2022-03-21,115.3,126.2,111.8,126.0,585098.438
2022-03-28,126.0,174.8,121.0,171.7,1819863.26
2022-04-04,171.7,171.7,131.5,134.0,504026.907
2022-04-11,134.0,156.5,115.7,141.8,783074.105
2022-04-18,141.7,149.4,128.6,129.4,466417.028
2022-04-25,129.3,134.0,101.0,105.7,372268.77
2022-05-02,105.7,117.2,94.8,97.5,352440.071
2022-05-09,97.5,99.6,53.6,74.9,1178672.8447
2022-05-16,74.8,75.5,61.4,70.5,454521.781
2022-05-23,70.4,75.2,54.3,57.0,810404.069
2022-05-30,57.0,70.1,54.9,58.0,836316.2
2022-06-06,58.0,61.8,40.6,41.1,707680.192
2022-06-13,41.2,41.4,26.2,32.0,1355961.491
2022-06-20,32.0,56.7,30.1,50.6,1891685.651
2022-06-27,50.7,53.9,42.95,49.45,1385744.856
