datetime,open,high,low,close,volume
2021-12-20,38.51,51.8,38.5,41.41,1069393.323
2021-12-27,41.56,63.0,40.27,47.71,2793453.323
2022-01-03,47.72,53.49,35.84,38.9,1921834.123
2022-01-10,38.9,48.62,32.88,40.94,1490891.61
2022-01-17,40.97,42.99,24.9,30.08,1110187.488
2022-01-24,30.15,30.18,21.7,26.62,1388390.201
2022-01-31,26.62,30.0,23.69,26.47,945345.541
2022-02-07,26.4,30.97,24.0,25.7,1307537.645
2022-02-14,25.65,30.33,22.59,23.26,536639.358
2022-02-21,23.25,24.14,16.17,17.41,833702.929
2022-02-28,17.4,32.31,14.99,16.5,5786053.129
2022-03-07,16.48,17.43,15.1,15.84,1620437.059
2022-03-14,15.85,20.89,15.26,18.85,1329112.804
2022-03-21,18.87,32.53,18.7,29.87,1809937.395
2022-03-28,29.89,38.89,27.77,38.88,1646934.341
2022-04-04,38.88,39.88,33.26,34.37,1349859.333
2022-04-11,34.33,34.49,25.76,26.05,734289.117
2022-04-18,26.04,30.73,23.4,25.25,1407208.087
2022-04-25,25.23,27.96,21.7,23.09,829438.483
2022-05-02,23.08,26.0,20.65,21.55,840283.212
2022-05-09,21.56,22.17,10.13,11.77,2150274.855
2022-05-16,11.76,14.33,9.35,10.61,1394674.054
2022-05-23,10.61,11.19,9.03,9.53,676040.048
2022-05-30,9.54,10.94,8.24,8.45,918592.089
2022-06-06,8.46,9.1,4.96,5.0,1834624.08
2022-06-13,4.99,5.31,3.11,4.04,5353019.229
2022-06-20,4.04,5.58,3.76,4.58,3635367.654
2022-06-27,4.57,4.9,3.49,4.08,7189849.689
2022-07-04,4.08,6.9,4.0,5.89,10330574.172
2022-07-11,5.89,7.0,5.11,6.2,4772227.788
2022-07-18,6.21,8.69,6.19,7.57,3178339.944
2022-07-25,7.57,8.25,5.75,7.42,3581109.911
2022-08-01,7.42,7.55,6.52,6.93,1547248.754
2022-08-08,6.92,7.86,6.86,6.94,1746590.809
2022-08-15,6.94,7.12,4.84,5.37,1792909.473
2022-08-22,5.37,5.99,4.91,4.95,1688274.575
2022-08-29,4.96,5.43,4.89,5.28,1503150.054
2022-09-05,5.28,5.794,5.0,5.563,2450486.852
2022-09-12,5.563,5.64,4.506,4.548,2537372.462
2022-09-19,4.535,5.673,4.434,4.607,2707498.435
2022-09-26,4.609,5.099,4.592,4.666,1617401.672
2022-10-03,4.667,5.75,4.622,5.507,2610166.856
2022-10-10,5.505,6.5,5.073,5.42,2658568.335
2022-10-17,5.419,5.733,4.815,5.248,1758330.712
2022-10-24,5.254,5.977,4.974,5.386,2313392.507
2022-10-31,5.382,5.59,4.933,5.253,1590068.201
2022-11-07,5.253,13.1,3.6,4.417,8771329.109
2022-11-14,4.411,4.511,3.594,3.668,3272589.783
2022-11-21,3.669,4.85,3.469,4.279,3660287.358
2022-11-28,4.271,4.4,3.85,3.948,2193499.5
2022-12-05,3.945,4.047,3.668,3.865,1082366.996
2022-12-12,3.871,4.09,3.288,3.488,1164273.665
2022-12-19,3.488,3.635,3.336,3.61,1077043.544
2022-12-26,3.61,3.625,3.18,3.205,1380952.285
2023-01-02,3.207,3.351,2.984,3.266,2243193.698
2023-01-09,3.269,4.561,3.259,4.408,4726555.648
2023-01-16,4.401,5.568,4.276,5.267,7001546.874
2023-01-23,5.262,6.4,4.891,6.222,2899462.461
2023-01-30,6.222,7.253,5.673,6.135,3574840.03
2023-02-06,6.135,6.721,5.504,5.639,1620383.115
2023-02-13,5.64,6.875,5.599,6.44,4447441.129
2023-02-20,6.438,6.819,5.558,5.886,1528901.792
2023-02-27,5.88,6.565,5.648,5.868,2605321.941
2023-03-06,5.871,6.081,4.766,5.39,2835642.524
2023-03-13,5.396,6.101,5.106,5.635,3458057.117
2023-03-20,5.634,5.725,5.0,5.132,1453262.724
2023-03-27,5.137,5.5,4.842,5.084,1133134.389
