datetime,open,high,low,close,volume
2019-03-25,90.0,110.89,88.0,110.7,21093.4356
2019-04-01,110.5,139.1,107.71,135.11,80708.4951
2019-04-08,135.17,137.85,113.2,122.57,29543.20699
2019-04-15,122.57,131.0,115.04,121.19,24150.34529
2019-04-22,121.22,125.38,106.38,110.73,19329.20554
2019-04-29,110.72,123.91,106.77,118.63,26063.7397
2019-05-06,118.51,127.96,110.26,125.22,25781.32132
2019-05-13,125.22,176.74,124.23,172.14,69943.93821
2019-05-20,172.23,176.0,145.61,161.96,56193.33438
2019-05-27,161.67,175.78,156.06,165.09,39337.35677
2019-06-03,165.36,165.36,130.0,141.99,35138.128
2019-06-10,141.68,160.74,140.23,155.81,36217.68351
2019-06-17,156.25,181.16,154.2,174.3,42981.47037
2019-06-24,174.3,189.54,150.16,157.31,45440.78532
2019-07-01,157.18,162.72,145.92,157.52,24317.19725
2019-07-08,157.52,162.31,122.11,123.01,28223.65273
2019-07-15,122.64,124.74,95.3,118.32,48589.26698
2019-07-22,118.65,119.32,102.76,107.86,22286.25408
2019-07-29,107.95,109.63,102.89,106.1,23215.57777
2019-08-05,106.1,112.65,97.41,106.53,29556.30662
2019-08-12,106.53,107.86,90.66,94.78,24380.14526
2019-08-19,94.56,97.5,87.11,91.26,20395.36558
2019-08-26,91.51,93.44,77.8,79.32,23855.51968
2019-09-02,79.36,87.63,77.49,87.62,30563.86409
2019-09-09,87.4,98.77,81.33,88.89,59289.3588
2019-09-16,88.89,104.4,87.87,90.64,100706.32887
2019-09-23,90.8,90.8,65.57,68.86,87286.79242
2019-09-30,68.87,72.49,66.54,69.31,49170.98188
2019-10-07,69.38,74.87,68.28,70.41,95155.57243
2019-10-14,70.34,73.61,66.81,69.16,64235.2156
2019-10-21,69.16,74.42,58.0,71.85,121953.14944
2019-10-28,71.84,76.73,69.76,71.16,87051.13121
2019-11-04,71.17,74.81,67.82,71.41,88078.24116
2019-11-11,71.42,72.52,66.51,67.67,56697.20704
2019-11-18,67.67,67.79,50.52,50.89,159997.17025
2019-11-25,50.92,59.29,47.7,53.08,270809.31061
2019-12-02,53.09,53.77,49.27,51.77,155366.41042
2019-12-09,51.84,53.09,48.44,50.8,120091.37542
2019-12-16,50.77,50.83,39.98,44.16,220677.6629
2019-12-23,44.22,45.02,38.2,44.54,352715.79883
2019-12-30,44.56,53.28,39.93,51.17,680109.57797
2020-01-06,51.16,68.1,49.75,66.19,1139518.73158
2020-01-13,66.22,150.0,63.67,104.92,3326510.55114
2020-01-20,104.95,115.66,93.42,111.01,1229631.76965
2020-01-27,111.09,128.7,111.05,114.29,1219966.84881
2020-02-03,114.28,131.68,108.4,128.51,830458.05131
2020-02-10,128.58,137.87,100.94,110.73,727182.09402
2020-02-17,110.61,117.47,98.89,108.09,659883.89294
2020-02-24,108.05,108.93,79.08,84.59,767833.38684
2020-03-02,84.58,94.25,72.76,73.7,459387.70626
2020-03-09,73.74,76.4,31.33,47.31,1132713.59492
2020-03-16,47.23,77.97,38.49,62.44,1908399.12038
2020-03-23,62.44,73.08,60.36,60.46,840255.42006
2020-03-30,60.46,71.76,60.41,66.89,631961.65902
2020-04-06,66.88,84.42,66.82,74.1,1262006.18723
2020-04-13,74.09,83.46,67.45,80.23,772705.08696
2020-04-20,80.27,88.19,72.71,84.12,849646.61716
2020-04-27,84.15,88.77,79.75,81.07,778584.92128
2020-05-04,81.09,83.26,68.4,72.1,622027.27231
2020-05-11,72.16,77.19,66.11,75.03,498675.76887
2020-05-18,75.02,78.62,71.0,71.67,451473.51401
2020-05-25,71.67,80.88,70.93,76.33,397188.84793
2020-06-01,76.32,82.28,75.59,77.99,424575.50045
2020-06-08,78.0,78.71,71.07,72.56,236219.18166
2020-06-15,72.55,73.51,68.5,70.14,195225.62037
2020-06-22,70.14,76.42,65.14,67.7,273389.49936
2020-06-29,67.71,69.3,65.4,67.24,248515.98824
2020-07-06,67.28,73.88,67.03,72.05,371591.88412
2020-07-13,72.13,75.72,68.05,70.35,315425.51946
2020-07-20,70.35,77.45,68.61,75.3,345378.7812
2020-07-27,75.29,95.55,73.23,85.29,912078.892
2020-08-03,85.29,104.8,83.78,97.72,1017478.59078
2020-08-10,97.67,98.43,84.21,95.06,682972.25112
2020-08-17,95.06,100.18,85.0,91.41,660750.98985
2020-08-24,91.46,93.32,81.77,88.27,422485.46856
2020-08-31,88.3,90.72,62.0,70.12,698828.69199
2020-09-07,70.08,80.08,65.81,75.53,567420.42814
2020-09-14,75.53,76.77,69.38,70.77,387704.49998
2020-09-21,70.75,71.67,64.27,68.78,430579.26641
2020-09-28,68.84,71.03,63.86,66.39,386980.37038
2020-10-05,66.39,72.57,64.07,71.71,423040.38686
2020-10-12,71.7,74.51,65.25,67.29,408075.126
2020-10-19,67.3,78.57,66.13,71.06,900775.81806
2020-10-26,71.05,73.0,64.01,68.79,736616.94338
2020-11-02,68.79,72.2,62.21,68.06,902815.49346
2020-11-09,68.05,79.9,66.29,74.98,1035936.15791
2020-11-16,75.02,95.45,74.47,90.45,1206059.3547
2020-11-23,90.49,123.06,83.33,108.15,2675395.52966
2020-11-30,108.13,118.44,96.58,102.09,1303476.65165
2020-12-07,102.02,104.44,87.8,97.61,635741.84796
2020-12-14,97.61,115.89,94.04,109.56,989752.839
2020-12-21,109.5,119.53,86.99,107.48,1265878.13551
2020-12-28,107.37,111.0,84.63,89.65,1579231.64856
2021-01-04,89.68,158.5,85.11,146.54,2924968.09875
2021-01-11,146.5,148.52,106.02,124.26,2880532.15663
2021-01-18,124.33,134.45,93.85,106.16,2211030.83976
2021-01-25,106.23,113.22,94.3,102.42,1177858.53516
2021-02-01,102.39,123.0,100.2,118.31,1592651.29641
2021-02-08,118.32,298.0,114.78,230.69,3885527.05563
2021-02-15,230.4,336.65,195.0,301.52,3831383.90708
2021-02-22,301.57,303.2,181.28,196.77,2345209.45829
2021-03-01,196.82,235.8,195.85,214.79,1081287.82459
2021-03-08,214.8,250.2,206.49,231.17,1234670.46953
2021-03-15,230.9,240.45,210.58,221.01,766375.67422
2021-03-22,220.88,222.83,181.98,207.72,764111.77245
2021-03-29,207.75,276.5,203.72,270.78,1494487.88792
2021-04-05,270.79,294.85,244.4,286.79,1582792.95581
2021-04-12,286.62,411.6,255.0,317.23,2472585.56339
2021-04-19,317.22,329.99,232.0,247.06,1980685.48041
2021-04-26,246.94,330.48,243.96,315.17,1198103.10577
2021-05-03,315.23,478.0,314.52,406.96,2951571.0015
2021-05-10,407.08,439.17,311.67,331.6,1938531.7773
2021-05-17,331.44,331.85,122.51,149.93,3000381.41375
2021-05-24,150.01,221.51,146.3,181.8,2182675.88972
2021-05-31,181.88,218.95,172.92,185.45,1168203.99267
2021-06-07,185.44,193.45,152.77,172.55,966664.72814
2021-06-14,172.53,179.0,141.4,153.28,766535.88021
2021-06-21,153.34,154.14,101.7,127.22,1442526.06081
2021-06-28,127.22,148.18,124.69,140.22,790989.80471
2021-07-05,140.24,140.24,121.06,128.44,602394.76681
2021-07-12,128.45,135.09,113.32,115.78,635305.11916
2021-07-19,115.75,188.0,109.52,139.6,3094080.70771
2021-07-26,139.62,173.95,137.4,160.19,1120094.9293
2021-08-02,160.16,173.54,151.08,161.62,797926.53609
2021-08-09,161.65,217.45,156.7,215.87,1050582.17365
2021-08-16,215.78,257.0,185.73,255.26,1334622.56
2021-08-23,255.27,284.98,222.2,225.3,1165341.46412
2021-08-30,225.2,268.9,212.6,264.4,812141.78424
2021-09-06,264.4,265.5,184.37,203.5,1269733.19851
2021-09-13,203.6,219.7,186.5,192.9,737715.998
2021-09-20,193.0,193.4,150.6,162.0,1112595.9485
2021-09-27,162.0,182.9,146.3,178.2,844914.86296
2021-10-04,178.3,198.8,167.9,182.3,927515.752
2021-10-11,182.1,198.4,170.3,186.1,772316.316
2021-10-18,186.1,214.1,180.4,202.7,945879.075
2021-10-25,202.6,209.7,170.1,192.7,963233.817
2021-11-01,192.7,205.5,183.5,193.9,700777.774
2021-11-08,193.8,247.8,193.3,229.0,1627636.524
2021-11-15,229.1,240.3,169.7,207.2,1344558.313
2021-11-22,207.3,215.6,164.0,178.6,1514515.451
2021-11-29,178.6,186.3,110.2,134.5,1180640.74977
2021-12-06,134.5,151.5,122.0,138.2,989397.564
2021-12-13,138.2,139.9,123.7,129.1,666012.637
2021-12-20,129.0,157.8,122.5,149.1,905001.363
2021-12-27,149.2,155.8,129.4,142.0,743700.651
2022-01-03,142.0,157.8,115.4,153.1,1524469.021
2022-01-10,153.1,156.2,135.9,137.4,990447.006
2022-01-17,137.4,138.3,85.2,99.6,1153514.43123
2022-01-24,99.4,100.3,80.5,92.8,1358775.59516
2022-01-31,92.7,109.0,88.2,108.6,723712.014
2022-02-07,108.7,119.5,100.0,102.0,791023.969
2022-02-14,102.0,118.8,95.0,98.1,842133.443
2022-02-21,98.1,101.5,77.0,88.2,1136334.34317
2022-02-28,88.2,103.7,84.9,85.6,810390.747
2022-03-07,85.7,105.5,83.5,93.7,1429413.639
2022-03-14,93.7,118.2,92.2,115.7,1353694.0
2022-03-21,115.6,138.8,112.3,133.0,2043625.782
2022-03-28,132.9,138.2,121.1,132.6,1323838.057
2022-04-04,132.7,136.5,108.5,111.1,1098719.774
2022-04-11,111.1,115.3,98.7,104.4,761525.748
2022-04-18,104.3,110.7,98.8,99.9,630697.531
2022-04-25,100.0,101.3,80.6,90.0,693504.71
2022-05-02,90.0,97.6,79.9,83.0,626610.994
2022-05-09,83.0,85.7,45.0,63.1,2079348.88136
2022-05-16,63.0,63.2,53.4,61.6,941034.185
2022-05-23,61.5,64.8,54.1,57.8,892985.793
2022-05-30,57.9,68.0,56.3,58.6,673251.327
2022-06-06,58.6,62.0,45.5,46.2,570859.106
2022-06-13,46.1,46.5,38.6,44.3,1127846.79858
2022-06-20,44.4,53.4,43.0,49.3,523619.44
2022-06-27,49.3,51.7,40.2,42.7,544264.28
2022-07-04,42.7,48.2,41.5,45.2,409945.777
2022-07-11,45.1,47.1,39.3,46.0,578225.038
2022-07-18,46.0,51.0,45.4,48.9,686302.876
2022-07-25,48.9,54.7,42.4,51.1,708280.175
2022-08-01,51.1,54.7,47.0,53.3,531382.927
2022-08-08,53.3,58.6,50.9,55.0,640687.172
2022-08-15,55.0,56.9,44.2,46.7,563471.009
2022-08-22,46.7,50.7,43.7,44.1,466813.879
2022-08-29,44.2,48.3,43.1,47.6,376901.063
2022-09-05,47.6,50.18,42.2,48.3,634153.023
2022-09-12,48.3,49.93,39.87,40.31,1163963.605
2022-09-19,40.33,42.92,39.01,41.15,808071.701
2022-09-26,41.15,43.69,39.56,39.85,560388.843
2022-10-03,39.86,43.18,39.3,42.95,456249.095
2022-10-10,42.95,43.51,38.0,41.79,372339.856
2022-10-17,41.75,41.95,38.51,41.71,244930.646
2022-10-24,41.71,44.02,39.65,41.94,475263.497
2022-10-31,41.93,46.11,39.9,43.7,622372.596
2022-11-07,43.67,47.47,30.6,33.4,1245663.783
2022-11-14,33.4,36.16,31.51,34.57,533918.945
2022-11-21,34.57,44.18,33.6,40.6,1147970.791
2022-11-28,40.62,46.58,38.75,44.73,936324.059
2022-12-05,44.71,48.11,43.34,46.64,1036108.646
2022-12-12,46.64,50.46,41.3,42.42,897551.386
2022-12-19,42.42,44.67,40.31,44.48,605248.56
2022-12-26,44.5,45.76,41.11,42.21,581141.496
2023-01-02,42.22,48.11,41.48,47.81,697592.262
2023-01-09,47.81,54.25,46.6,51.7,955415.352
2023-01-16,51.7,54.0,45.86,51.39,795611.769
2023-01-23,51.4,58.3,48.05,56.67,959142.316
2023-01-30,56.68,64.75,55.43,59.52,1200789.698
2023-02-06,59.55,66.66,55.26,62.72,1091707.073
2023-02-13,62.69,77.9,60.36,70.54,1401867.064
2023-02-20,70.52,74.73,66.86,74.07,862412.76
