datetime,open,high,low,close,volume
2020-09-28,0.3,4.5,0.3,0.3597,192565886.65
2020-10-05,0.3595,0.4111,0.2452,0.2783,140872951.53
2020-10-12,0.2781,0.2989,0.2434,0.2579,69622306.93
2020-10-19,0.2576,0.27,0.2056,0.2095,54594699.14
2020-10-26,0.2099,0.2249,0.1385,0.1493,88990233.55
2020-11-02,0.1493,0.1695,0.1212,0.151,149394392.76
2020-11-09,0.1509,0.201,0.1424,0.1883,133555143.28
2020-11-16,0.1877,0.2333,0.1717,0.2051,166694533.52
2020-11-23,0.2053,0.2449,0.1615,0.1847,85781836.32
2020-11-30,0.1849,0.236,0.1731,0.1983,85858194.27
2020-12-07,0.1981,0.24,0.175,0.1948,118773761.37
2020-12-14,0.195,0.2199,0.178,0.1879,64430168.38
2020-12-21,0.1875,0.19,0.1247,0.1309,66855012.08
2020-12-28,0.1309,0.1432,0.1184,0.132,90347295.62
2021-01-04,0.1323,0.1756,0.1245,0.1713,174688706.87
2021-01-11,0.1715,0.1997,0.1351,0.1903,183252905.87
2021-01-18,0.1906,0.2081,0.1473,0.189,184808008.03
2021-01-25,0.1891,0.25,0.1705,0.2417,261899868.79
2021-02-01,0.242,0.4338,0.241,0.361,383897485.03
2021-02-08,0.361,0.66,0.3346,0.5434,268917553.26
2021-02-15,0.5441,0.5918,0.401,0.5111,216314313.21
2021-02-22,0.5114,0.519,0.2728,0.3188,244475370.94
2021-03-01,0.32,0.408,0.317,0.3828,151879298.5
2021-03-08,0.3827,0.524,0.3666,0.4674,202737148.1
2021-03-15,0.4679,0.582,0.435,0.5326,175894437.88
2021-03-22,0.5333,0.6282,0.402,0.6264,159010147.68
2021-03-29,0.6263,0.9453,0.5963,0.8343,321017264.73
2021-04-05,0.8342,1.25,0.7932,0.9289,264373985.04
2021-04-12,0.9304,1.1699,0.5992,1.0635,230848253.33
2021-04-19,1.0632,1.1921,0.5784,0.641,263237460.69
2021-04-26,0.6404,1.0494,0.6301,1.0087,202597883.32
2021-05-03,1.0064,1.13,0.8224,0.9647,186518216.97
2021-05-10,0.9646,1.129,0.7255,0.7836,195270997.03
2021-05-17,0.7837,0.7838,0.3166,0.3929,204466957.2
2021-05-24,0.3935,0.63,0.3682,0.4938,143947585.17
2021-05-31,0.493,0.6724,0.4457,0.5958,153891137.34
2021-06-07,0.5963,0.644,0.4712,0.5262,123090519.18
2021-06-14,0.5272,0.5648,0.4324,0.4689,88795507.63
2021-06-21,0.4691,0.4724,0.3,0.3489,118964827.05
2021-06-28,0.3493,0.4024,0.337,0.3853,90011842.92
2021-07-05,0.3851,0.4329,0.354,0.3845,81556198.99
2021-07-12,0.384,0.3972,0.3298,0.3474,59673818.07
2021-07-19,0.3477,0.3794,0.2923,0.3741,86486751.51
2021-07-26,0.3737,0.5028,0.3695,0.4444,143976480.79
2021-08-02,0.4442,0.5535,0.436,0.5004,103308519.33
2021-08-09,0.5007,0.6085,0.4836,0.5961,132085118.69
2021-08-16,0.5961,0.745,0.54,0.7192,166618712.26
2021-08-23,0.7192,0.793,0.6103,0.6687,154623984.0
2021-08-30,0.6687,0.7889,0.6355,0.7769,129726919.09
2021-09-06,0.7769,0.7875,0.48,0.616,175251334.41
2021-09-13,0.6159,0.6503,0.5318,0.5588,93173462.0
2021-09-20,0.5586,0.5608,0.4134,0.4486,116890128.1
2021-09-27,0.4466,0.5227,0.3972,0.5038,73847496.0
2021-10-04,0.5029,0.5477,0.4745,0.4794,86242579.0
2021-10-11,0.4791,0.5271,0.4345,0.4976,105767186.0
2021-10-18,0.498,0.5772,0.4784,0.5432,107568262.0
2021-10-25,0.5433,0.5818,0.4601,0.529,126498120.0
2021-11-01,0.5287,0.6977,0.5054,0.6975,186463270.0
2021-11-08,0.6974,0.7419,0.5876,0.6796,169370487.0
2021-11-15,0.6807,0.73,0.5242,0.6607,137491317.0
2021-11-22,0.6608,0.6649,0.5048,0.5529,109982746.0
2021-11-29,0.5532,0.6,0.3021,0.3875,171736139.44
2021-12-06,0.388,0.4256,0.348,0.3883,91514061.0
2021-12-13,0.3883,0.3918,0.3228,0.3447,58529547.0
2021-12-20,0.3444,0.41,0.3152,0.4049,74852902.0
2021-12-27,0.4048,0.418,0.3431,0.3839,46928837.0
2022-01-03,0.3833,0.4096,0.3052,0.3247,65445123.0
2022-01-10,0.3252,0.3563,0.2983,0.3352,42837534.0
2022-01-17,0.3353,0.3359,0.2019,0.2364,67571192.75
2022-01-24,0.2355,0.2506,0.2027,0.2443,44993956.0
2022-01-31,0.2442,0.285,0.2265,0.2722,56902524.0
2022-02-07,0.2724,0.2969,0.2371,0.2432,53389951.0
2022-02-14,0.2434,0.2829,0.2242,0.2283,73389542.0
2022-02-21,0.2286,0.2376,0.1634,0.1921,82542027.83
2022-02-28,0.1921,0.233,0.1837,0.1839,63696528.0
2022-03-07,0.1839,0.2044,0.1677,0.1686,53154750.0
2022-03-14,0.1686,0.2092,0.1674,0.2016,48281620.0
2022-03-21,0.202,0.239,0.1954,0.238,52783062.0
2022-03-28,0.2379,0.297,0.224,0.2843,108919946.0
2022-04-04,0.2846,0.2879,0.2048,0.2051,46325337.0
2022-04-11,0.2053,0.2071,0.1806,0.191,36383446.0
2022-04-18,0.1908,0.2109,0.1819,0.1901,54865947.0
2022-04-25,0.19,0.2044,0.1579,0.1689,191833047.0
2022-05-02,0.1689,0.2028,0.1492,0.1505,201344245.99
2022-05-09,0.1505,0.1541,0.0791,0.1095,261346686.97
2022-05-16,0.1094,0.1096,0.0904,0.1014,120079748.0
2022-05-23,0.1014,0.1101,0.0865,0.0939,133676136.0
2022-05-30,0.0941,0.107,0.0912,0.0944,97015029.0
2022-06-06,0.0944,0.455,0.0907,0.1688,2666948670.0
2022-06-13,0.1687,0.1883,0.0946,0.1162,1977715478.0
2022-06-20,0.1162,0.1488,0.1046,0.1057,595691176.0
2022-06-27,0.1056,0.1106,0.0925,0.1078,327745623.0
2022-07-04,0.1078,0.1311,0.0987,0.1293,316377364.0
2022-07-11,0.1293,0.1943,0.1102,0.1581,664875998.0
2022-07-18,0.1584,0.292,0.158,0.1738,1007415812.0
2022-07-25,0.1738,0.245,0.1466,0.2046,658762757.0
2022-08-01,0.2043,0.28,0.2039,0.2151,402043949.0
2022-08-08,0.215,0.2275,0.18,0.1869,286342307.0
2022-08-15,0.187,0.1981,0.1292,0.1366,199098414.0
2022-08-22,0.1365,0.1525,0.1128,0.1134,261361974.0
2022-08-29,0.1136,0.127,0.111,0.1206,167051813.0
2022-09-05,0.1208,0.125,0.1054,0.1205,148511541.0
2022-09-12,0.1205,0.1254,0.0932,0.0968,149275828.0
2022-09-19,0.0968,0.1121,0.095,0.1035,155709588.0
2022-09-26,0.1035,0.12,0.1019,0.1168,183255601.0
2022-10-03,0.1168,0.13,0.1106,0.1122,164660239.0
2022-10-10,0.1123,0.1144,0.0952,0.1069,86566264.0
2022-10-17,0.1069,0.1131,0.0986,0.1088,63408323.0
2022-10-24,0.1091,0.118,0.1046,0.114,64295963.0
2022-10-31,0.114,0.1274,0.1051,0.113,130779628.0
2022-11-07,0.1127,0.1166,0.0718,0.0778,123347723.0
2022-11-14,0.0778,0.0836,0.0723,0.0756,82538678.0
2022-11-21,0.0755,0.0847,0.0729,0.0818,49495632.0
2022-11-28,0.0816,0.0903,0.0783,0.0865,60522725.0
2022-12-05,0.0865,0.0896,0.0812,0.0865,49194946.0
2022-12-12,0.0864,0.0925,0.0758,0.0774,68988314.0
2022-12-19,0.0774,0.0789,0.0702,0.0734,32204549.0
2022-12-26,0.0734,0.0737,0.068,0.0723,33914376.0
2023-01-02,0.0723,0.0817,0.0709,0.0812,42827534.0
2023-01-09,0.0812,0.0967,0.0792,0.0932,92525644.0
2023-01-16,0.0932,0.1003,0.0838,0.0969,86174504.0
2023-01-23,0.0969,0.108,0.0932,0.1039,163970486.0
2023-01-30,0.1039,0.1104,0.0894,0.1079,137402433.0
2023-02-06,0.108,0.1227,0.0939,0.0983,176983448.0
2023-02-13,0.0987,0.1244,0.091,0.1189,183079784.0
2023-02-20,0.119,0.1427,0.1056,0.1134,269286751.0
2023-02-27,0.1134,0.1174,0.0941,0.0986,98216819.0
2023-03-06,0.0987,0.1003,0.077,0.0877,84434628.0
2023-03-13,0.0878,0.103,0.0851,0.0991,98568583.0
2023-03-20,0.0994,0.1039,0.0879,0.0919,94330315.0
2023-03-27,0.0918,0.0999,0.0867,0.0981,57088488.0
2023-04-03,0.098,0.1131,0.0947,0.1037,153008379.0
2023-04-10,0.1038,0.162,0.0998,0.1199,290994752.0
2023-04-17,0.1198,0.122,0.0914,0.0945,131304686.0
2023-04-24,0.0945,0.101,0.09,0.0938,50422947.0
2023-05-01,0.0938,0.0952,0.0883,0.0887,26273906.0
2023-05-08,0.0886,0.0894,0.077,0.0808,46256816.0
2023-05-15,0.0808,0.086,0.0792,0.0825,34232828.0
2023-05-22,0.0826,0.0867,0.0787,0.0856,73088964.0
2023-05-29,0.0856,0.088,0.0795,0.0838,62321965.0
2023-06-05,0.0838,0.0838,0.0454,0.0577,83714562.0
2023-06-12,0.0575,0.0608,0.0553,0.0582,50802211.0
2023-06-19,0.0582,0.19,0.0577,0.0728,1862862997.0
