datetime,open,high,low,close,volume
2021-12-06,21.456,24.38,17.601,18.546,325322.9
2021-12-13,18.54,18.734,13.348,14.414,297929.0
2021-12-20,14.409,22.95,13.751,20.503,1063446.9
2021-12-27,20.431,43.899,20.122,35.05,3751754.8
2022-01-03,35.05,42.499,31.564,36.151,2373045.6
2022-01-10,36.209,45.9,34.015,37.08,1543947.4
2022-01-17,37.067,37.067,18.7,20.35,1496553.2
2022-01-24,20.359,23.84,16.756,21.493,2258081.1
2022-01-31,21.464,22.549,17.36,20.136,724173.2
2022-02-07,20.136,27.969,19.728,24.365,2331543.0
2022-02-14,24.45,27.504,20.124,21.535,943895.0
2022-02-21,21.539,23.314,16.446,20.564,921502.3
2022-02-28,20.576,26.2,20.5,20.587,863188.2
2022-03-07,20.587,20.587,16.119,18.028,1415549.8
2022-03-14,17.947,20.067,17.0,17.68,607216.5
2022-03-21,17.672,21.8,17.0,21.54,1245098.7
2022-03-28,21.531,44.0,21.033,38.442,9443952.7
2022-04-04,38.395,39.969,29.264,30.704,4717630.7
2022-04-11,30.704,33.574,25.7,30.61,2792231.8
2022-04-18,30.605,37.585,28.51,28.524,3377784.1
2022-04-25,28.54,29.84,22.188,22.69,1458204.9
2022-05-02,22.685,29.867,21.939,22.308,3082120.0
2022-05-09,22.306,22.821,8.289,9.077,7113103.0
2022-05-16,9.073,9.156,5.997,8.232,5866323.4
2022-05-23,8.251,8.251,6.587,6.9,3585550.5
2022-05-30,6.902,7.75,5.463,5.653,2634691.5
2022-06-06,5.654,6.7,4.772,5.365,7538165.2
2022-06-13,5.365,5.565,3.91,4.245,4313360.6
2022-06-20,4.231,5.865,4.082,5.625,5652012.1
2022-06-27,5.625,6.0,4.597,4.794,3045273.8
2022-07-04,4.794,5.65,4.766,5.154,2932680.6
2022-07-11,5.147,5.744,4.7,5.594,2476813.3
2022-07-18,5.582,7.174,5.569,6.677,3774259.5
2022-07-25,6.679,8.208,5.791,7.393,4656832.7
2022-08-01,7.392,7.698,6.85,7.237,2977738.3
2022-08-08,7.233,7.893,6.396,6.417,3665653.5
2022-08-15,6.421,6.831,5.8,6.753,4796776.6
2022-08-22,6.76,6.86,5.575,5.664,2261421.4
2022-08-29,5.68,6.345,5.596,6.319,1989072.3
2022-09-05,6.319,7.184,5.902,6.56,3295550.7
2022-09-12,6.559,6.587,5.021,5.273,2346862.8
2022-09-19,5.27,5.413,4.24,4.341,2743646.9
2022-09-26,4.344,4.551,4.0,4.193,2994583.1
2022-10-03,4.196,5.156,4.148,5.087,1973798.8
2022-10-10,5.088,6.333,4.636,6.022,2663051.2
2022-10-17,6.016,7.098,5.669,6.133,2268853.3
2022-10-24,6.132,7.163,5.792,6.635,1281648.5
2022-10-31,6.643,7.297,6.303,6.888,815343.6
2022-11-07,6.888,6.892,4.333,4.642,2644600.2
2022-11-14,4.642,4.852,4.306,4.411,932278.8
2022-11-21,4.414,7.65,4.226,4.575,1193399.5
2022-11-28,4.57,4.964,4.509,4.94,755303.1
2022-12-05,4.94,6.36,4.94,5.84,3502928.0
2022-12-12,5.839,5.963,4.919,5.297,1504152.9
2022-12-19,5.295,5.444,4.611,4.776,971652.4
2022-12-26,4.776,4.796,4.1,4.427,978158.5
2023-01-02,4.431,5.9,4.431,5.702,1604737.2
2023-01-09,5.701,8.876,5.355,8.525,5771807.1
2023-01-16,8.528,11.41,8.228,10.038,15963682.7
2023-01-23,10.029,11.877,9.501,11.206,9164000.4
2023-01-30,11.206,11.735,9.58,9.994,7721879.9
2023-02-06,9.987,14.259,9.888,10.203,27250521.2
2023-02-13,10.205,11.79,9.17,10.619,17564648.1
