datetime,open,high,low,close,volume
2023-03-13,3.6,4.41,3.25,3.643,380486.0
2023-03-20,3.652,3.88,3.244,3.44,952095.1
2023-03-27,3.416,3.526,3.141,3.314,413096.5
2023-04-03,3.307,3.74,3.215,3.457,1320314.5
2023-04-10,3.462,3.892,3.322,3.524,1138815.6
2023-04-17,3.517,3.8,3.07,3.167,999272.0
2023-04-24,3.163,3.28,2.995,3.146,531023.2
2023-05-01,3.149,3.22,2.881,2.94,880952.0
2023-05-08,2.932,3.176,2.56,2.706,1465242.5
2023-05-15,2.706,2.865,2.66,2.716,402307.8
2023-05-22,2.718,2.946,2.641,2.884,2720092.5
2023-05-29,2.886,2.979,2.703,2.819,455767.9
2023-06-05,2.821,2.834,2.101,2.288,1289225.6
2023-06-12,2.285,2.432,2.16,2.273,709445.4
2023-06-19,2.27,2.746,2.244,2.608,1364318.4
2023-06-26,2.601,3.164,2.442,2.694,4646381.6
2023-07-03,2.69,2.747,2.527,2.575,675560.6
2023-07-10,2.586,3.121,2.523,2.695,3633756.4
2023-07-17,2.693,2.861,2.618,2.747,1412733.0
2023-07-24,2.744,4.23,2.589,2.744,4854160.2
2023-07-31,2.747,2.808,2.619,2.641,700128.7
2023-08-07,2.642,2.684,2.57,2.636,504065.7
2023-08-14,2.636,2.672,2.024,2.284,998660.5
2023-08-21,2.284,2.517,2.165,2.26,1365083.9
2023-08-28,2.259,2.314,2.148,2.224,628295.0
2023-09-04,2.224,2.439,2.2,2.244,2306086.1
2023-09-11,2.246,2.484,2.161,2.432,2396305.7
2023-09-18,2.435,2.896,2.363,2.385,2847252.3
2023-09-25,2.386,2.445,2.314,2.438,650396.1
2023-10-02,2.441,2.449,2.277,2.391,1543496.6
2023-10-09,2.391,2.571,2.228,2.3,1312774.2
2023-10-16,2.301,2.677,2.25,2.624,1891818.2
2023-10-23,2.629,5.5,2.508,4.945,84011132.6
2023-10-30,4.941,14.078,4.651,11.043,95055527.0
2023-11-06,11.033,29.906,7.3,9.43,107193152.7
2023-11-13,9.432,10.15,7.4,8.311,44821710.4
2023-11-20,8.313,9.469,7.2,8.587,36675410.3
2023-11-27,8.587,8.61,7.735,8.156,11838277.8
2023-12-04,8.156,8.321,7.4,7.989,14767600.5
2023-12-11,7.989,8.006,6.401,7.1,12894012.8
2023-12-18,7.099,7.27,6.336,6.897,8658440.6
2023-12-25,6.897,7.737,6.612,6.846,10451071.9
2024-01-01,6.847,6.97,4.667,5.483,12430863.4
2024-01-08,5.488,6.346,4.977,5.8,14519732.0
