datetime,open,high,low,close,volume
2020-12-14,0.03,0.783,0.03,0.73826,6464610825.0
2020-12-21,0.73726,0.772,0.32,0.39677,3891721184.9
2020-12-28,0.39679,0.43888,0.28111,0.29857,966124698.0
2021-01-04,0.29884,0.42,0.28511,0.32627,1079417241.1
2021-01-11,0.32634,0.57473,0.2331,0.51877,1191786789.1
2021-01-18,0.51969,0.6693,0.40018,0.55604,1263180124.3
2021-01-25,0.55607,0.865,0.45327,0.79448,1057232823.1
2021-02-01,0.7945,1.05044,0.72312,0.91807,884143284.3
2021-02-08,0.91739,2.88073,0.912,2.16082,1299424635.3
2021-02-15,2.16325,2.67,1.67002,2.3018,537273564.9
2021-02-22,2.30364,2.44,1.3,1.589,467023766.8
2021-03-01,1.59101,2.0845,1.58967,1.88058,261095518.7
2021-03-08,1.87928,2.23,1.64074,1.73,324344939.0
2021-03-15,1.73036,1.88,1.59427,1.69933,236161503.5
2021-03-22,1.70067,1.82,1.31101,1.81412,287909257.6
2021-03-29,1.81411,1.97872,1.64182,1.75828,363703938.1
2021-04-05,1.7587,1.92,1.525,1.89901,271704982.8
2021-04-12,1.89943,2.19799,1.45,1.7029,431418138.9
2021-04-19,1.70202,1.77838,1.11,1.26,275856029.15
2021-04-26,1.2591,1.73,1.2476,1.6113,216123941.89
2021-05-03,1.6103,1.7247,1.4145,1.5347,267526847.29
2021-05-10,1.5344,1.5767,1.2096,1.299,283412291.58
2021-05-17,1.2986,1.3002,0.5,0.6507,461634921.71
2021-05-24,0.6504,0.8839,0.5878,0.7394,318811695.8
2021-05-31,0.7393,0.97,0.6907,0.7838,335208420.15
2021-06-07,0.784,0.8399,0.5674,0.6848,253207734.27
2021-06-14,0.6843,0.7942,0.5643,0.6422,268464794.63
2021-06-21,0.6424,0.6492,0.4287,0.5588,268453735.45
2021-06-28,0.5584,0.7585,0.52,0.7253,290570537.98
2021-07-05,0.7251,0.8,0.628,0.7127,369745756.86
2021-07-12,0.7129,0.7418,0.5487,0.5516,147345870.08
2021-07-19,0.5516,0.5937,0.474,0.5425,210069993.99
2021-07-26,0.5425,0.7269,0.5242,0.6594,424722443.07
2021-08-02,0.6594,0.76,0.6227,0.672,360888480.3
2021-08-09,0.6712,0.956,0.646,0.897,560985750.14
2021-08-16,0.8971,1.0933,0.814,1.0737,687837471.97
2021-08-23,1.0738,1.083,0.8385,0.9149,393790691.69
2021-08-30,0.9152,1.038,0.8261,1.0236,349558109.65
2021-09-06,1.0231,1.077,0.71,0.9216,683234447.21
2021-09-13,0.921,0.95,0.7925,0.8141,277527664.0
2021-09-20,0.8134,0.8145,0.6225,0.6731,333691902.21
2021-09-27,0.672,0.7586,0.6193,0.7362,251350491.97
2021-10-04,0.7362,0.7896,0.6767,0.6819,250235196.0
2021-10-11,0.6817,0.8855,0.6464,0.7772,402512005.0
2021-10-18,0.7771,0.99,0.7506,0.9403,494167276.0
2021-10-25,0.9401,1.1924,0.8745,1.045,769433918.08
2021-11-01,1.045,1.166,0.9329,1.1145,495669276.0
2021-11-08,1.1149,1.3356,0.9877,1.0668,562849141.02
2021-11-15,1.067,1.11,0.835,0.9207,388038957.0
2021-11-22,0.9212,1.096,0.8402,1.0058,734213002.0
2021-11-29,1.0066,1.0086,0.5371,0.6873,420394747.98
2021-12-06,0.6875,0.7784,0.6046,0.6846,364338772.0
2021-12-13,0.6845,0.6883,0.5783,0.6477,327033680.0
2021-12-20,0.648,0.7505,0.5895,0.7352,355259536.0
2021-12-27,0.7354,0.777,0.6119,0.6765,267663756.0
2022-01-03,0.6764,0.7317,0.5458,0.5835,416589477.0
2022-01-10,0.5838,0.6264,0.5208,0.5889,274208696.48
2022-01-17,0.589,0.5913,0.3669,0.4151,382909515.29
2022-01-24,0.4148,0.4741,0.3438,0.3995,266735627.1
2022-01-31,0.3996,0.474,0.3791,0.4729,202788912.0
2022-02-07,0.4728,0.5304,0.3968,0.406,240194090.0
2022-02-14,0.4057,0.5123,0.3747,0.3915,344694023.0
2022-02-21,0.3917,0.4236,0.3023,0.3363,464300401.0
2022-02-28,0.3363,0.3946,0.3265,0.3291,268108564.0
2022-03-07,0.3292,0.3649,0.3143,0.3341,367840311.0
2022-03-14,0.334,0.4591,0.3263,0.3902,823117106.0
2022-03-21,0.3901,0.4519,0.3801,0.431,466523489.0
2022-03-28,0.431,0.5507,0.4249,0.517,901125739.0
2022-04-04,0.5174,0.5174,0.3825,0.3841,385750912.0
2022-04-11,0.3842,0.39,0.3415,0.3485,238413218.0
2022-04-18,0.3485,0.3957,0.3301,0.3571,428314939.0
2022-04-25,0.3571,0.4109,0.29,0.3158,789061549.76
2022-05-02,0.3156,0.3478,0.2803,0.2995,527928082.0
2022-05-09,0.2996,0.3068,0.118,0.1997,1529620822.39
2022-05-16,0.1998,0.2045,0.1459,0.1631,653206328.0
2022-05-23,0.163,0.1747,0.1313,0.1425,602318239.0
2022-05-30,0.1426,0.1751,0.1404,0.156,786176274.0
2022-06-06,0.1561,0.1697,0.1103,0.1118,503232884.0
2022-06-13,0.1119,0.1167,0.089,0.1031,809460335.63
2022-06-20,0.1031,0.1242,0.0969,0.1081,609194215.0
2022-06-27,0.108,0.1143,0.0892,0.0946,493118552.0
2022-07-04,0.0946,0.1105,0.0913,0.1,406448516.0
2022-07-11,0.1001,0.1038,0.0848,0.098,503402556.0
2022-07-18,0.0981,0.12,0.098,0.1047,762858338.0
2022-07-25,0.1047,0.1461,0.0931,0.1281,897050146.0
2022-08-01,0.1281,0.1336,0.1139,0.1283,584425784.0
2022-08-08,0.1282,0.1582,0.1281,0.1395,817609645.0
2022-08-15,0.1393,0.1449,0.0995,0.1081,623059833.0
2022-08-22,0.1081,0.1203,0.0985,0.0991,411722237.0
2022-08-29,0.0992,0.1081,0.0974,0.1045,265887396.0
2022-09-05,0.1045,0.1211,0.0957,0.1167,402650735.0
2022-09-12,0.1168,0.1345,0.0961,0.0999,569533793.0
2022-09-19,0.1,0.1087,0.0906,0.1013,396133452.0
2022-09-26,0.1012,0.1057,0.0942,0.0944,241127130.0
2022-10-03,0.0943,0.104,0.0932,0.0963,172462808.0
2022-10-10,0.0963,0.0972,0.0792,0.0858,293274425.0
2022-10-17,0.0858,0.0879,0.0747,0.0802,275249625.0
2022-10-24,0.0802,0.0877,0.0777,0.0836,509287955.0
2022-10-31,0.0836,0.1045,0.079,0.0901,965367204.0
2022-11-07,0.09,0.0927,0.0564,0.0616,1029201999.0
2022-11-14,0.0615,0.067,0.0565,0.0569,364845394.0
2022-11-21,0.0569,0.0779,0.0517,0.0628,700331038.0
