datetime,open,high,low,close,volume
2021-06-07,9.52,24.0,9.52,10.48,21593997.39
2021-06-14,10.46,12.0,6.69,7.45,9572599.43
2021-06-21,7.45,7.68,4.62,7.2,10198578.33
2021-06-28,7.2,9.02,6.41,7.23,11170439.7
2021-07-05,7.22,7.46,6.14,6.36,4654950.29
2021-07-12,6.35,6.84,4.82,5.82,6609824.42
2021-07-19,5.83,6.75,4.79,6.31,7631205.55
2021-07-26,6.31,8.86,6.25,8.09,8900323.55
2021-08-02,8.09,9.58,7.21,8.49,6654077.24
2021-08-09,8.48,9.68,8.06,9.26,6327358.51
2021-08-16,9.28,9.64,7.53,8.94,7404707.52
2021-08-23,8.94,15.5,7.93,12.95,23729229.58
2021-08-30,12.95,13.236,11.263,12.117,7300322.5
2021-09-06,12.118,12.607,7.9,9.46,8582025.19
2021-09-13,9.491,10.432,8.326,8.7,4258574.2
2021-09-20,8.701,8.722,6.172,6.97,5288065.31
2021-09-27,6.942,9.029,6.198,8.435,4154324.9
2021-10-04,8.435,8.472,7.404,7.451,4212232.9
2021-10-11,7.44,12.264,6.806,10.103,14326826.0
2021-10-18,10.087,12.0,9.287,9.497,12521533.7
2021-10-25,9.504,10.4,7.467,8.518,4911553.1
2021-11-01,8.529,10.316,8.304,9.397,5924692.5
2021-11-08,9.387,11.0,8.411,9.333,5246306.2
2021-11-15,9.338,9.83,7.116,7.769,4266358.2
2021-11-22,7.765,29.043,7.5,18.758,53355437.4
2021-11-29,18.758,21.6,10.0,11.41,21115278.2
2021-12-06,11.418,14.9,9.679,10.496,18420822.6
2021-12-13,10.491,11.4,8.363,9.216,10990997.6
2021-12-20,9.216,19.5,8.51,15.168,30344803.6
2021-12-27,15.179,16.299,12.335,14.744,12656633.7
2022-01-03,14.751,16.091,10.377,11.367,8869419.2
2022-01-10,11.365,12.209,10.11,11.35,4987893.0
2022-01-17,11.359,13.275,6.11,7.315,16198338.5
2022-01-24,7.322,7.808,5.853,7.284,8465610.4
2022-01-31,7.285,8.797,6.8,8.578,7142723.7
2022-02-07,8.578,9.735,7.22,7.257,6252608.1
2022-02-14,7.26,8.355,6.304,6.55,5720859.5
2022-02-21,6.561,7.02,4.91,5.919,5138690.35
2022-02-28,5.903,7.038,5.554,5.559,3503490.8
2022-03-07,5.569,6.728,5.17,5.243,4298203.2
2022-03-14,5.244,7.877,5.162,6.486,8836746.3
2022-03-21,6.484,8.031,6.374,7.397,6152811.3
2022-03-28,7.394,8.752,6.833,8.231,9623650.4
2022-04-04,8.232,8.237,6.185,6.34,4459585.3
2022-04-11,6.342,6.389,5.506,5.835,3280541.1
2022-04-18,5.829,6.686,5.573,5.844,3855396.5
2022-04-25,5.853,6.067,4.221,4.745,4314635.4
2022-05-02,4.738,5.412,4.292,4.443,7858185.9
2022-05-09,4.448,4.609,1.693,2.524,18263926.7
2022-05-16,2.528,3.2,2.117,2.793,11511335.5
2022-05-23,2.789,2.934,2.146,2.522,5102325.3
2022-05-30,2.523,3.799,2.473,2.722,13911012.1
2022-06-06,2.721,3.655,2.349,2.436,19450618.4
2022-06-13,2.438,2.653,1.961,2.38,13996638.2
2022-06-20,2.382,3.186,2.242,2.837,10897125.5
2022-06-27,2.834,3.173,2.436,2.533,9264600.2
2022-07-04,2.535,2.763,2.38,2.404,5465069.4
2022-07-11,2.402,3.3,1.997,2.527,7145106.3
2022-07-18,2.536,2.805,2.343,2.454,6230911.4
2022-07-25,2.452,3.44,2.159,3.197,15752097.0
2022-08-01,3.196,3.319,2.624,3.054,10409799.6
2022-08-08,3.053,3.36,2.802,3.055,9118490.7
2022-08-15,3.055,3.406,2.209,2.472,15925004.5
2022-08-22,2.472,2.52,1.943,1.962,6334516.4
2022-08-29,1.963,2.331,1.937,2.304,6750468.0
2022-09-05,2.307,2.461,2.064,2.329,8579349.3
2022-09-12,2.328,2.432,1.709,1.79,9137849.8
2022-09-19,1.788,2.001,1.696,1.733,7929499.9
2022-09-26,1.733,1.869,1.696,1.751,5793592.2
2022-10-03,1.751,1.895,1.735,1.799,3555861.7
2022-10-10,1.798,1.816,1.45,1.709,4376585.7
2022-10-17,1.709,1.727,1.483,1.626,3168518.1
2022-10-24,1.627,2.239,1.547,1.935,22398328.8
2022-10-31,1.936,3.36,1.708,2.347,56054069.9
2022-11-07,2.349,2.54,1.4,1.707,39740601.4
2022-11-14,1.706,1.882,1.528,1.539,14341566.2
2022-11-21,1.538,1.8,1.461,1.663,8022375.0
2022-11-28,1.663,2.027,1.578,1.807,8789902.4
2022-12-05,1.805,1.859,1.662,1.71,4905348.4
2022-12-12,1.709,1.711,1.306,1.361,6042488.7
2022-12-19,1.363,1.428,1.272,1.288,4090246.7
2022-12-26,1.288,1.344,1.213,1.314,3885518.3
2023-01-02,1.315,1.388,1.257,1.376,4580086.6
2023-01-09,1.377,1.703,1.372,1.662,12095586.4
2023-01-16,1.662,1.758,1.412,1.718,9546407.7
2023-01-23,1.72,2.041,1.621,1.964,10694190.7
2023-01-30,1.967,2.189,1.753,2.079,19824994.4
2023-02-06,2.081,2.254,1.674,1.759,16166895.6
2023-02-13,1.759,2.454,1.619,2.151,21845364.1
2023-02-20,2.149,2.395,1.927,2.098,19155548.6
2023-02-27,2.097,2.587,1.705,1.775,29380584.8
2023-03-06,1.775,1.868,1.418,1.66,16749853.5
2023-03-13,1.661,1.989,1.574,1.86,19256493.8
2023-03-20,1.862,2.504,1.778,2.434,27758556.3
2023-03-27,2.431,2.72,1.715,1.76,31142390.9
2023-04-03,1.76,1.858,1.68,1.812,7541669.3
2023-04-10,1.813,1.956,1.749,1.945,7328223.9
2023-04-17,1.945,1.948,1.5,1.609,8498583.3
2023-04-24,1.609,1.75,1.555,1.676,7298368.3
2023-05-01,1.675,1.915,1.591,1.602,14181900.1
2023-05-08,1.6,1.613,1.277,1.368,9564323.4
