datetime,open,high,low,close,volume
2023-01-09,0.5254,0.8424,0.47,0.532,67848970.6
2023-01-16,0.5301,0.5655,0.4515,0.508,28037479.3
2023-01-23,0.5081,0.55,0.4765,0.522,19626952.3
2023-01-30,0.522,0.56,0.4715,0.5132,26791736.1
2023-02-06,0.5129,0.6188,0.4773,0.4883,71396909.5
2023-02-13,0.4891,0.53,0.4369,0.5071,23273886.5
2023-02-20,0.508,0.585,0.48,0.5018,26488204.1
2023-02-27,0.5018,0.5058,0.441,0.4586,9316509.7
2023-03-06,0.458,0.4637,0.3591,0.398,8117660.3
2023-03-13,0.3992,0.4667,0.3856,0.4432,11548225.3
2023-03-20,0.4435,0.4719,0.404,0.4161,7552125.6
2023-03-27,0.416,0.4361,0.3838,0.416,4365635.3
2023-04-03,0.4178,0.5005,0.4075,0.4204,9163430.4
2023-04-10,0.4199,0.4497,0.4171,0.442,10297903.3
2023-04-17,0.442,0.7155,0.4001,0.4503,165767228.3
2023-04-24,0.4503,0.4515,0.4019,0.4091,24223849.2
2023-05-01,0.4086,0.4184,0.3761,0.3804,14357310.7
2023-05-08,0.3804,0.3823,0.3463,0.3569,7513122.7
2023-05-15,0.357,0.3679,0.3509,0.3526,3674739.0
2023-05-22,0.3524,0.3561,0.3259,0.3445,3687912.0
2023-05-29,0.3449,0.3499,0.3244,0.3384,2938085.3
2023-06-05,0.3382,0.3384,0.2567,0.2685,6010675.3
2023-06-12,0.268,0.3088,0.2489,0.2699,12811357.7
2023-06-19,0.2709,0.3416,0.053,0.3216,19417090.2
2023-06-26,0.3221,0.4276,0.3076,0.3158,73654978.0
2023-07-03,0.3157,0.3951,0.296,0.386,37674713.9
2023-07-10,0.3857,0.4909,0.3083,0.3248,120528711.0
2023-07-17,0.3243,0.3387,0.3066,0.3229,8023786.8
2023-07-24,0.3227,0.37,0.3054,0.3229,12051152.4
2023-07-31,0.3232,0.3394,0.315,0.3177,5197668.9
2023-08-07,0.3181,0.4006,0.3132,0.3802,37166789.8
2023-08-14,0.3802,0.4656,0.2998,0.3665,110951885.3
2023-08-21,0.3672,0.4895,0.3614,0.4552,93763780.6
2023-08-28,0.4552,0.595,0.37,0.5206,108546686.9
2023-09-04,0.521,0.65,0.4865,0.5721,89467478.9
2023-09-11,0.5722,2.6352,0.5361,0.903,565277172.6
2023-09-18,0.9028,0.9364,0.6859,0.7601,299510456.7
2023-09-25,0.7599,0.7681,0.6409,0.7325,101070870.2
2023-10-02,0.7331,0.7446,0.6172,0.6622,77560563.8
2023-10-09,0.6622,0.6624,0.5656,0.5878,36037726.0
2023-10-16,0.5882,0.6018,0.4721,0.5139,49402763.1
2023-10-23,0.5139,0.6999,0.4998,0.6707,145937275.7
2023-10-30,0.6708,0.6948,0.585,0.6099,64325092.7
2023-11-06,0.6099,1.3408,0.593,0.8297,384354088.0
2023-11-13,0.8295,0.873,0.6792,0.7286,76599204.0
2023-11-20,0.7292,0.8351,0.7012,0.7366,93797770.0
2023-11-27,0.7369,0.7598,0.6947,0.745,41244686.5
2023-12-04,0.7451,0.8372,0.7011,0.8028,104908912.3
2023-12-11,0.8033,0.8147,0.6802,0.7124,42949195.9
2023-12-18,0.7127,0.7565,0.6402,0.7167,27986342.0
2023-12-25,0.7172,0.7679,0.683,0.7356,41962124.1
2024-01-01,0.7359,0.8484,0.5112,0.646,106574365.3
2024-01-08,0.6465,0.6689,0.5673,0.6141,29904026.2
