datetime,open,high,low,close,volume
2021-12-13,24.4,44.0,13.53,14.71,7328309.774
2021-12-20,14.72,15.92,11.28,13.55,10073775.627
2021-12-27,13.54,14.86,10.51,12.23,6459162.111
2022-01-03,12.24,12.52,8.21,8.51,4638921.689
2022-01-10,8.5,10.61,7.4,8.32,7206180.265
2022-01-17,8.32,8.35,5.29,5.69,4773546.278
2022-01-24,5.7,5.73,4.08,5.1,7884367.97
2022-01-31,5.1,6.97,4.74,6.07,9807791.649
2022-02-07,6.06,6.49,4.89,5.06,8773490.596
2022-02-14,5.06,5.88,4.04,4.31,4463993.337
2022-02-21,4.32,5.25,3.48,3.77,8555376.312
2022-02-28,3.77,4.3,3.47,3.87,5804980.222
2022-03-07,3.87,4.58,3.58,3.67,13024342.08
2022-03-14,3.68,8.61,3.63,5.72,47492030.599
2022-03-21,5.73,7.0,5.38,6.36,17185126.622
2022-03-28,6.36,8.7,6.17,7.27,22179726.058
2022-04-04,7.27,7.42,5.0,5.06,12517582.49
2022-04-11,5.06,5.2,4.32,4.57,7309179.296
2022-04-18,4.57,5.13,4.29,4.33,5690182.803
2022-04-25,4.33,5.19,3.61,3.92,12198819.19
2022-05-02,3.92,4.16,3.08,3.18,7554601.142
2022-05-09,3.17,3.19,1.45,2.08,10869562.777
2022-05-16,2.07,2.48,1.85,2.15,9125648.647
2022-05-23,2.14,2.57,1.76,1.91,9054455.751
2022-05-30,1.92,2.19,1.82,1.95,5235671.767
2022-06-06,1.94,2.44,1.45,1.48,8156231.185
2022-06-13,1.48,1.51,1.08,1.25,9956869.78
2022-06-20,1.25,1.49,1.1,1.29,7917712.727
2022-06-27,1.3,1.41,1.17,1.29,6130667.879
2022-07-04,1.29,1.67,1.23,1.35,9386950.226
2022-07-11,1.35,1.85,1.25,1.54,16437316.678
2022-07-18,1.54,1.84,1.52,1.61,10861778.414
2022-07-25,1.61,2.86,1.45,1.98,24460020.637
2022-08-01,1.97,2.22,1.85,1.997,22870124.244
2022-08-08,1.997,2.145,1.868,1.939,6282417.588
2022-08-15,1.936,2.117,1.5,1.56,6367010.967
2022-08-22,1.56,1.604,1.355,1.361,3932546.574
2022-08-29,1.364,1.654,1.364,1.501,10981508.812
2022-09-05,1.503,1.6,1.355,1.518,5726190.757
2022-09-12,1.517,1.7,1.329,1.336,7788937.216
2022-09-19,1.34,1.399,1.273,1.353,3364619.352
2022-09-26,1.35,1.988,1.296,1.403,31206440.752
2022-10-03,1.402,1.788,1.392,1.565,36708187.8
2022-10-10,1.564,1.573,1.3,1.441,6126562.275
2022-10-17,1.443,1.598,1.373,1.467,6161021.123
2022-10-24,1.464,1.629,1.407,1.521,6610351.85
2022-10-31,1.518,1.89,1.399,1.629,17813876.917
2022-11-07,1.626,1.634,0.941,1.047,17801329.975
2022-11-14,1.046,1.236,0.983,1.067,11735733.324
2022-11-21,1.067,1.439,1.018,1.158,15060468.451
2022-11-28,1.158,1.402,1.103,1.237,16820520.041
2022-12-05,1.239,1.339,1.18,1.207,9975660.68
2022-12-12,1.207,1.282,1.012,1.043,8145273.853
2022-12-19,1.044,1.07,0.95,0.99,4379192.904
2022-12-26,0.989,1.024,0.839,0.858,5637248.977
2023-01-02,0.858,0.957,0.843,0.915,7087435.456
2023-01-09,0.912,1.074,0.88,1.028,13215497.19
2023-01-16,1.029,1.359,1.012,1.214,26791914.243
2023-01-23,1.215,3.06,1.171,2.812,64852721.124
2023-01-30,2.808,4.65,2.482,4.193,175966948.281
2023-02-06,4.191,4.682,2.817,3.101,71524720.737
2023-02-13,3.101,3.87,2.64,3.472,61264125.093
2023-02-20,3.469,4.394,2.654,2.923,57463385.07
2023-02-27,2.923,3.088,2.136,2.348,35669083.284
2023-03-06,2.347,2.411,1.633,2.171,43250860.79
2023-03-13,2.171,2.654,2.017,2.503,53562793.675
2023-03-20,2.503,2.792,2.035,2.114,33918533.478
2023-03-27,2.112,2.305,1.85,2.092,20675039.158
2023-04-03,2.093,2.254,1.916,2.037,17606257.445
2023-04-10,2.038,2.58,1.975,2.486,32007252.607
2023-04-17,2.485,2.64,1.857,2.016,30774280.163
2023-04-24,2.015,2.175,1.83,1.987,29879695.358
2023-05-01,1.988,2.002,1.67,1.677,13229134.953
2023-05-08,1.676,1.691,1.377,1.482,23616938.502
2023-05-15,1.482,1.845,1.45,1.585,24724807.42
2023-05-22,1.585,2.332,1.522,2.121,58208862.938
2023-05-29,2.124,2.159,1.88,2.077,30907964.565
2023-06-05,2.077,2.295,1.019,1.229,53483961.875
2023-06-12,1.23,1.345,1.18,1.235,20086366.831
2023-06-19,1.234,1.428,1.163,1.343,32209302.546
2023-06-26,1.344,1.391,1.123,1.246,19649924.073
2023-07-03,1.247,1.384,1.14,1.154,21898129.521
2023-07-10,1.154,1.255,1.089,1.132,15939929.047
2023-07-17,1.132,1.218,1.1,1.163,13262493.272
2023-07-24,1.162,1.167,1.053,1.139,9856992.912
2023-07-31,1.138,1.395,1.125,1.319,35942107.701
2023-08-07,1.32,1.562,1.231,1.438,77218813.336
2023-08-14,1.437,1.482,0.95,1.142,23822958.77
2023-08-21,1.141,1.17,1.055,1.079,8576433.239
2023-08-28,1.079,1.239,1.052,1.174,15262900.255
