datetime,open,high,low,close,volume
2023-03-20,0.025,2.5,0.025,0.48751,2134699118.0
2023-03-27,0.48767,0.52298,0.42765,0.46685,970638299.0
2023-04-03,0.46685,0.4855,0.43037,0.44556,388665434.0
2023-04-10,0.44556,0.98,0.43901,0.92936,1740465805.0
2023-04-17,0.92933,1.05,0.66171,0.67839,1413674681.0
2023-04-24,0.6784,0.77754,0.63077,0.63581,885001657.0
2023-05-01,0.636,0.64057,0.51,0.53484,432008953.0
2023-05-08,0.535,0.54418,0.43512,0.50457,445741365.0
2023-05-15,0.50455,0.51853,0.4534,0.46759,290790283.0
2023-05-22,0.46751,0.52412,0.441,0.51189,223605157.0
2023-05-29,0.51199,0.52452,0.45075,0.46388,217625234.0
2023-06-05,0.46388,0.46562,0.24733,0.2641,414747271.0
2023-06-12,0.26407,0.30776,0.24748,0.29055,278199965.0
2023-06-19,0.29055,0.36165,0.28189,0.3166,334263730.0
2023-06-26,0.31639,0.33,0.246,0.28089,274717066.0
2023-07-03,0.28083,0.3119,0.25971,0.2679,220997705.0
2023-07-10,0.26795,0.29609,0.2475,0.263,201616262.0
2023-07-17,0.26271,0.28052,0.25339,0.26223,122483570.0
2023-07-24,0.26227,0.2785,0.23486,0.25003,174076006.0
2023-07-31,0.24997,0.26034,0.2371,0.25636,121082082.0
2023-08-07,0.25644,0.2838,0.24924,0.25731,178958740.0
2023-08-14,0.25723,0.26293,0.155,0.20166,169612155.0
2023-08-21,0.20165,0.20623,0.18063,0.18489,97900159.0
2023-08-28,0.18477,0.239,0.17813,0.21019,459413387.0
2023-09-04,0.21022,0.22775,0.20294,0.21616,244424065.0
2023-09-11,0.21618,0.2335,0.19632,0.19936,254922504.0
2023-09-18,0.19937,0.2064,0.18858,0.19414,101456467.0
2023-09-25,0.19403,0.21485,0.19121,0.21305,74885661.0
2023-10-02,0.21313,0.21772,0.18423,0.19098,80077069.0
2023-10-09,0.19089,0.19137,0.17337,0.18474,82106069.0
2023-10-16,0.18475,0.19589,0.1709,0.18236,105966655.0
2023-10-23,0.18236,0.243,0.17771,0.2409,285586243.0
2023-10-30,0.24097,0.2945,0.23115,0.24713,339460368.0
2023-11-06,0.24723,0.29999,0.21191,0.28413,254353771.0
2023-11-13,0.28377,0.30791,0.23456,0.25967,231292454.0
2023-11-20,0.25988,0.26512,0.22279,0.2566,117215541.0
2023-11-27,0.25665,0.366,0.2385,0.29807,755318974.0
2023-12-04,0.29826,0.30938,0.266,0.29112,343590780.0
2023-12-11,0.2913,0.32196,0.251,0.28791,304233870.0
2023-12-18,0.28791,0.34404,0.2551,0.32296,359095761.0
2023-12-25,0.32304,0.37822,0.29049,0.30017,224390735.0
2024-01-01,0.30023,0.36891,0.254,0.28022,335171894.0
2024-01-08,0.28005,0.32983,0.25632,0.29416,230036561.0
