datetime,open,high,low,close,volume
2022-01-10,3.751,4.679,3.3,4.158,24406130.41
2022-01-17,4.156,4.299,2.01,2.503,21628181.31
2022-01-24,2.502,3.313,2.0,2.573,27830603.09
2022-01-31,2.572,4.29,2.466,2.827,77510354.39
2022-02-07,2.823,3.89,2.204,2.291,67163866.42
2022-02-14,2.291,2.506,1.774,1.813,42611758.4
2022-02-21,1.813,1.965,1.315,1.41,69433626.34
2022-02-28,1.409,1.65,1.148,1.148,41927213.44
2022-03-07,1.148,1.981,1.101,1.69,296196378.81
2022-03-14,1.689,2.364,1.45,2.188,187798752.17
2022-03-21,2.186,2.442,1.993,2.321,153195118.25
2022-03-28,2.321,2.849,2.214,2.615,145582488.95
2022-04-04,2.613,2.615,1.963,2.042,102090854.91
2022-04-11,2.042,2.093,1.707,1.726,64626719.72
2022-04-18,1.727,2.13,1.563,1.727,70718819.36
2022-04-25,1.727,1.863,1.291,1.515,68933030.06
2022-05-02,1.515,1.867,1.345,1.363,99803289.15
2022-05-09,1.363,1.405,0.675,0.956,135005294.41
2022-05-16,0.956,1.076,0.783,0.992,82840420.19
2022-05-23,0.991,1.056,0.79,1.013,82374431.8
2022-05-30,1.014,1.2,0.907,0.974,75979562.93
2022-06-06,0.976,1.074,0.729,0.734,54562691.06
2022-06-13,0.735,0.799,0.633,0.776,95455542.97
2022-06-20,0.776,0.911,0.732,0.821,44433347.7
2022-06-27,0.82,1.05,0.802,0.897,73780000.24
2022-07-04,0.897,1.04,0.881,0.913,37556892.32
2022-07-11,0.911,0.95,0.809,0.913,30723960.06
2022-07-18,0.914,1.136,0.895,0.918,49449894.17
2022-07-25,0.918,1.296,0.784,1.081,84974040.68
2022-08-01,1.081,1.234,0.978,1.139,57246938.5
2022-08-08,1.139,1.279,1.061,1.095,54513362.31
2022-08-15,1.096,1.128,0.821,0.873,40968967.07
2022-08-22,0.873,0.888,0.762,0.776,24650650.8
2022-08-29,0.776,0.878,0.759,0.845,26334849.65
2022-09-05,0.845,0.892,0.755,0.867,30542713.05
2022-09-12,0.867,0.939,0.745,0.749,33963128.94
2022-09-19,0.749,0.807,0.714,0.729,23018054.5
2022-09-26,0.73,0.782,0.711,0.744,22648209.65
2022-10-03,0.745,0.803,0.72,0.734,16074271.29
2022-10-10,0.734,0.741,0.6,0.633,16780737.76
2022-10-17,0.632,0.657,0.529,0.567,18802997.18
2022-10-24,0.566,0.677,0.528,0.612,46951773.37
2022-10-31,0.613,0.726,0.561,0.599,73923983.96
2022-11-07,0.599,0.62,0.384,0.418,81250719.67
2022-11-14,0.417,0.44,0.39,0.393,24423737.61
2022-11-21,0.393,0.477,0.376,0.442,32046707.18
2022-11-28,0.443,0.514,0.406,0.504,26099804.87
2022-12-05,0.504,0.519,0.429,0.43,21902483.53
2022-12-12,0.431,0.479,0.394,0.419,21279470.78
2022-12-19,0.42,0.476,0.409,0.423,19699903.37
2022-12-26,0.424,0.431,0.375,0.385,9261391.2
2023-01-02,0.386,0.453,0.378,0.451,13123145.31
2023-01-09,0.451,0.614,0.448,0.589,50846981.61
2023-01-16,0.589,0.736,0.555,0.667,37157922.16
2023-01-23,0.667,0.768,0.631,0.673,53702670.97
2023-01-30,0.672,1.03,0.629,0.893,109413463.84
2023-02-06,0.893,1.208,0.838,1.028,139190023.9
2023-02-13,1.028,1.29,0.925,1.018,136226222.6
2023-02-20,1.018,1.091,0.915,0.982,72129336.61
2023-02-27,0.982,1.124,0.88,1.05,89877563.22
2023-03-06,1.049,1.16,0.757,0.932,105531245.56
2023-03-13,0.932,1.59,0.895,1.456,193552006.08
2023-03-20,1.456,1.54,1.025,1.107,146824691.35
2023-03-27,1.108,1.184,0.989,1.052,68898689.93
2023-04-03,1.052,1.128,1.006,1.046,42911721.35
2023-04-10,1.047,1.246,1.022,1.21,69234070.85
2023-04-17,1.21,1.212,0.904,0.952,57101799.45
2023-04-24,0.953,1.09,0.892,0.986,59262905.84
2023-05-01,0.986,0.996,0.833,0.857,41475302.75
2023-05-08,0.857,0.863,0.699,0.75,47123282.29
2023-05-15,0.75,0.803,0.715,0.72,35614236.54
2023-05-22,0.721,0.8,0.699,0.772,38294528.82
2023-05-29,0.772,0.84,0.718,0.816,43379822.98
2023-06-05,0.816,0.822,0.555,0.601,50699439.44
2023-06-12,0.602,0.649,0.567,0.62,28659850.02
2023-06-19,0.621,0.773,0.606,0.74,38592065.94
2023-06-26,0.739,0.77,0.671,0.755,43284506.32
2023-07-03,0.755,0.784,0.684,0.697,22989455.93
2023-07-10,0.696,0.799,0.674,0.74,19226322.86
2023-07-17,0.739,0.7924,0.71,0.7667,20573030.92
2023-07-24,0.7669,0.85,0.6934,0.7511,95933151.28
2023-07-31,0.7512,0.803,0.7282,0.7387,28450664.32
2023-08-07,0.7388,0.7534,0.6848,0.6919,15897405.14
2023-08-14,0.6917,0.7189,0.5344,0.6102,32410905.34
2023-08-21,0.6103,0.6236,0.5526,0.5767,56895027.57
2023-08-28,0.5767,0.6059,0.5319,0.543,24758533.36
2023-09-04,0.543,0.5634,0.5015,0.5139,16802761.07
2023-09-11,0.5144,0.5397,0.48,0.5207,23377042.18
2023-09-18,0.5206,0.7699,0.5139,0.5904,185459484.02
2023-09-25,0.5904,0.6227,0.553,0.6146,60455955.05
2023-10-02,0.6149,0.6175,0.5445,0.5583,29044765.28
2023-10-09,0.5583,0.575,0.5034,0.5278,37304659.18
2023-10-16,0.5279,0.5831,0.5037,0.579,40672170.7
2023-10-23,0.579,0.6798,0.5766,0.6762,67680591.84
2023-10-30,0.6762,0.988,0.6268,0.932,130325675.53
2023-11-06,0.9316,1.28,0.7703,1.1883,214839874.65
2023-11-13,1.1877,1.3587,1.0523,1.3518,134172512.65
2023-11-20,1.3524,1.5,1.2218,1.3582,89276039.04
2023-11-27,1.3599,1.495,1.2356,1.4293,69277924.24
2023-12-04,1.4292,2.0173,1.3321,1.8438,150050871.86
2023-12-11,1.8437,2.3249,1.63,1.9846,150074165.55
2023-12-18,1.9849,2.5758,1.7839,2.3846,92661882.74
2023-12-25,2.384,2.5978,2.1,2.1315,49864006.11
2024-01-01,2.1315,2.42,1.7357,1.9013,40455254.51
2024-01-08,1.9023,2.327,1.7504,1.9856,40884537.76
