datetime,open,high,low,close,volume
2021-02-01,0.25,18.8264,0.25,7.52,172072543.24
2021-02-08,7.5212,12.1483,6.0444,11.6995,76383661.27
2021-02-15,11.6985,14.78,9.5666,10.599,60816640.96
2021-02-22,10.6235,11.1077,6.2,6.9102,37918872.42
2021-03-01,6.8798,9.48,6.8212,9.2055,26192569.07
2021-03-08,9.2052,11.9367,7.7309,10.8959,30561224.7
2021-03-15,10.8768,12.5,9.3836,10.6,21909654.02
2021-03-22,10.6199,10.8079,7.5811,9.1404,13887050.54
2021-03-29,9.1539,10.19,8.5869,9.6015,12056379.71
2021-04-05,9.6091,12.6,9.0148,11.5394,25921952.18
2021-04-12,11.5342,13.39,7.7935,10.1822,27201728.29
2021-04-19,10.18,10.95,6.6047,7.2194,17800821.13
2021-04-26,7.2197,9.49,7.1282,9.112,14465951.62
2021-05-03,9.1264,9.983,7.6141,8.1937,22168599.99
2021-05-10,8.201,8.478,6.0311,7.21,16046985.99
2021-05-17,7.21,7.2399,2.0,2.5554,22878098.52
2021-05-24,2.56,4.1,2.4653,3.106,15041085.82
2021-05-31,3.0917,4.6139,2.949,3.9626,20484158.85
2021-06-07,3.9626,4.2855,3.03,3.3453,12141047.43
2021-06-14,3.3494,3.5983,2.7964,3.0575,8095845.82
2021-06-21,3.0647,3.0777,1.9269,2.1935,9625133.87
2021-06-28,2.1988,2.53,2.115,2.3932,7351365.93
2021-07-05,2.3932,3.0584,2.2025,2.5902,19150990.61
2021-07-12,2.5926,3.672,2.402,2.8557,35231886.73
2021-07-19,2.8557,3.59,2.2201,3.2694,34913222.77
2021-07-26,3.2713,4.22,3.1949,3.4565,33888907.81
2021-08-02,3.4536,4.3,3.3701,3.7843,27062889.35
2021-08-09,3.7878,5.193,3.62,5.09,33199137.91
2021-08-16,5.0971,5.4,4.3,5.1978,26494817.18
2021-08-23,5.1993,5.98,4.6345,5.025,25458784.49
2021-08-30,5.026,5.718,4.71,5.618,21089626.03
2021-09-06,5.619,5.73,3.539,4.197,35456041.28
2021-09-13,4.188,4.887,3.964,4.197,36115449.79
2021-09-20,4.197,4.21,3.116,3.337,16777508.81
2021-09-27,3.337,3.9,2.979,3.666,13998624.51
2021-10-04,3.662,4.15,3.4,3.715,15744218.3
2021-10-11,3.715,4.99,3.384,4.521,29277383.2
2021-10-18,4.522,4.926,4.186,4.705,15543924.3
2021-10-25,4.701,5.3,4.19,5.118,19218091.8
2021-11-01,5.118,5.841,4.606,4.997,24166887.7
2021-11-08,4.997,5.252,4.147,4.942,20841293.6
2021-11-15,4.942,5.119,3.857,4.365,14233517.5
2021-11-22,4.359,7.78,3.888,5.909,93586295.27
2021-11-29,5.913,6.6,2.829,3.21,42299083.45
2021-12-06,3.21,3.58,2.775,3.185,21195369.2
2021-12-13,3.185,3.3,2.645,2.805,14497637.6
2021-12-20,2.803,3.494,2.65,3.396,16904200.2
2021-12-27,3.398,3.479,2.839,3.182,11224569.8
2022-01-03,3.18,3.247,2.366,2.471,10976759.57
2022-01-10,2.47,2.742,2.243,2.67,12648379.7
2022-01-17,2.67,2.682,1.514,1.688,16914854.25
2022-01-24,1.687,1.688,1.342,1.351,20392450.65
2022-01-31,1.349,1.688,1.275,1.675,25602871.73
2022-02-07,1.676,1.98,1.444,1.488,44828723.5
2022-02-14,1.489,1.727,1.358,1.411,18146041.1
2022-02-21,1.41,1.48,1.073,1.259,27759777.47
2022-02-28,1.259,1.543,1.21,1.217,16839232.2
2022-03-07,1.217,1.322,1.079,1.099,17044874.4
2022-03-14,1.098,1.316,1.08,1.254,18817065.8
2022-03-21,1.253,1.594,1.223,1.569,24146109.4
2022-03-28,1.569,2.2,1.516,1.97,70342581.1
2022-04-04,1.97,2.028,1.377,1.389,28559267.6
2022-04-11,1.387,1.436,1.2,1.334,19223959.7
2022-04-18,1.333,1.496,1.254,1.333,17411966.6
2022-04-25,1.332,1.368,0.967,1.116,22006973.7
2022-05-02,1.116,1.241,0.953,1.0,27207288.6
2022-05-09,1.0,1.031,0.386,0.609,82703163.6
2022-05-16,0.608,0.643,0.526,0.625,45018892.7
2022-05-23,0.625,0.736,0.493,0.607,88136513.8
2022-05-30,0.606,0.742,0.564,0.61,72192435.6
2022-06-06,0.611,1.338,0.576,0.771,344455280.6
2022-06-13,0.77,1.15,0.646,0.944,377698734.3
2022-06-20,0.944,1.283,0.837,1.087,162472700.3
2022-06-27,1.087,1.262,0.793,0.822,64426595.8
2022-07-04,0.822,1.024,0.8,0.855,61378580.5
2022-07-11,0.854,0.867,0.683,0.783,32671514.3
2022-07-18,0.783,0.96,0.763,0.868,43885342.5
2022-07-25,0.867,1.139,0.714,1.012,64405671.9
2022-08-01,1.011,1.17,0.915,1.027,45487696.6
2022-08-08,1.027,1.079,0.926,0.955,21935151.0
2022-08-15,0.955,0.989,0.706,0.773,20305744.6
2022-08-22,0.774,0.814,0.678,0.684,18029956.6
2022-08-29,0.683,0.761,0.675,0.722,14395926.9
2022-09-05,0.723,0.77,0.638,0.744,21717918.3
2022-09-12,0.744,0.776,0.61,0.613,18081675.1
2022-09-19,0.614,0.624,0.55,0.565,17865111.6
2022-09-26,0.565,0.872,0.557,0.723,57956264.1
2022-10-03,0.722,1.031,0.701,0.771,127599925.0
2022-10-10,0.771,0.96,0.619,0.775,87258588.3
2022-10-17,0.775,0.799,0.647,0.705,42345576.0
2022-10-24,0.706,0.94,0.701,0.84,78339399.2
2022-10-31,0.84,1.391,0.838,1.016,171834857.6
2022-11-07,1.017,1.165,0.62,0.667,80365183.2
2022-11-14,0.667,0.747,0.625,0.662,34364699.6
2022-11-21,0.663,0.764,0.625,0.72,30749946.5
2022-11-28,0.719,0.907,0.67,0.878,52538124.8
2022-12-05,0.878,1.259,0.711,0.776,79654894.4
2022-12-12,0.775,0.81,0.651,0.712,29425383.7
2022-12-19,0.712,0.73,0.65,0.703,20233481.2
2022-12-26,0.703,0.736,0.674,0.715,15773666.7
2023-01-02,0.715,0.752,0.697,0.749,14597661.0
2023-01-09,0.75,0.948,0.742,0.903,46653266.4
2023-01-16,0.902,1.09,0.824,1.012,42211173.9
2023-01-23,1.013,1.323,0.984,1.083,68606727.5
2023-01-30,1.084,1.1,0.936,0.986,34393970.0
2023-02-06,0.985,1.55,0.972,1.203,96186269.1
2023-02-13,1.204,1.651,1.1,1.519,78297901.7
2023-02-20,1.518,1.74,1.227,1.306,46679575.8
2023-02-27,1.305,1.358,1.032,1.098,21931925.6
2023-03-06,1.097,1.121,0.801,0.949,23270164.3
2023-03-13,0.95,1.256,0.901,1.183,54681121.3
2023-03-20,1.184,1.217,0.986,1.03,29587204.1
2023-03-27,1.029,1.157,0.932,1.048,28727271.3
2023-04-03,1.049,1.138,1.013,1.125,22540786.1
2023-04-10,1.125,1.25,1.063,1.22,28243957.8
2023-04-17,1.219,1.25,0.932,0.977,18703862.7
2023-04-24,0.977,1.043,0.919,0.959,14429239.5
2023-05-01,0.96,1.004,0.905,0.915,9204552.1
2023-05-08,0.915,0.922,0.773,0.82,13119627.0
2023-05-15,0.82,0.891,0.802,0.82,11744662.9
2023-05-22,0.82,0.907,0.803,0.888,9691897.3
2023-05-29,0.889,0.991,0.881,0.927,26594178.2
2023-06-05,0.926,0.927,0.528,0.595,30048514.2
2023-06-12,0.595,0.644,0.571,0.612,17570927.1
2023-06-19,0.612,0.728,0.604,0.705,22493741.7
2023-06-26,0.705,0.745,0.62,0.719,17429067.4
2023-07-03,0.719,0.785,0.687,0.696,13836655.3
2023-07-10,0.696,0.77,0.666,0.712,11051859.6
2023-07-17,0.712,0.757,0.71,0.742,8379562.6
2023-07-24,0.741,0.752,0.658,0.672,9352461.9
2023-07-31,0.672,0.699,0.641,0.679,7739313.0
2023-08-07,0.68,0.829,0.65,0.783,30714068.4
2023-08-14,0.782,0.859,0.488,0.58,52085766.5
2023-08-21,0.581,0.588,0.531,0.561,14353936.0
2023-08-28,0.561,0.613,0.521,0.578,24412740.6
2023-09-04,0.577,0.805,0.577,0.63,107579915.3
2023-09-11,0.63,0.694,0.575,0.65,33878031.9
2023-09-18,0.65,0.699,0.64,0.645,14764044.1
2023-09-25,0.646,0.767,0.636,0.757,24421542.1
2023-10-02,0.758,0.762,0.675,0.7,14617010.9
2023-10-09,0.7,0.7,0.619,0.673,7674544.3
2023-10-16,0.673,0.705,0.608,0.655,9794518.0
2023-10-23,0.655,0.771,0.646,0.752,15646719.0
2023-10-30,0.753,0.869,0.729,0.777,35864471.3
2023-11-06,0.775,0.899,0.7,0.858,37510158.0
2023-11-13,0.857,0.892,0.74,0.882,35235990.8
2023-11-20,0.883,0.955,0.807,0.902,36525653.7
2023-11-27,0.902,0.969,0.82,0.894,22804360.9
2023-12-04,0.895,1.012,0.862,0.98,34389642.4
2023-12-11,0.98,1.139,0.816,0.973,51774322.6
2023-12-18,0.973,1.211,0.883,1.136,55112052.5
2023-12-25,1.136,1.38,0.974,1.012,51241537.6
2024-01-01,1.011,1.073,0.784,0.802,26907699.8
2024-01-08,0.802,0.932,0.744,0.847,19548967.4
