datetime,open,high,low,close,volume
2021-11-08,386.2,540.0,234.7,371.8,349999.453
2021-11-15,371.5,439.0,303.0,382.5,276457.686
2021-11-22,383.9,413.1,284.7,313.8,190859.265
2021-11-29,313.2,329.9,204.0,220.6,251675.025
2021-12-06,221.1,228.3,177.7,197.7,264306.299
2021-12-13,197.4,219.3,171.9,183.5,143411.155
2021-12-20,183.5,199.3,171.6,187.3,149376.961
2021-12-27,187.3,240.0,180.2,207.0,300309.712
2022-01-03,207.0,213.1,149.5,160.1,272452.459
2022-01-10,160.1,180.0,144.7,149.9,271465.149
2022-01-17,149.9,150.1,79.2,84.2,341221.179
2022-01-24,84.2,87.2,67.1,75.3,271337.473
2022-01-31,75.2,94.6,70.0,91.1,388471.246
2022-02-07,91.0,116.0,82.3,82.6,455336.93
2022-02-14,82.8,108.0,72.9,74.3,551597.105
2022-02-21,74.3,79.5,54.5,61.6,478512.28
2022-02-28,61.6,78.8,55.4,55.6,542740.372
2022-03-07,55.5,57.4,44.7,45.2,378208.029
2022-03-14,45.1,73.0,44.2,59.6,1138051.693
2022-03-21,59.5,68.0,56.3,67.1,579637.051
2022-03-28,67.2,95.9,63.5,84.8,1276953.193
2022-04-04,84.6,89.0,64.0,64.5,666414.817
2022-04-11,64.5,65.0,55.6,57.3,537699.008
2022-04-18,57.2,63.0,51.1,51.3,438605.512
2022-04-25,51.3,60.0,39.1,41.2,611959.546
2022-05-02,41.2,44.6,32.1,32.6,579015.652
2022-05-09,32.6,33.2,19.2,25.7,1393102.168
2022-05-16,25.6,29.0,21.2,24.6,688895.634
2022-05-23,24.6,26.6,20.6,21.9,643590.149
2022-05-30,22.0,23.9,19.9,20.9,444559.967
2022-06-06,21.0,22.0,15.5,15.6,497117.707
2022-06-13,15.7,15.7,9.8,11.4,1782200.15
2022-06-20,11.3,16.8,10.7,11.8,1127460.829
2022-06-27,11.8,17.9,10.3,11.8,1782768.106
2022-07-04,11.9,14.2,11.4,12.1,937094.797
2022-07-11,12.1,14.4,11.0,13.2,1466355.06
2022-07-18,13.2,15.7,12.4,13.5,1543945.658
2022-07-25,13.5,16.4,11.8,14.8,1733487.089
2022-08-01,14.8,22.5,13.97,18.27,4574832.265
2022-08-08,18.27,20.29,16.0,16.26,1607811.326
2022-08-15,16.24,16.77,12.56,14.18,1417293.21
2022-08-22,14.18,14.27,11.52,12.06,885407.968
2022-08-29,12.06,14.36,11.83,13.11,1167062.445
2022-09-05,13.12,14.2,11.61,12.93,1047661.645
2022-09-12,12.94,13.21,10.86,10.89,791111.137
2022-09-19,10.89,11.92,10.34,10.69,882003.813
2022-09-26,10.69,12.33,10.15,10.31,1139161.748
2022-10-03,10.3,13.56,10.2,11.03,2208710.231
2022-10-10,10.99,11.5,8.96,10.62,1157226.301
2022-10-17,10.62,11.89,9.94,10.63,860263.204
2022-10-24,10.63,11.32,10.43,10.99,595531.155
2022-10-31,10.99,12.45,10.24,11.23,871112.119
2022-11-07,11.23,11.39,7.84,8.07,1366110.39
2022-11-14,8.07,8.78,7.11,7.44,706203.303
2022-11-21,7.44,8.54,7.25,7.95,1092542.225
2022-11-28,7.96,9.95,7.59,8.58,1300963.759
2022-12-05,8.59,9.75,7.91,8.1,1353307.237
2022-12-12,8.1,8.12,6.48,6.8,900389.538
2022-12-19,6.8,7.56,6.36,7.14,883578.939
2022-12-26,7.15,7.16,5.85,6.19,648260.727
2023-01-02,6.18,6.53,6.1,6.47,434389.284
2023-01-09,6.47,7.78,6.45,7.45,1075547.911
2023-01-16,7.45,8.45,6.99,7.96,1498556.83
2023-01-23,7.94,9.5,7.88,9.3,1402822.873
2023-01-30,9.28,9.48,7.93,8.76,1231336.396
2023-02-06,8.77,10.68,8.29,8.43,1645211.827
2023-02-13,8.43,13.05,7.89,10.89,3343146.963
2023-02-20,10.88,11.76,9.52,10.48,1579717.492
2023-02-27,10.48,10.64,8.9,9.26,619798.718
2023-03-06,9.26,9.31,7.09,8.07,612207.585
2023-03-13,8.08,9.7,7.73,8.82,1339266.844
2023-03-20,8.83,9.13,7.93,8.24,605351.266
2023-03-27,8.24,8.67,7.8,8.18,539878.928
2023-04-03,8.19,8.84,7.95,8.54,576809.298
2023-04-10,8.55,9.62,8.27,9.27,1198817.105
2023-04-17,9.27,9.49,7.36,7.59,821600.757
2023-04-24,7.59,7.89,7.21,7.54,477500.676
2023-05-01,7.55,7.59,6.92,6.95,399381.339
2023-05-08,6.95,7.05,6.08,6.46,711104.959
2023-05-15,6.46,6.78,6.39,6.45,341201.001
2023-05-22,6.45,6.63,6.14,6.58,320545.03
2023-05-29,6.57,6.66,6.18,6.5,276545.64
2023-06-05,6.51,6.51,4.7,4.82,795185.249
2023-06-12,4.82,5.95,4.56,5.37,1105172.511
2023-06-19,5.36,6.3,5.02,5.81,1132407.672
2023-06-26,5.79,6.18,5.42,5.64,518442.713
2023-07-03,5.65,6.94,5.21,5.23,1642404.208
2023-07-10,5.23,5.61,5.02,5.13,894359.068
2023-07-17,5.13,5.25,4.82,5.08,736358.766
2023-07-24,5.08,5.33,4.71,4.99,727315.887
2023-07-31,5.0,5.05,4.69,4.85,468537.347
2023-08-07,4.84,5.98,4.84,5.26,3667752.598
2023-08-14,5.26,6.29,4.26,4.62,3537742.85
2023-08-21,4.61,4.7,4.22,4.3,971504.18
2023-08-28,4.3,4.53,4.04,4.2,1966980.263
2023-09-04,4.21,4.44,3.97,4.03,1597430.528
2023-09-11,4.04,4.16,3.7,3.9,1339508.716
2023-09-18,3.9,4.1,3.75,3.91,1652753.203
2023-09-25,3.91,4.68,3.87,4.14,4651656.034
2023-10-02,4.14,4.44,3.82,3.96,2173783.574
2023-10-09,3.96,3.996,3.62,3.86,1292148.027
2023-10-16,3.86,3.949,3.596,3.851,1038808.65
2023-10-23,3.856,4.505,3.825,4.361,1554948.302
2023-10-30,4.368,4.887,4.1,4.801,1505218.76
2023-11-06,4.802,7.355,4.631,6.165,10206175.355
2023-11-13,6.163,6.5,5.403,5.733,2213106.833
2023-11-20,5.733,8.2,5.658,6.548,11051491.493
2023-11-27,6.546,7.174,6.056,6.887,3456111.089
2023-12-04,6.886,7.898,6.828,7.375,3628224.873
2023-12-11,7.378,7.418,6.3,6.593,1742627.394
2023-12-18,6.602,44.0,6.1,33.179,37227622.3
2023-12-25,33.154,38.265,21.0,24.807,24915339.893
2024-01-01,24.795,30.33,15.414,23.192,12960889.393
2024-01-08,23.175,31.0,21.1,25.588,9344002.335
