datetime,open,high,low,close,volume
2020-08-17,0.5101,0.72,0.425,0.5945,14672742.66
2020-08-24,0.5945,0.6701,0.4777,0.6333,24302719.81
2020-08-31,0.6332,0.6356,0.2769,0.3933,30592644.31
2020-09-07,0.3933,0.4541,0.3218,0.3446,27038905.57
2020-09-14,0.3448,0.428,0.3,0.3683,32934167.9
2020-09-21,0.3674,0.4244,0.2933,0.3865,28964613.79
2020-09-28,0.3882,0.405,0.3302,0.3425,25553016.2
2020-10-05,0.3417,0.35,0.2396,0.306,26675278.69
2020-10-12,0.3072,0.3881,0.3037,0.3851,18536795.8
2020-10-19,0.3852,0.4936,0.3252,0.4372,28848675.16
2020-10-26,0.438,0.5822,0.4,0.4786,83017915.34
2020-11-02,0.4786,0.5451,0.4158,0.5134,72460487.06
2020-11-09,0.5131,0.624,0.4975,0.5291,75199492.95
2020-11-16,0.5273,0.6,0.4698,0.5047,76635541.25
2020-11-23,0.5062,0.553,0.3923,0.4632,84483137.72
2020-11-30,0.4634,0.5105,0.4327,0.4474,69329400.72
2020-12-07,0.4481,0.4502,0.344,0.3964,75711065.49
2020-12-14,0.3963,0.49,0.377,0.3979,100927581.45
2020-12-21,0.397,0.4,0.2679,0.3281,112486084.5
2020-12-28,0.3296,0.419,0.3059,0.3954,114889138.35
2021-01-04,0.3957,0.5,0.36,0.4373,195229046.86
2021-01-11,0.4372,0.6141,0.3111,0.5768,159313277.8
2021-01-18,0.5767,0.6485,0.4382,0.5667,153927846.13
2021-01-25,0.5664,0.6879,0.4806,0.5451,160119080.8
2021-02-01,0.5442,0.7933,0.5193,0.701,165815017.48
2021-02-08,0.7009,1.388,0.6927,1.0723,252229618.49
2021-02-15,1.0723,1.3396,0.88,1.2517,202136570.33
2021-02-22,1.2523,1.2883,0.7787,0.84,161330653.74
2021-03-01,0.8404,1.6838,0.8351,1.4985,244229091.12
2021-03-08,1.4977,1.6148,1.275,1.4804,232128741.73
2021-03-15,1.4797,1.64,1.34,1.6054,122839376.23
2021-03-22,1.6056,1.7,1.1584,1.4384,117138982.96
2021-03-29,1.4384,1.5692,1.3564,1.5033,77738669.02
2021-04-05,1.5015,1.9414,1.4216,1.7136,129425186.15
2021-04-12,1.7137,1.835,1.2139,1.4304,91297431.95
2021-04-19,1.4299,1.5341,0.928,1.0456,114163091.32
2021-04-26,1.0482,1.4242,1.0351,1.3159,92432373.02
2021-05-03,1.3159,1.5537,1.2658,1.518,126669520.27
2021-05-10,1.5188,1.675,1.038,1.1059,158187359.1
2021-05-17,1.1071,1.1408,0.4028,0.4972,241271238.5
2021-05-24,0.4971,0.7376,0.4817,0.552,213589760.67
2021-05-31,0.5514,0.764,0.526,0.6493,153969126.45
2021-06-07,0.6497,0.7,0.4609,0.5242,136369081.23
2021-06-14,0.5243,0.5917,0.456,0.4917,105431513.33
2021-06-21,0.4921,0.4931,0.3224,0.4128,94567377.28
2021-06-28,0.4136,0.4676,0.4053,0.4551,56310794.97
2021-07-05,0.4542,0.5042,0.4,0.4462,73954866.87
2021-07-12,0.4467,0.4582,0.3717,0.3809,50546024.07
2021-07-19,0.3805,0.4295,0.3258,0.4118,56397136.6
2021-07-26,0.4117,0.5526,0.4081,0.5222,107513825.46
2021-08-02,0.5226,0.6393,0.493,0.5493,138025151.51
2021-08-09,0.5492,0.7489,0.5259,0.7427,128560594.76
2021-08-16,0.7426,1.14,0.6857,0.965,177711830.76
2021-08-23,0.965,1.0248,0.7879,0.8538,123176986.42
2021-08-30,0.853,0.99,0.8006,0.9854,108398207.69
2021-09-06,0.9861,1.015,0.6656,0.8426,137832810.59
2021-09-13,0.8439,0.8971,0.7196,0.7586,93131743.0
2021-09-20,0.7593,0.7634,0.5865,0.6731,98971643.04
2021-09-27,0.672,0.7517,0.5936,0.7271,61535693.0
2021-10-04,0.7263,0.9094,0.673,0.8177,112404057.0
2021-10-11,0.8157,0.89,0.7164,0.8179,95993732.0
2021-10-18,0.8185,0.962,0.7956,0.8781,98832860.0
2021-10-25,0.8781,0.9749,0.7882,0.8803,86314934.0
2021-11-01,0.8802,1.2575,0.8268,0.9635,318739187.64
2021-11-08,0.9636,1.0528,0.8353,0.9317,114944751.0
2021-11-15,0.9328,1.0297,0.753,1.0006,130319040.0
2021-11-22,1.0009,1.3898,0.9044,1.085,268171958.2
2021-11-29,1.084,1.44,0.8038,0.9469,316512589.93
2021-12-06,0.9468,1.0119,0.8033,0.8671,142325819.0
2021-12-13,0.8673,0.8769,0.7442,0.773,67759264.0
2021-12-20,0.7722,1.28,0.7191,0.9512,190299420.0
2021-12-27,0.9509,1.04,0.817,0.9026,94662236.0
2022-01-03,0.9013,1.0365,0.7078,0.7401,122747364.0
2022-01-10,0.7392,0.8546,0.6767,0.8248,71705911.0
2022-01-17,0.8247,0.8462,0.5622,0.6357,78304787.1
2022-01-24,0.6354,0.6356,0.5195,0.5768,92793913.5
2022-01-31,0.576,0.6546,0.5225,0.6193,74669130.0
2022-02-07,0.6197,0.7186,0.5452,0.5538,96915194.0
2022-02-14,0.5541,0.6314,0.4688,0.4899,74841305.0
2022-02-21,0.49,0.5135,0.3773,0.4303,89141346.44
2022-02-28,0.4303,0.5064,0.4199,0.4213,74510362.0
2022-03-07,0.4213,0.5048,0.4029,0.4339,58561039.0
2022-03-14,0.4339,0.5367,0.4234,0.4981,72873154.0
2022-03-21,0.4982,0.7479,0.4894,0.6226,264182079.0
2022-03-28,0.6223,0.7009,0.5831,0.646,175776411.0
2022-04-04,0.6456,0.6515,0.5151,0.5294,69862428.0
2022-04-11,0.5296,0.5337,0.4671,0.4718,46452877.0
2022-04-18,0.4718,0.6113,0.4518,0.501,108782934.0
2022-04-25,0.5011,0.5226,0.3747,0.4227,56782801.0
2022-05-02,0.4229,0.4503,0.3559,0.3611,51860721.0
2022-05-09,0.3607,0.37,0.1664,0.2395,115997152.97
2022-05-16,0.2394,0.2556,0.2028,0.2351,85479467.0
2022-05-23,0.235,0.2518,0.191,0.2192,121706715.0
2022-05-30,0.2192,0.273,0.1973,0.2422,275194252.0
2022-06-06,0.2423,0.323,0.2144,0.2162,411099315.0
2022-06-13,0.216,0.2192,0.1536,0.1799,181058169.0
2022-06-20,0.18,0.213,0.1702,0.1929,111909422.0
2022-06-27,0.1926,0.2172,0.1614,0.169,139650887.0
2022-07-04,0.1691,0.185,0.1629,0.17,92320318.0
2022-07-11,0.1699,0.193,0.147,0.1788,141416069.0
2022-07-18,0.1788,0.2045,0.1734,0.1824,112921737.0
2022-07-25,0.1824,0.2148,0.1661,0.1948,113280033.0
2022-08-01,0.1944,0.2112,0.1781,0.2042,128364868.0
2022-08-08,0.2042,0.2372,0.2038,0.2138,171165384.0
2022-08-15,0.2138,0.2198,0.1594,0.1755,83390419.0
2022-08-22,0.1753,0.1753,0.1507,0.1524,63076045.0
2022-08-29,0.1526,0.17,0.1499,0.1643,70920702.0
2022-09-05,0.1644,0.1902,0.1565,0.1812,158865417.0
2022-09-12,0.1812,0.194,0.1463,0.1508,101585534.0
2022-09-19,0.1511,0.1679,0.144,0.1609,90899411.0
2022-09-26,0.1609,0.1785,0.1503,0.1505,95248816.0
2022-10-03,0.1503,0.1647,0.1483,0.1624,68149869.0
2022-10-10,0.1624,0.1634,0.1372,0.1501,42333934.0
2022-10-17,0.1501,0.21,0.1485,0.1639,205918566.0
2022-10-24,0.1637,0.1941,0.1575,0.1774,173841559.0
2022-10-31,0.1777,0.2692,0.164,0.2159,549521648.0
