datetime,open,high,low,close,volume
2021-12-20,0.138,0.2,0.138,0.1482,1400119980.7
2021-12-27,0.1484,0.1574,0.105,0.1208,1513758120.4
2022-01-03,0.1208,0.1408,0.0853,0.0897,1894325093.7
2022-01-10,0.0898,0.0917,0.0713,0.0799,1990375105.4
2022-01-17,0.08,0.0807,0.0322,0.0375,3366020346.2
2022-01-24,0.0375,0.0989,0.0305,0.0774,6636514717.5
2022-01-31,0.0774,0.1146,0.07,0.0929,7968065823.3
2022-02-07,0.093,0.1,0.0613,0.0626,7862699515.5
2022-02-14,0.0626,0.075,0.0511,0.0531,4519109649.2
2022-02-21,0.0532,0.0746,0.0405,0.0605,8287442391.6
2022-02-28,0.0604,0.0764,0.0514,0.0524,5827122668.6
2022-03-07,0.0523,0.068,0.05,0.0539,6158502928.0
2022-03-14,0.0538,0.0698,0.052,0.0662,4753435299.6
2022-03-21,0.0662,0.0861,0.0623,0.0803,6161064120.6
2022-03-28,0.0804,0.0895,0.0636,0.0703,4827927023.6
2022-04-04,0.0703,0.0745,0.0541,0.0565,3705907110.8
2022-04-11,0.0566,0.0576,0.0486,0.0492,2490125047.5
2022-04-18,0.0492,0.0575,0.0423,0.048,4281055874.4
2022-04-25,0.048,0.0491,0.0322,0.0382,3867631238.8
2022-05-02,0.0382,0.0455,0.0333,0.0349,4930555060.4
2022-05-09,0.0349,0.0358,0.0103,0.0173,14756653668.0
2022-05-16,0.0173,0.0434,0.0138,0.0294,21634544600.3
2022-05-23,0.0294,0.032,0.0181,0.0225,8580624270.6
2022-05-30,0.0224,0.0261,0.01873,0.01983,13718903707.9
2022-06-06,0.01983,0.02505,0.01567,0.01815,10418052998.2
2022-06-13,0.01815,0.02777,0.0162,0.02708,16175064978.3
2022-06-20,0.02708,0.02951,0.02207,0.02368,6683537814.6
2022-06-27,0.02368,0.02597,0.02164,0.02342,4420116678.1
2022-07-04,0.02342,0.0268,0.02285,0.02608,3879523738.5
2022-07-11,0.02608,0.02666,0.02163,0.02299,2857743921.1
2022-07-18,0.02298,0.02961,0.02285,0.02626,5208358058.7
2022-07-25,0.02626,0.03659,0.02383,0.03423,6471933441.0
2022-08-01,0.03424,0.04069,0.03291,0.03436,4247855219.2
2022-08-08,0.03437,0.03551,0.0285,0.02926,2554466169.6
2022-08-15,0.02927,0.03039,0.0206,0.02263,4059114130.5
2022-08-22,0.02263,0.02482,0.02109,0.02162,3158214180.8
2022-08-29,0.02163,0.02285,0.01919,0.02157,2551568624.1
2022-09-05,0.02156,0.02516,0.01883,0.02332,3367596049.1
2022-09-12,0.02333,0.02407,0.01851,0.01917,2911196811.2
2022-09-19,0.01917,0.0242,0.01872,0.02274,4408532566.1
2022-09-26,0.02272,0.02486,0.02157,0.02185,2231029473.2
2022-10-03,0.02186,0.02303,0.02134,0.02177,919706558.9
2022-10-10,0.02176,0.02279,0.01817,0.01983,2321596087.3
2022-10-17,0.01984,0.02015,0.01596,0.01746,1842551694.4
2022-10-24,0.01748,0.02351,0.01663,0.0196,3647660236.5
2022-10-31,0.0196,0.0345,0.0191,0.02695,9042347217.9
2022-11-07,0.02687,0.0378,0.01618,0.02236,10763202435.1
2022-11-14,0.02233,0.02698,0.02022,0.02146,5963263645.5
2022-11-21,0.02142,0.02607,0.02037,0.0244,3510346887.6
2022-11-28,0.0244,0.02768,0.02314,0.02669,2964189942.8
2022-12-05,0.02668,0.02783,0.02186,0.02251,3657641259.6
