datetime,open,high,low,close,volume
2021-03-15,9.38,17.6,7.653,8.004,12855977.43
2021-03-22,8.007,8.64,5.68,7.278,8545481.905
2021-03-29,7.279,10.96,7.15,9.09,7713279.747
2021-04-05,9.084,9.137,7.197,7.985,11350337.506
2021-04-12,7.994,8.813,6.086,6.327,4249668.991
2021-04-19,6.327,6.835,5.196,6.156,4079378.704
2021-04-26,6.156,8.399,6.147,7.895,5996608.82
2021-05-03,7.893,9.173,7.801,8.067,3999630.836
2021-05-10,8.066,12.678,7.147,9.265,7096748.728
2021-05-17,9.25,14.76,6.8,7.83,12838653.351
2021-05-24,7.83,11.432,6.882,7.679,4790312.824
2021-05-31,7.675,11.49,7.358,9.841,4321956.624
2021-06-07,9.842,10.161,7.2,8.548,3729491.731
2021-06-14,8.55,9.89,5.6,6.028,5848790.723
2021-06-21,6.028,6.078,3.618,4.385,14090648.76
2021-06-28,4.39,9.05,4.241,8.59,21967516.802
2021-07-05,8.591,11.9,8.071,8.864,11338594.885
2021-07-12,8.876,9.5,7.12,7.68,5114130.32
2021-07-19,7.693,9.758,6.1,9.162,5191622.759
2021-07-26,9.155,16.2,8.9,13.937,10886174.663
2021-08-02,13.926,17.9,13.7,14.482,6537664.315
2021-08-09,14.482,17.1,13.462,14.683,5388694.801
2021-08-16,14.692,20.0,13.759,17.158,10774994.751
2021-08-23,17.166,19.0,15.04,18.67,6790095.222
2021-08-30,18.67,26.21,18.25,19.87,8836706.397
2021-09-06,19.87,23.08,14.59,14.98,9491666.056
2021-09-13,14.98,18.51,13.47,14.29,4985297.643
2021-09-20,14.29,16.0,10.66,14.1,12439120.192
2021-09-27,14.09,19.11,13.45,14.99,16320838.13
2021-10-04,14.99,15.86,12.51,13.41,5932827.15
2021-10-11,13.41,19.77,13.25,17.8,9146316.76
2021-10-18,17.82,19.98,15.26,16.15,5288381.02
2021-10-25,16.15,18.3,15.3,16.42,3801270.38
2021-11-01,16.4,18.66,15.68,17.42,2811209.22
2021-11-08,17.42,23.13,15.69,17.29,3692281.29
2021-11-15,17.29,17.63,13.61,15.27,2727770.72
2021-11-22,15.26,15.61,11.32,12.73,3533319.45
2021-11-29,12.73,13.45,10.43,11.06,3943027.849
2021-12-06,11.07,11.68,8.88,9.36,2058901.8
2021-12-13,9.35,9.9,8.15,9.78,1853341.6
2021-12-20,9.78,10.29,8.91,9.48,2425696.52
2021-12-27,9.48,9.99,8.5,9.08,1992441.53
2022-01-03,9.07,9.64,7.94,9.18,2986940.34
2022-01-10,9.18,9.78,8.44,8.67,1642198.09
2022-01-17,8.68,9.9,7.3,7.93,3802264.646
2022-01-24,7.93,7.93,5.32,6.49,5527138.543
2022-01-31,6.48,6.69,5.82,6.48,1106125.41
2022-02-07,6.48,6.8,5.75,6.23,1943496.77
2022-02-14,6.23,6.53,5.46,5.91,1937084.45
2022-02-21,5.91,5.97,4.47,4.47,3591169.178
2022-02-28,4.47,4.79,3.86,3.87,4482915.33
2022-03-07,3.87,4.17,3.6,3.93,3299528.6
2022-03-14,3.93,4.35,3.63,4.02,4639921.12
2022-03-21,4.02,5.01,3.93,4.99,5120537.83
2022-03-28,5.0,5.62,4.76,5.25,5795337.09
2022-04-04,5.26,5.29,4.43,4.54,4302409.8
2022-04-11,4.54,4.55,3.87,3.91,1929601.73
2022-04-18,3.91,5.05,3.76,4.2,6425295.45
2022-04-25,4.21,4.42,3.02,3.25,5217652.003
2022-05-02,3.25,3.34,2.16,2.23,6586712.4
2022-05-09,2.23,2.26,1.09,1.37,9384378.86
2022-05-16,1.38,1.38,1.02,1.19,10459733.71
2022-05-23,1.18,1.72,1.05,1.24,21274180.47
2022-05-30,1.25,1.59,1.17,1.19,12774860.48
2022-06-06,1.19,1.24,0.73,0.73,9851240.81
2022-06-13,0.73,0.75,0.502,0.591,24095927.26
2022-06-20,0.591,0.938,0.568,0.748,68883726.81
2022-06-27,0.75,0.804,0.586,0.688,30281456.33
2022-07-04,0.687,0.794,0.643,0.746,34510319.24
2022-07-11,0.746,1.026,0.712,0.815,80288079.27
2022-07-18,0.817,0.943,0.757,0.806,29820468.15
2022-07-25,0.806,0.98,0.684,0.879,25622850.54
2022-08-01,0.878,1.369,0.809,1.089,78175335.22
2022-08-08,1.089,1.155,0.975,0.993,24693113.71
2022-08-15,0.993,1.026,0.723,0.794,25096175.21
2022-08-22,0.794,0.818,0.655,0.657,21025768.34
2022-08-29,0.66,0.769,0.653,0.691,17995976.57
2022-09-05,0.692,0.77,0.626,0.736,20154146.06
2022-09-12,0.737,0.743,0.553,0.561,13811258.0
2022-09-19,0.56,0.716,0.54,0.569,17688122.21
2022-09-26,0.57,0.66,0.536,0.554,19620309.45
2022-10-03,0.554,0.62,0.55,0.572,12156604.27
2022-10-10,0.573,0.963,0.481,0.649,60581025.84
2022-10-17,0.647,0.718,0.517,0.551,29223451.39
2022-10-24,0.551,0.59,0.53,0.542,26344819.67
2022-10-31,0.542,0.688,0.522,0.567,44267640.91
2022-11-07,0.567,0.585,0.309,0.495,96514859.02
2022-11-14,0.49501,0.53701,0.39416,0.395,46652463.44
2022-11-21,0.395,0.4642,0.37553,0.43052,24312072.63
2022-11-28,0.43051,0.6099,0.40476,0.48581,73881623.81
2022-12-05,0.48629,0.538,0.44881,0.45746,31717759.04
2022-12-12,0.4578,0.49401,0.37011,0.39228,16126807.05
2022-12-19,0.39252,0.416,0.36878,0.39003,12951555.29
2022-12-26,0.39025,0.4265,0.35831,0.36944,8068074.06
2023-01-02,0.36944,0.39774,0.36591,0.39511,6186249.9
2023-01-09,0.395,0.56642,0.39378,0.50491,34102196.33
2023-01-16,0.50408,0.53758,0.44017,0.50075,22536355.0
2023-01-23,0.50089,0.74,0.49789,0.60088,65430570.55
2023-01-30,0.60073,0.762,0.56666,0.65406,63538784.49
2023-02-06,0.65406,0.71632,0.56604,0.61292,18788841.73
2023-02-13,0.6128,0.84709,0.55808,0.78111,46699282.91
2023-02-20,0.78114,1.32651,0.73882,1.00962,136805487.49
2023-02-27,1.00983,1.23456,0.89305,1.01671,89134627.27
2023-03-06,1.01672,1.13249,0.7282,0.84565,67903116.01
2023-03-13,0.84463,1.01528,0.79775,0.90087,47119138.42
2023-03-20,0.9015,0.978,0.80645,0.87806,35950277.54
2023-03-27,0.87806,0.87843,0.78238,0.80441,14920384.2
