datetime,open,high,low,close,volume
2022-11-14,0.4107,1.5329,0.3676,0.5854,90773712.0
2022-11-21,0.5883,0.845,0.4684,0.6565,68716916.0
2022-11-28,0.6542,0.7648,0.601,0.6989,24518393.0
2022-12-05,0.7008,0.7098,0.6005,0.6299,10894421.0
2022-12-12,0.6292,0.7467,0.465,0.5069,27694587.0
2022-12-19,0.5078,0.54,0.4337,0.4562,11373723.0
2022-12-26,0.4565,0.5194,0.4507,0.5,17949258.0
2023-01-02,0.5001,0.598,0.4901,0.5675,14062872.0
2023-01-09,0.5679,1.19,0.5627,0.9609,134634001.0
2023-01-16,0.9607,1.2777,0.844,1.0557,42457667.0
2023-01-23,1.0556,1.1909,0.951,1.0645,27975131.0
2023-01-30,1.0645,1.4657,0.8678,1.3281,47303087.0
2023-02-06,1.3262,1.5697,1.0304,1.0522,51437704.0
2023-02-13,1.0519,1.4524,0.91,1.2576,67179961.0
2023-02-20,1.2607,1.7,1.1963,1.3616,80885243.0
2023-02-27,1.3595,1.4494,1.1511,1.1886,30748206.0
2023-03-06,1.1885,1.2588,0.845,1.0063,38592142.0
2023-03-13,1.0048,1.354,0.965,1.1987,61736645.0
2023-03-20,1.1991,1.2088,0.9953,1.0706,27822271.0
2023-03-27,1.0708,1.18,0.97,1.1102,20647796.0
2023-04-03,1.1108,1.1581,1.0172,1.069,18864234.0
2023-04-10,1.0688,1.1983,1.039,1.1723,25164308.0
2023-04-17,1.1721,1.1808,0.8618,0.9053,17279085.0
2023-04-24,0.9054,0.9664,0.8556,0.919,18918803.0
2023-05-01,0.9201,0.9326,0.7471,0.7603,13491998.0
2023-05-08,0.7597,0.7702,0.6049,0.6642,19474827.0
2023-05-15,0.6639,1.0026,0.6507,0.7622,152241813.0
2023-05-22,0.7623,0.9254,0.7026,0.8776,83679704.0
2023-05-29,0.8782,0.962,0.8018,0.8546,57248191.0
2023-06-05,0.855,0.8658,0.461,0.6045,51036822.0
2023-06-12,0.6054,0.6474,0.5558,0.6111,33573311.0
2023-06-19,0.6116,0.7507,0.5929,0.7119,27598766.0
2023-06-26,0.7121,0.7798,0.63,0.771,29243148.0
2023-07-03,0.7714,0.7948,0.651,0.6624,25006959.0
2023-07-10,0.6635,0.797,0.6171,0.6506,45319425.0
2023-07-17,0.6503,0.6732,0.6187,0.6327,14839231.0
2023-07-24,0.6328,0.6347,0.5753,0.594,12679528.0
2023-07-31,0.5935,0.6051,0.5504,0.5797,14078990.0
2023-08-07,0.5799,0.6638,0.5508,0.6475,31029407.0
2023-08-14,0.6488,0.698,0.4254,0.5068,54441983.0
2023-08-21,0.5066,0.535,0.4714,0.5313,16811216.0
2023-08-28,0.5314,0.5742,0.4887,0.5653,70135049.0
2023-09-04,0.5653,0.6303,0.5301,0.5553,31639921.0
2023-09-11,0.5556,0.6233,0.5144,0.5524,20321849.0
2023-09-18,0.5523,0.6421,0.5409,0.6102,34877902.0
2023-09-25,0.6092,0.6771,0.5807,0.6714,56537983.0
2023-10-02,0.6718,0.692,0.5731,0.6145,21698802.0
2023-10-09,0.6139,0.6178,0.5481,0.5579,15996874.0
2023-10-16,0.5581,0.593,0.5196,0.5843,24799102.0
2023-10-23,0.5837,0.7629,0.5766,0.7186,38019312.0
2023-10-30,0.7186,0.7402,0.65,0.7101,21980550.0
2023-11-06,0.7102,0.8419,0.6449,0.8107,33296246.0
2023-11-13,0.8096,0.8308,0.6409,0.8146,35906963.0
2023-11-20,0.8152,0.9476,0.6882,0.8565,63103907.0
2023-11-27,0.8572,1.0246,0.7781,0.8131,59327387.0
2023-12-04,0.8122,0.9138,0.7704,0.8534,36357120.0
2023-12-11,0.8539,0.955,0.7211,0.9197,35332552.0
2023-12-18,0.9203,1.7966,0.778,1.2919,144586037.0
2023-12-25,1.2926,1.41,0.981,1.0065,46993492.0
2024-01-01,1.0065,1.135,0.8168,0.8306,35905491.0
2024-01-08,0.8306,0.98,0.752,0.8891,28685429.0
