datetime,open,high,low,close,volume
2021-07-26,100.4,179.9,100.4,175.3,1055606.876
2021-08-02,175.6,191.7,142.8,152.0,820987.047
2021-08-09,152.1,166.8,142.4,165.0,324561.492
2021-08-16,164.9,202.9,149.2,183.2,578794.054
2021-08-23,183.3,213.3,178.3,189.9,349027.466
2021-08-30,189.9,331.8,176.1,319.2,780418.01
2021-09-06,319.2,430.0,279.1,357.3,1987617.275
2021-09-13,357.4,418.2,322.3,347.0,558336.007
2021-09-20,347.4,350.0,255.1,294.0,744069.553
2021-09-27,294.0,344.6,267.2,316.6,310389.06
2021-10-04,316.7,330.1,285.1,294.0,278350.695
2021-10-11,294.6,329.6,264.2,300.8,287847.345
2021-10-18,300.8,307.0,279.0,290.6,222430.725
2021-10-25,290.2,326.0,270.4,283.6,289442.349
2021-11-01,283.2,284.0,236.2,262.3,319502.03
2021-11-08,262.5,315.0,248.1,269.9,459296.613
2021-11-15,269.7,293.8,219.9,226.0,318338.025
2021-11-22,226.2,268.0,193.6,207.6,411899.165
2021-11-29,207.6,217.7,150.8,172.8,496049.59
2021-12-06,173.0,229.5,145.1,198.8,819636.34
2021-12-13,198.5,216.7,165.0,182.1,432298.873
2021-12-20,182.4,209.3,166.8,194.0,279918.935
2021-12-27,194.3,209.0,172.0,187.2,208011.896
2022-01-03,187.0,190.9,156.8,170.5,337061.954
2022-01-10,170.4,177.8,158.0,167.6,253461.505
2022-01-17,167.6,169.6,84.0,109.7,743641.989
2022-01-24,109.5,111.1,86.1,94.7,640271.273
2022-01-31,94.9,147.0,87.6,135.5,1003582.001
2022-02-07,135.5,162.0,121.3,122.0,675356.381
2022-02-14,121.9,134.8,102.0,107.8,487387.503
2022-02-21,107.8,129.4,92.9,105.7,953902.795
2022-02-28,105.7,132.7,102.0,110.3,624630.346
2022-03-07,110.2,126.0,106.7,112.0,411915.565
2022-03-14,111.9,124.9,108.2,118.5,241902.904
2022-03-21,118.5,149.9,115.1,148.7,381367.394
2022-03-28,148.7,154.3,131.6,139.8,340650.961
2022-04-04,139.8,144.2,118.5,120.6,251272.34
2022-04-11,120.7,121.8,110.3,110.9,155998.714
2022-04-18,110.7,117.3,105.1,110.6,203872.999
2022-04-25,110.5,110.8,91.6,97.2,287510.429
2022-05-02,97.3,104.4,80.9,83.3,256657.44
2022-05-09,83.3,85.9,48.6,75.3,966079.103
2022-05-16,75.1,76.9,63.1,69.5,198958.183
2022-05-23,69.7,72.0,60.4,66.4,198673.38
2022-05-30,66.4,73.8,63.6,64.7,188268.803
2022-06-06,64.8,69.4,49.5,49.6,263849.027
2022-06-13,49.7,59.4,40.1,53.8,813083.939
2022-06-20,53.8,66.7,51.4,61.6,421293.598
2022-06-27,61.5,63.2,48.5,55.7,297966.013
2022-07-04,55.9,90.9,55.3,81.1,719910.953
2022-07-11,81.0,112.5,75.0,98.7,979198.518
2022-07-18,98.7,115.0,89.8,97.6,545828.479
2022-07-25,97.7,110.0,78.9,102.4,560844.006
2022-08-01,102.4,129.9,98.5,126.4,396033.116
