datetime,open,high,low,close,volume
2021-10-04,9.701,30.5,9.701,17.175,27796685.0
2021-10-11,17.181,18.0,12.453,13.117,8971719.6
2021-10-18,13.093,14.345,11.31,11.4,2887216.0
2021-10-25,11.4,12.614,9.84,10.44,2735567.0
2021-11-01,10.439,12.556,10.07,11.269,3058461.5
2021-11-08,11.287,17.047,11.112,12.822,13057889.8
2021-11-15,12.822,16.611,12.55,13.207,6447305.8
2021-11-22,13.207,24.07,11.244,14.732,17309564.3
2021-11-29,14.699,15.959,10.028,10.666,6304090.4
2021-12-06,10.705,14.15,10.127,10.796,5162082.5
2021-12-13,10.78,10.832,9.0,9.9,1661947.7
2021-12-20,9.9,12.236,9.328,10.599,3227672.8
2021-12-27,10.599,12.3,10.3,11.159,3815227.9
2022-01-03,11.159,11.689,8.272,8.542,3062624.1
2022-01-10,8.551,8.744,7.65,8.203,2328734.8
2022-01-17,8.204,8.215,4.918,5.218,2678820.5
2022-01-24,5.218,5.52,4.616,5.085,3115648.3
2022-01-31,5.084,6.443,4.975,5.795,3876191.3
2022-02-07,5.79,6.872,5.313,5.446,2845567.9
2022-02-14,5.435,8.256,5.005,7.045,8918039.1
2022-02-21,7.052,7.879,3.985,4.296,10569663.7
2022-02-28,4.295,6.65,4.225,4.884,10566440.9
2022-03-07,4.89,4.904,4.234,4.429,2374347.0
2022-03-14,4.436,5.6,4.203,4.831,5198157.4
2022-03-21,4.833,5.418,4.59,5.318,4539126.0
2022-03-28,5.313,9.657,5.025,6.045,20459022.7
2022-04-04,6.053,6.058,4.85,4.995,5027643.6
2022-04-11,4.994,5.339,4.481,4.58,3155364.3
2022-04-18,4.575,4.938,4.352,4.387,2757918.6
2022-04-25,4.386,4.557,3.639,3.813,2176360.2
2022-05-02,3.813,4.469,3.31,3.332,2971676.9
2022-05-09,3.332,3.38,1.544,2.014,2764696.5
2022-05-16,2.011,2.456,1.875,2.054,3551873.2
2022-05-23,2.052,3.596,1.916,2.178,24331557.1
2022-05-30,2.173,2.565,1.967,2.099,7548205.0
2022-06-06,2.103,2.5,1.705,1.726,9929541.0
2022-06-13,1.723,1.785,1.339,1.526,4224381.9
2022-06-20,1.527,1.98,1.461,1.646,4464794.3
2022-06-27,1.646,2.56,1.539,1.566,9382836.3
2022-07-04,1.564,1.78,1.531,1.721,4413568.3
2022-07-11,1.721,2.317,1.51,1.703,22522334.5
2022-07-18,1.707,2.485,1.706,1.89,14163366.4
2022-07-25,1.886,4.868,1.816,2.59,65855480.3
2022-08-01,2.591,2.79,2.25,2.49,9416307.0
2022-08-08,2.49,2.849,2.472,2.548,7541012.4
2022-08-15,2.54,2.769,2.257,2.383,11570092.1
2022-08-22,2.383,2.49,2.076,2.077,3971364.6
2022-08-29,2.08,2.491,2.042,2.308,7739559.5
2022-09-05,2.308,3.001,2.226,2.638,9998707.1
2022-09-12,2.634,2.65,2.08,2.097,3063461.4
2022-09-19,2.09,2.389,1.889,2.024,5037594.3
2022-09-26,2.025,2.198,1.888,1.99,4234659.1
2022-10-03,1.989,2.413,1.973,2.025,9277977.0
2022-10-10,2.023,2.158,1.74,2.081,4160770.9
2022-10-17,2.083,2.145,1.863,1.999,4977684.8
2022-10-24,1.995,2.187,1.962,2.044,3887922.6
2022-10-31,2.045,2.5,1.962,2.137,10546953.3
2022-11-07,2.138,2.42,1.41,1.534,7911565.9
2022-11-14,1.535,1.675,1.447,1.512,2970126.1
2022-11-21,1.513,1.797,1.412,1.594,4563201.0
2022-11-28,1.596,1.83,1.522,1.68,5261530.8
2022-12-05,1.68,1.833,1.605,1.61,4959737.8
2022-12-12,1.609,2.398,1.349,1.669,18676353.2
2022-12-19,1.669,1.973,1.461,1.683,17618995.6
2022-12-26,1.682,1.736,1.456,1.484,3635335.0
2023-01-02,1.483,1.715,1.467,1.549,5241919.3
2023-01-09,1.549,1.784,1.544,1.714,6229387.2
2023-01-16,1.712,1.838,1.479,1.701,9107891.9
2023-01-23,1.699,1.977,1.659,1.875,10499510.6
2023-01-30,1.873,2.17,1.801,1.911,15335077.5
2023-02-06,1.911,2.199,1.878,1.906,6864840.9
2023-02-13,1.906,2.176,1.766,2.099,6755368.0
2023-02-20,2.103,2.333,1.894,2.024,10475334.8
2023-02-27,2.026,2.063,1.679,1.832,6866725.1
2023-03-06,1.832,1.832,1.377,1.573,3962588.1
2023-03-13,1.573,2.344,1.505,2.013,18801811.1
2023-03-20,2.014,2.197,1.837,2.02,6262118.1
