datetime,open,high,low,close,volume
2021-08-09,3.862,5.88,3.862,5.816,16310638.3
2021-08-16,5.817,8.9,5.8,7.159,37099965.3
2021-08-23,7.162,17.8,6.668,11.499,76268802.0
2021-08-30,11.517,14.5,10.701,12.46,56486365.9
2021-09-06,12.473,16.96,10.0,16.484,60901202.1
2021-09-13,16.486,16.767,11.75,12.0,17986660.5
2021-09-20,12.0,12.079,9.0,9.687,14360060.0
2021-09-27,9.679,11.985,8.91,11.544,11762126.3
2021-10-04,11.544,11.626,9.52,9.568,6484050.3
2021-10-11,9.568,10.595,9.022,9.546,8180477.6
2021-10-18,9.551,11.239,9.251,10.228,9013943.3
2021-10-25,10.23,11.491,8.558,10.605,10241657.8
2021-11-01,10.608,13.443,10.196,12.662,15197456.2
2021-11-08,12.657,12.693,10.062,11.208,7111346.4
2021-11-15,11.206,11.5,9.133,10.283,5252051.7
2021-11-22,10.285,10.546,9.043,9.977,5410433.6
2021-11-29,9.977,11.85,7.919,8.997,11540755.8
2021-12-06,8.997,9.074,7.579,8.004,4941961.2
2021-12-13,8.003,8.031,7.05,7.197,3566687.1
2021-12-20,7.195,8.2,6.819,7.604,3756239.3
2021-12-27,7.605,8.2,6.284,6.881,4329399.7
2022-01-03,6.874,6.973,5.082,5.357,4694772.1
2022-01-10,5.355,5.647,4.946,5.407,3399865.4
2022-01-17,5.408,5.414,3.452,3.753,5783860.1
2022-01-24,3.749,3.963,3.142,3.749,6557378.9
2022-01-31,3.747,4.064,3.491,3.922,5255588.6
2022-02-07,3.922,4.42,3.458,3.488,9351032.0
2022-02-14,3.488,3.859,2.818,2.864,6861704.7
2022-02-21,2.865,2.994,2.344,2.434,8235416.3
2022-02-28,2.434,2.871,2.408,2.494,7869913.2
2022-03-07,2.494,2.618,2.276,2.286,5709184.8
2022-03-14,2.286,2.982,2.268,2.701,15291715.8
2022-03-21,2.701,3.234,2.644,3.181,13165201.1
2022-03-28,3.182,3.826,3.15,3.661,16769427.8
2022-04-04,3.664,3.666,2.872,2.887,7332080.6
2022-04-11,2.886,2.892,2.624,2.635,5064471.2
2022-04-18,2.633,2.828,2.503,2.678,4936883.4
2022-04-25,2.678,2.685,2.0,2.218,6315051.0
2022-05-02,2.219,2.267,1.85,1.86,6246633.5
2022-05-09,1.861,1.89,1.128,1.352,24490145.5
2022-05-16,1.353,1.354,1.043,1.092,10836804.0
2022-05-23,1.091,1.125,0.853,0.952,13238826.9
2022-05-30,0.952,1.081,0.851,0.883,13129187.5
2022-06-06,0.881,0.987,0.711,0.735,16645517.6
2022-06-13,0.735,0.75,0.589,0.7,12213167.9
2022-06-20,0.7,0.791,0.668,0.72,9133094.2
2022-06-27,0.718,0.743,0.617,0.678,6158724.6
2022-07-04,0.678,0.83,0.664,0.77,11723038.5
2022-07-11,0.77,1.0,0.679,0.896,50159764.1
2022-07-18,0.898,0.964,0.817,0.844,17910063.5
2022-07-25,0.843,0.925,0.744,0.858,12571005.3
2022-08-01,0.858,0.913,0.789,0.85,17735648.8
2022-08-08,0.851,0.958,0.816,0.854,20000031.4
2022-08-15,0.854,1.248,0.67,0.712,27249460.0
2022-08-22,0.713,0.744,0.627,0.63,10205348.5
2022-08-29,0.631,0.721,0.625,0.675,13357752.0
2022-09-05,0.677,0.698,0.589,0.676,14317794.8
2022-09-12,0.675,0.728,0.52,0.551,15708197.0
2022-09-19,0.551,0.591,0.53,0.555,11380605.2
2022-09-26,0.555,0.605,0.54,0.552,11310329.6
2022-10-03,0.552,0.598,0.544,0.549,8724892.7
2022-10-10,0.549,0.557,0.468,0.493,6431696.5
2022-10-17,0.492,0.515,0.462,0.497,8483639.6
2022-10-24,0.499,0.55,0.481,0.524,11930775.0
2022-10-31,0.523,0.614,0.478,0.506,26490996.3
2022-11-07,0.506,0.515,0.1846,0.1854,96483632.0
2022-11-14,0.1851,0.2727,0.1629,0.183,144157104.3
2022-11-21,0.1832,0.2961,0.1713,0.2144,203607024.2
2022-11-28,0.2142,0.248,0.1748,0.1982,99619548.9
2022-12-05,0.1984,0.229,0.1804,0.1881,65689802.1
2022-12-12,0.1881,0.2243,0.1474,0.1556,61875209.4
2022-12-19,0.1557,0.1644,0.1391,0.1482,29685339.0
2022-12-26,0.148,0.1717,0.1334,0.1389,45154603.6
2023-01-02,0.1391,0.1767,0.1373,0.1527,77573852.5
2023-01-09,0.1527,0.35,0.151,0.2383,197355853.3
2023-01-16,0.2383,0.2949,0.2058,0.2287,120179145.6
2023-01-23,0.2291,0.2762,0.2144,0.2502,65235955.2
2023-01-30,0.2502,0.2831,0.2187,0.2483,74437686.8
2023-02-06,0.2483,0.3829,0.2399,0.2782,108327978.5
2023-02-13,0.2789,0.3332,0.2571,0.3147,59360814.5
2023-02-20,0.314,0.336,0.2713,0.2867,46372311.0
2023-02-27,0.2869,0.346,0.2752,0.2812,60424865.8
