datetime,open,high,low,close,volume
2021-01-04,0.1936,0.5,0.1429,0.1894,103536181.93
2021-01-11,0.1856,0.26,0.1323,0.1841,78760591.83
2021-01-18,0.1843,0.2095,0.1269,0.1636,29825316.89
2021-01-25,0.1624,0.1815,0.1465,0.1611,21316942.61
2021-02-01,0.161,0.285,0.1555,0.215,123416512.11
2021-02-08,0.2166,0.34,0.2086,0.284,105208171.72
2021-02-15,0.284,0.37,0.2698,0.3121,48831048.53
2021-02-22,0.312,0.3149,0.1829,0.2402,35882021.96
2021-03-01,0.2403,0.2998,0.2364,0.284,26943330.47
2021-03-08,0.2837,0.3588,0.2761,0.3368,36595813.98
2021-03-15,0.3367,0.3646,0.2882,0.3215,39110486.61
2021-03-22,0.3215,0.343,0.2915,0.3281,19272191.62
2021-03-29,0.3283,0.3718,0.3247,0.3532,33660290.44
2021-04-05,0.3535,0.415,0.3184,0.3911,90634300.31
2021-04-12,0.3911,0.46,0.2995,0.329,94276690.37
2021-04-19,0.329,0.3448,0.2524,0.2668,29932482.79
2021-04-26,0.2659,0.3798,0.2656,0.3462,161019612.67
2021-05-03,0.3462,0.3633,0.2949,0.3352,137198317.56
2021-05-10,0.3351,0.358,0.23,0.2452,66520557.93
2021-05-17,0.2459,0.2601,0.1465,0.1886,101829128.82
2021-05-24,0.1894,0.2236,0.1847,0.1949,38525365.01
2021-05-31,0.1946,0.2115,0.1859,0.1899,26347629.54
2021-06-07,0.1897,0.2025,0.162,0.186,96072962.95
2021-06-14,0.186,0.1982,0.1532,0.1588,91988062.57
2021-06-21,0.1587,0.1594,0.124,0.151,78433627.32
2021-06-28,0.1513,0.1689,0.1478,0.1608,27056197.0
2021-07-05,0.1604,0.176,0.154,0.1643,32577386.83
2021-07-12,0.1643,0.1681,0.1525,0.1547,32534612.2
2021-07-19,0.1545,0.1734,0.1444,0.1715,32507699.96
2021-07-26,0.1712,0.2011,0.1703,0.1909,51273584.6
2021-08-02,0.1903,0.2212,0.1804,0.2128,75650123.08
2021-08-09,0.2134,0.2412,0.207,0.2373,56911650.26
2021-08-16,0.2378,0.2548,0.2217,0.2501,55135444.37
2021-08-23,0.25,0.2574,0.2348,0.2467,29412716.8
2021-08-30,0.2484,0.2729,0.2393,0.2697,31597782.8
2021-09-06,0.2698,0.2721,0.222,0.233,33000038.46
2021-09-13,0.2329,0.2552,0.2107,0.2433,38534139.99
2021-09-20,0.2436,0.2467,0.1929,0.2051,35563813.0
2021-09-27,0.205,0.233,0.1947,0.2237,27448851.0
2021-10-04,0.2235,0.2685,0.2166,0.2547,35678043.0
2021-10-11,0.2543,0.3,0.2491,0.2824,66659596.38
2021-10-18,0.2817,0.3042,0.2585,0.2689,43383497.0
2021-10-25,0.2703,0.2777,0.2534,0.2683,17162474.0
2021-11-01,0.2682,0.2769,0.2576,0.2735,22669454.0
2021-11-08,0.2735,0.3077,0.2733,0.2883,30759828.94
2021-11-15,0.2883,0.29,0.2382,0.2629,28091896.0
2021-11-22,0.2625,0.269,0.2317,0.2448,23386538.0
2021-11-29,0.2448,0.264,0.1921,0.2133,35729267.0
2021-12-06,0.2133,0.2279,0.2002,0.2157,23754205.0
2021-12-13,0.2157,0.2204,0.1929,0.2012,27650870.0
2021-12-20,0.2012,0.2327,0.1973,0.219,21033508.0
2021-12-27,0.219,0.2249,0.1942,0.2055,14273330.0
2022-01-03,0.2042,0.2117,0.1702,0.1759,14235486.92
2022-01-10,0.1755,0.1862,0.169,0.1804,10531636.0
2022-01-17,0.18,0.1839,0.1359,0.1477,13924232.51
2022-01-24,0.1474,0.1474,0.1105,0.1251,40541814.54
2022-01-31,0.1252,0.1924,0.1237,0.154,142112866.0
2022-02-07,0.154,0.1729,0.1517,0.1611,21362655.0
2022-02-14,0.1606,0.176,0.1333,0.1362,24055039.0
2022-02-21,0.1365,0.1551,0.1192,0.1447,13699438.0
2022-02-28,0.1444,0.1646,0.1418,0.1441,12677108.0
2022-03-07,0.1443,0.1663,0.1393,0.1446,9158153.0
2022-03-14,0.1443,0.1559,0.1423,0.1522,13048932.0
2022-03-21,0.152,0.1657,0.1514,0.1655,10536694.0
2022-03-28,0.1655,0.1792,0.152,0.1674,25714841.0
2022-04-04,0.1674,0.1721,0.1511,0.1515,9818424.0
2022-04-11,0.1515,0.1518,0.1362,0.1364,8116696.0
2022-04-18,0.1364,0.1415,0.1333,0.1333,8168003.0
2022-04-25,0.1335,0.1362,0.1286,0.1291,9000860.0
2022-05-02,0.1292,0.1298,0.1136,0.1142,10061274.0
2022-05-09,0.1141,0.1146,0.0853,0.0907,42223340.2
2022-05-16,0.0907,0.0916,0.0874,0.0891,17838140.0
2022-05-23,0.0889,0.0897,0.0855,0.087,21410777.0
2022-05-30,0.0871,0.0911,0.0856,0.088,26320848.0
2022-06-06,0.088,0.094,0.0788,0.0788,23123531.0
2022-06-13,0.0788,0.0789,0.0497,0.0547,51622399.0
2022-06-20,0.0548,0.0563,0.0522,0.0542,27472171.0
2022-06-27,0.0542,0.055,0.0486,0.0487,20833896.0
2022-07-04,0.0487,0.0546,0.0485,0.0518,20290882.0
2022-07-11,0.0517,0.0551,0.0475,0.054,34802649.0
2022-07-18,0.0542,0.1599,0.0535,0.0722,1053464402.0
2022-07-25,0.0724,0.1112,0.0613,0.0678,473108931.0
2022-08-01,0.0678,0.0957,0.0661,0.0794,383326463.0
2022-08-08,0.0795,0.094,0.0786,0.0809,174279970.0
2022-08-15,0.0807,0.087,0.0657,0.0675,98770875.0
2022-08-22,0.0675,0.0759,0.0595,0.0604,95499321.0
2022-08-29,0.0605,0.0757,0.0591,0.0625,124611367.0
2022-09-05,0.0627,0.0674,0.059,0.0662,63134500.0
2022-09-12,0.0663,0.0674,0.0564,0.0565,43325176.0
2022-09-19,0.0564,0.0606,0.0538,0.055,51453903.0
2022-09-26,0.055,0.0613,0.0548,0.0562,50868435.0
2022-10-03,0.0561,0.0627,0.0561,0.057,37931973.0
2022-10-10,0.057,0.094,0.0509,0.0565,243392175.0
2022-10-17,0.0565,0.0568,0.0492,0.0525,92265286.0
2022-10-24,0.0527,0.0573,0.0515,0.0546,40134724.0
2022-10-31,0.0548,0.0578,0.0524,0.0544,52050370.0
2022-11-07,0.0543,0.0549,0.0358,0.0384,42510190.0
2022-11-14,0.0384,0.0498,0.037,0.0377,93195878.0
2022-11-21,0.0378,0.0436,0.036,0.0398,67723539.0
2022-11-28,0.0398,0.21,0.0389,0.0559,735101625.0
2022-12-05,0.0559,0.0697,0.0516,0.0529,216287480.0
2022-12-12,0.0527,0.0561,0.0435,0.0475,107622835.0
2022-12-19,0.0475,0.0486,0.0418,0.0435,47390196.0
2022-12-26,0.0435,0.0468,0.0404,0.0411,49297292.0
2023-01-02,0.0412,0.0481,0.0409,0.0457,71498532.0
2023-01-09,0.0456,0.0558,0.0442,0.0515,117508539.0
2023-01-16,0.0513,0.0614,0.0468,0.0542,101824286.0
2023-01-23,0.0542,0.0677,0.054,0.0599,208177290.0
2023-01-30,0.0599,0.0637,0.0546,0.0619,90548367.0
2023-02-06,0.0617,0.0697,0.0554,0.0576,85136984.0
2023-02-13,0.0576,0.07,0.0532,0.0666,139876175.0
2023-02-20,0.0665,0.1874,0.0663,0.1325,1517899763.0
2023-02-27,0.1325,0.222,0.1289,0.1728,889111117.0
2023-03-06,0.1728,0.1736,0.0869,0.1147,485349511.0
2023-03-13,0.1148,0.2107,0.107,0.1833,971295254.0
2023-03-20,0.1833,0.189,0.1247,0.1527,406061566.0
2023-03-27,0.1528,0.1619,0.1301,0.1356,267776707.0
2023-04-03,0.1356,0.1453,0.1168,0.1283,135826957.0
2023-04-10,0.1284,0.1585,0.1187,0.1331,320366830.0
2023-04-17,0.1331,0.1385,0.1058,0.1128,208194886.0
2023-04-24,0.1128,0.144,0.1104,0.1242,285455680.0
2023-05-01,0.1241,0.1797,0.1133,0.1491,642845352.0
2023-05-08,0.1493,0.1768,0.1192,0.144,652978997.0
2023-05-15,0.144,0.1445,0.1259,0.1309,172947520.0
2023-05-22,0.131,0.1358,0.1188,0.127,107677532.0
2023-05-29,0.127,0.1309,0.1143,0.1152,83776645.0
2023-06-05,0.115,0.1176,0.08,0.0827,141896017.0
2023-06-12,0.0826,0.0935,0.079,0.0856,113862827.0
2023-06-19,0.0855,0.12,0.0847,0.1025,204848855.0
2023-06-26,0.1025,0.1029,0.0903,0.095,78098984.0
2023-07-03,0.095,0.105,0.0857,0.088,131634867.0
2023-07-10,0.088,0.0954,0.0857,0.0884,74120944.0
2023-07-17,0.0883,0.0932,0.0803,0.0831,47680562.0
2023-07-24,0.0832,0.086,0.0763,0.0819,53715187.0
2023-07-31,0.082,0.089,0.0757,0.0766,77297367.0
2023-08-07,0.0767,0.0831,0.0735,0.0769,40932109.0
2023-08-14,0.0767,0.0785,0.0627,0.0669,26176107.0
2023-08-21,0.067,0.0816,0.0643,0.0725,241305469.0
2023-08-28,0.0727,0.084,0.0695,0.0714,88120134.0
2023-09-04,0.0714,0.0748,0.069,0.0709,47057381.0
2023-09-11,0.0708,0.0728,0.0655,0.0662,48389915.0
2023-09-18,0.0661,0.0726,0.0651,0.0667,42425974.0
2023-09-25,0.0666,0.0722,0.0655,0.0712,29489154.0
2023-10-02,0.0712,0.0742,0.0666,0.0681,46164443.0
2023-10-09,0.0681,0.0743,0.0622,0.0697,72261219.0
2023-10-16,0.0697,0.1318,0.0689,0.1109,1069067665.0
2023-10-23,0.1107,0.1491,0.1003,0.1177,740879637.0
2023-10-30,0.1178,0.144,0.1022,0.1142,582429405.0
2023-11-06,0.1144,0.1335,0.1043,0.1093,694304980.0
2023-11-13,0.1093,0.1131,0.0937,0.1017,254569230.0
2023-11-20,0.1017,0.1088,0.0908,0.107,146794068.0
2023-11-27,0.1071,0.1177,0.0988,0.1143,314501270.0
2023-12-04,0.1142,0.1713,0.1102,0.1355,564588970.0
2023-12-11,0.1355,0.1365,0.1125,0.1223,210774999.0
2023-12-18,0.1223,0.154,0.1142,0.1399,275954797.0
2023-12-25,0.1401,0.1619,0.1246,0.1275,197480913.0
2024-01-01,0.1276,0.1388,0.1011,0.1257,208088649.0
2024-01-08,0.1257,0.1977,0.1122,0.1415,698690587.0
