datetime,open,high,low,close,volume
2020-08-31,0.7063,1.3,0.5502,0.781,11097005.07
2020-09-07,0.7777,0.8252,0.6222,0.7064,20142944.51
2020-09-14,0.7082,0.7138,0.435,0.4515,30885305.39
2020-09-21,0.453,0.6365,0.3224,0.6316,40696873.19
2020-09-28,0.6314,0.6363,0.404,0.4543,31392942.42
2020-10-05,0.4543,0.5812,0.35,0.5384,36683352.81
2020-10-12,0.5387,0.63,0.4891,0.5701,36442722.59
2020-10-19,0.5708,0.5891,0.4589,0.4659,16336569.1
2020-10-26,0.4662,0.505,0.3664,0.3953,22108800.88
2020-11-02,0.3954,0.5884,0.3475,0.5805,31273742.12
2020-11-09,0.5803,0.9867,0.547,0.8835,60903187.09
2020-11-16,0.8831,1.05,0.7574,0.8485,65850584.74
2020-11-23,0.8499,1.0181,0.632,0.83,43448747.07
2020-11-30,0.8307,1.139,0.8118,0.9815,41974580.37
2020-12-07,0.9857,1.0167,0.761,0.8989,35030951.59
2020-12-14,0.8997,1.12,0.865,0.9784,32409642.84
2020-12-21,0.9788,1.0172,0.8104,0.8973,34532100.78
2020-12-28,0.8973,1.52,0.8859,1.4839,54170617.93
2021-01-04,1.4886,1.6608,1.168,1.4594,47016556.88
2021-01-11,1.4593,2.181,1.12,1.9533,52682627.39
2021-01-18,1.9584,2.64,1.5539,2.5963,39856756.86
2021-01-25,2.5986,4.0386,2.1751,3.611,46637507.55
2021-02-01,3.6112,4.329,3.0164,3.79,44330424.89
2021-02-08,3.7904,5.0144,3.5233,3.9642,41173638.94
2021-02-15,3.9677,5.77,3.3388,4.7749,44036924.1
2021-02-22,4.7768,5.7,3.05,4.35,49779230.75
2021-03-01,4.358,6.2,4.3461,5.6946,27274974.72
2021-03-08,5.6904,6.766,5.35,5.55,20582985.64
2021-03-15,5.5535,6.04,5.2158,5.6301,15075054.38
2021-03-22,5.6338,6.4999,4.5,6.1585,21277867.59
2021-03-29,6.157,10.42,6.1204,10.3575,30052025.26
2021-04-05,10.3428,13.0,8.8432,11.0052,31085710.76
2021-04-12,11.0062,17.0611,10.4496,16.6083,45309974.65
2021-04-19,16.5629,16.8588,10.644,11.512,40194534.827
2021-04-26,11.524,16.1661,11.327,14.543,26620939.891
2021-05-03,14.543,19.3,14.531,17.905,30477590.772
2021-05-10,17.916,20.95,15.726,19.45,30528076.932
2021-05-17,19.451,21.28,6.0,7.77,93570756.503
2021-05-24,7.776,14.878,7.676,11.036,82794001.181
2021-05-31,11.017,13.722,10.186,10.813,38746402.72
2021-06-07,10.797,11.258,6.6,8.328,56552879.818
2021-06-14,8.336,10.5,6.88,8.354,52582343.91
2021-06-21,8.358,8.474,4.48,6.101,95626366.217
2021-06-28,6.107,7.16,5.554,6.25,53012091.066
2021-07-05,6.245,7.698,5.787,6.288,49523973.383
2021-07-12,6.29,6.7,3.961,4.095,52169862.318
2021-07-19,4.098,4.82,3.01,3.507,143430269.492
2021-07-26,3.505,6.765,3.492,5.98,158598171.07
2021-08-02,5.982,8.4,5.77,6.697,95237811.558
2021-08-09,6.701,8.779,6.4,8.416,77111147.378
2021-08-16,8.416,11.73,7.808,10.58,75076775.895
2021-08-23,10.584,12.479,9.199,9.898,54485024.421
2021-08-30,9.896,10.964,9.215,10.358,37852715.394
2021-09-06,10.354,12.086,7.5,9.102,51598213.576
2021-09-13,9.105,11.293,7.785,9.106,33645797.8
2021-09-20,9.106,9.255,6.467,7.232,45814266.207
2021-09-27,7.221,9.064,6.351,8.741,31583878.479
2021-10-04,8.741,9.287,7.44,7.495,26419196.4
2021-10-11,7.497,8.496,6.845,7.757,20773654.2
2021-10-18,7.759,12.48,7.092,12.418,46625337.016
2021-10-25,12.425,15.0,11.064,14.85,37304031.816
2021-11-01,14.839,17.27,13.258,14.036,29132525.927
2021-11-08,14.036,14.221,11.712,12.637,24874780.1
2021-11-15,12.639,13.3,9.235,10.847,26164217.8
2021-11-22,10.86,13.525,9.904,11.173,30753639.0
2021-11-29,11.182,11.649,6.16,7.84,29244535.814
2021-12-06,7.84,8.375,6.387,7.117,27528285.0
2021-12-13,7.111,7.238,5.764,6.168,20465971.711
2021-12-20,6.167,8.179,5.844,7.771,23037556.6
2021-12-27,7.781,8.876,6.628,7.385,21124312.4
2022-01-03,7.382,8.286,5.781,6.21,30163394.5
2022-01-10,6.209,7.127,5.466,6.296,23384584.015
2022-01-17,6.29,6.318,3.544,3.931,36981612.836
2022-01-24,3.926,4.6,3.257,4.016,29917275.174
2022-01-31,4.016,5.069,3.693,4.869,25687033.3
2022-02-07,4.868,5.223,3.869,3.917,24413954.8
2022-02-14,3.917,4.67,3.721,3.804,18187424.6
2022-02-21,3.811,3.999,3.015,3.479,23889111.145
2022-02-28,3.48,6.059,3.387,4.695,87589608.2
2022-03-07,4.692,6.75,4.015,6.367,102272507.9
2022-03-14,6.365,9.59,6.273,8.601,114316177.1
2022-03-21,8.603,10.964,7.902,10.402,64854065.4
2022-03-28,10.402,13.203,9.925,11.211,66418104.8
2022-04-04,11.212,11.98,8.556,8.893,54217744.5
2022-04-11,8.89,9.38,7.41,7.613,49910730.1
2022-04-18,7.618,9.891,7.18,7.815,58798008.5
2022-04-25,7.814,8.663,5.831,6.408,62636615.3
2022-05-02,6.402,7.777,5.633,5.761,60866966.2
2022-05-09,5.762,5.898,2.467,3.779,136624883.232
2022-05-16,3.779,3.779,2.782,3.097,57940757.9
2022-05-23,3.097,3.399,2.364,2.697,89357191.8
2022-05-30,2.696,3.5,2.657,2.823,81160577.8
2022-06-06,2.823,3.295,2.202,2.219,54103631.057
2022-06-13,2.22,2.244,1.433,1.781,106186239.18
2022-06-20,1.781,2.453,1.686,2.155,125414650.6
2022-06-27,2.155,2.235,1.728,1.953,161716421.8
2022-07-04,1.953,2.528,1.937,2.272,169815491.8
2022-07-11,2.271,2.351,1.86,2.159,108486936.8
2022-07-18,2.159,3.048,2.155,2.632,156524361.4
2022-07-25,2.632,2.982,2.208,2.599,118840852.2
2022-08-01,2.598,2.846,2.439,2.778,84313512.8
2022-08-08,2.778,3.149,2.606,2.8,114313513.8
2022-08-15,2.801,2.953,2.024,2.171,90488556.4
2022-08-22,2.171,2.283,1.84,1.844,74546658.9
2022-08-29,1.844,1.992,1.828,1.943,47384949.0
2022-09-05,1.943,2.058,1.724,2.009,54390342.3
2022-09-12,2.008,2.09,1.61,1.644,66385882.7
2022-09-19,1.645,1.768,1.53,1.587,52804100.4
2022-09-26,1.588,1.68,1.492,1.5,33811813.5
2022-10-03,1.5,1.695,1.476,1.605,25719029.0
2022-10-10,1.605,1.649,1.368,1.478,26412847.7
2022-10-17,1.478,1.559,1.373,1.484,25092063.9
2022-10-24,1.484,1.624,1.427,1.555,40379367.8
2022-10-31,1.556,1.73,1.449,1.608,47639684.0
2022-11-07,1.608,1.686,1.003,1.131,79812025.9
2022-11-14,1.131,1.326,1.071,1.153,33016651.3
2022-11-21,1.153,1.228,1.054,1.181,22463735.4
2022-11-28,1.182,1.407,1.132,1.377,29190085.9
2022-12-05,1.377,1.439,1.324,1.379,20882256.1
2022-12-12,1.379,1.497,1.275,1.32,30885501.3
2022-12-19,1.32,1.419,1.288,1.385,17555126.2
2022-12-26,1.386,1.398,1.25,1.287,11584203.9
2023-01-02,1.288,1.428,1.275,1.42,14343490.0
2023-01-09,1.419,1.82,1.403,1.75,40428282.3
2023-01-16,1.75,1.85,1.586,1.755,31811394.3
2023-01-23,1.756,1.942,1.638,1.911,44813449.3
2023-01-30,1.911,1.97,1.687,1.777,42256599.8
2023-02-06,1.776,1.972,1.624,1.684,38357788.3
2023-02-13,1.683,1.836,1.592,1.735,37002911.2
2023-02-20,1.736,1.855,1.556,1.651,29976585.7
2023-02-27,1.65,1.697,1.438,1.48,26906818.0
2023-03-06,1.479,1.517,1.162,1.331,34328566.1
2023-03-13,1.331,1.536,1.292,1.451,52056231.9
2023-03-20,1.452,1.465,1.332,1.402,31147843.2
2023-03-27,1.402,1.49,1.292,1.435,29040811.0
2023-04-03,1.437,1.662,1.397,1.588,39732264.4
2023-04-10,1.589,1.696,1.574,1.682,29534533.8
2023-04-17,1.682,1.711,1.338,1.375,31613692.8
2023-04-24,1.375,1.457,1.294,1.343,32815349.4
2023-05-01,1.342,1.358,1.275,1.28,18860975.9
2023-05-08,1.281,1.29,1.137,1.181,21861292.6
2023-05-15,1.181,1.217,1.106,1.112,21628874.8
2023-05-22,1.113,1.175,1.069,1.168,22713203.1
2023-05-29,1.169,1.188,1.105,1.174,19504655.1
2023-06-05,1.175,1.175,0.912,0.919,30295260.7
2023-06-12,0.92,0.92,0.777,0.832,36267968.5
2023-06-19,0.832,1.041,0.823,1.005,30959446.9
2023-06-26,1.006,1.08,0.926,1.071,34431810.3
2023-07-03,1.071,1.109,0.984,0.998,24161320.5
2023-07-10,0.998,1.086,0.969,1.014,25804033.6
2023-07-17,1.013,1.033,0.972,0.992,23959594.8
2023-07-24,0.992,0.995,0.905,0.927,13482993.5
2023-07-31,0.928,0.961,0.91,0.934,13731910.5
2023-08-07,0.934,1.455,0.931,1.382,101850767.8
2023-08-14,1.382,2.029,1.349,1.773,221109871.7
2023-08-21,1.772,1.79,1.373,1.469,124261403.6
2023-08-28,1.47,1.734,1.408,1.461,79854898.0
2023-09-04,1.46,1.632,1.426,1.541,40603788.9
2023-09-11,1.541,1.956,1.443,1.836,71939847.4
2023-09-18,1.836,1.986,1.656,1.671,54416548.6
2023-09-25,1.672,2.267,1.651,2.149,63398469.0
2023-10-02,2.149,2.22,1.681,1.734,147694812.2
2023-10-09,1.733,1.734,1.468,1.657,60754741.0
2023-10-16,1.657,1.84,1.5,1.83,66868471.2
2023-10-23,1.831,2.568,1.817,2.436,105609093.5
2023-10-30,2.436,3.547,2.425,3.35,124250170.2
2023-11-06,3.349,5.385,3.158,5.135,153280650.7
2023-11-13,5.135,6.679,4.55,5.56,163751457.9
2023-11-20,5.56,6.09,4.86,5.257,118420381.3
2023-11-27,5.256,7.285,5.17,6.97,127490573.4
2023-12-04,6.97,7.3,6.071,6.596,105213708.8
2023-12-11,6.595,6.632,5.354,5.498,86356445.9
2023-12-18,5.498,6.488,5.053,6.052,93465111.1
2023-12-25,6.053,6.304,5.0,5.162,94904254.9
2024-01-01,5.162,6.164,4.4,4.568,105886493.0
2024-01-08,4.57,5.498,4.272,4.443,123022425.2
