datetime,open,high,low,close,volume
2023-05-15,0.02496,0.035,0.02372,0.02394,53062242.0
2023-05-22,0.02389,0.02444,0.02244,0.02393,30740481.0
2023-05-29,0.02393,0.02453,0.023,0.02379,36452741.0
2023-06-05,0.02382,0.02383,0.01963,0.02026,36677641.0
2023-06-12,0.02027,0.02091,0.01938,0.02006,30263408.0
2023-06-19,0.02007,0.02499,0.01988,0.02305,61942720.0
2023-06-26,0.02305,0.02956,0.02226,0.02396,315526265.0
2023-07-03,0.02396,0.02797,0.02318,0.0237,124982376.0
2023-07-10,0.02373,0.03232,0.02268,0.02586,385866321.0
2023-07-17,0.02587,0.02974,0.02492,0.02588,195934182.0
2023-07-24,0.02584,0.02696,0.02435,0.02556,69679236.0
2023-07-31,0.02558,0.02587,0.02465,0.02525,52067302.0
2023-08-07,0.02526,0.02617,0.02471,0.02513,53661851.0
2023-08-14,0.02511,0.0267,0.02016,0.02318,283423024.0
2023-08-21,0.0232,0.02345,0.02123,0.02195,117862230.0
2023-08-28,0.02194,0.0227,0.02082,0.02135,92458055.0
2023-09-04,0.02134,0.02249,0.02115,0.02187,41660653.0
2023-09-11,0.02186,0.02309,0.02091,0.02195,71428236.0
2023-09-18,0.02199,0.02351,0.02171,0.02242,39257573.0
2023-09-25,0.02237,0.02548,0.02212,0.02438,94541653.0
2023-10-02,0.02439,0.02488,0.02294,0.02411,55270546.0
2023-10-09,0.02411,0.02547,0.0226,0.02503,63811130.0
2023-10-16,0.02503,0.02851,0.02404,0.02633,296497103.0
2023-10-23,0.02633,0.03328,0.02582,0.0293,381632830.0
2023-10-30,0.02929,0.067,0.02792,0.05336,3739858550.0
2023-11-06,0.05344,0.05593,0.04035,0.04513,1233894652.0
2023-11-13,0.04512,0.05056,0.03904,0.04184,534293714.0
2023-11-20,0.04185,0.04423,0.03721,0.04251,450293093.0
2023-11-27,0.04253,0.045,0.03908,0.04315,319967361.0
2023-12-04,0.04316,0.05551,0.04166,0.04611,717184047.0
2023-12-11,0.04611,0.04651,0.03894,0.04163,288657789.0
2023-12-18,0.04165,0.04481,0.03823,0.0429,221192540.0
2023-12-25,0.04291,0.04879,0.04132,0.04502,501273550.0
2024-01-01,0.04502,0.04688,0.03372,0.03803,413970485.0
2024-01-08,0.03803,0.04361,0.0349,0.03896,388568709.0
