datetime,open,high,low,close,volume
2020-08-10,0.11,5.0,0.11,1.73,198521504.21
2020-08-17,1.7313,1.7998,1.41,1.5307,29338818.4
2020-08-24,1.5307,2.9716,1.5028,2.8882,100467338.76
2020-08-31,2.8848,3.7948,1.9566,2.6024,92389273.5
2020-09-07,2.6002,2.7069,2.03,2.38,56929784.62
2020-09-14,2.38,2.5482,1.7505,1.8839,50024184.81
2020-09-21,1.8863,2.048,1.6174,1.8831,35148070.3
2020-09-28,1.8836,1.9194,1.52,1.5864,18912259.59
2020-10-05,1.5893,1.6377,1.0882,1.2862,33779964.72
2020-10-12,1.2896,1.74,1.2427,1.2941,23533308.9
2020-10-19,1.2951,1.2994,1.0325,1.0938,14860256.23
2020-10-26,1.0932,1.2471,0.9287,0.9839,31765601.41
2020-11-02,0.9843,1.2015,0.7913,1.1141,20885586.74
2020-11-09,1.1133,1.2317,1.001,1.186,23159989.84
2020-11-16,1.1884,1.3579,1.0742,1.1872,35500780.48
2020-11-23,1.1871,1.361,0.92,1.0313,30417069.16
2020-11-30,1.0313,1.35,1.0082,1.1512,32422686.71
2020-12-07,1.1527,1.233,0.9768,1.0709,18183788.65
2020-12-14,1.0692,1.2589,1.0325,1.1362,23600555.5
2020-12-21,1.1355,1.1893,0.8751,1.0006,20110357.66
2020-12-28,1.001,1.205,0.9804,1.1813,25290298.33
2021-01-04,1.1813,1.928,1.0161,1.6185,97286042.86
2021-01-11,1.6175,1.9767,1.2053,1.8192,61456456.14
2021-01-18,1.8174,2.047,1.42,1.9742,40865438.33
2021-01-25,1.9742,2.4908,1.7947,2.484,59839393.74
2021-02-01,2.4843,3.5449,2.2499,2.8819,57512891.01
2021-02-08,2.8768,4.5354,2.7793,3.8249,58340733.09
2021-02-15,3.8249,5.3344,3.25,4.8197,53698447.7
2021-02-22,4.8213,8.1471,3.95,4.9813,117250747.55
2021-03-01,4.9752,6.51,4.5269,6.0064,54038125.73
2021-03-08,6.0064,6.7455,5.22,6.1947,34412453.75
2021-03-15,6.1896,6.4177,4.8569,5.0283,27952277.64
2021-03-22,5.0336,5.59,3.8672,4.9194,28258144.05
2021-03-29,4.9194,6.73,4.803,6.5381,33115350.02
2021-04-05,6.5381,8.1,5.3674,8.0748,47507810.9
2021-04-12,8.0943,8.2,5.0,6.241,36831998.47
2021-04-19,6.239,7.6,5.0205,7.4671,75707596.39
2021-04-26,7.473,11.4731,7.2092,10.6992,108743922.04
2021-05-03,10.706,12.98,9.5703,10.2939,43589110.53
2021-05-10,10.2912,10.6072,7.5502,9.71,39888691.56
2021-05-17,9.71,10.9552,3.0334,3.821,77314624.1
2021-05-24,3.82,5.5597,3.6399,4.3128,38662728.32
2021-05-31,4.2999,5.3714,4.056,4.8008,21914964.11
2021-06-07,4.8032,5.27,3.4806,3.9669,24351156.32
2021-06-14,3.9671,4.55,3.4461,3.7595,15205730.75
2021-06-21,3.7616,3.7802,2.3934,2.8609,19303050.41
2021-06-28,2.8656,3.5886,2.7972,3.4623,15244131.78
2021-07-05,3.4582,3.9179,3.0507,3.2065,18285606.18
2021-07-12,3.2095,3.3206,2.6178,2.9068,16037075.01
2021-07-19,2.9057,3.0786,2.3844,2.9736,19539194.87
2021-07-26,2.9731,4.2972,2.9464,3.7653,34679780.35
2021-08-02,3.7672,4.756,3.6932,4.2536,23236801.0
2021-08-09,4.2552,6.2,4.0274,6.176,29998364.12
2021-08-16,6.176,8.62,5.8011,7.4974,90295671.27
2021-08-23,7.497,8.8,6.14,7.871,63508800.08
2021-08-30,7.875,10.15,7.752,8.727,79033126.9
2021-09-06,8.727,13.732,6.98,12.485,178545981.2
2021-09-13,12.487,12.747,9.397,9.885,71126524.6
2021-09-20,9.89,9.939,6.796,7.613,62703031.4
2021-09-27,7.608,9.415,6.805,8.998,47543699.0
2021-10-04,8.999,9.111,7.401,7.458,35194657.6
2021-10-11,7.455,8.173,6.891,7.175,24274574.5
2021-10-18,7.174,8.194,6.915,7.475,40344023.5
2021-10-25,7.472,8.01,6.432,7.245,32684212.0
2021-11-01,7.248,8.92,6.935,7.719,45623809.8
2021-11-08,7.72,7.97,6.677,7.03,23137581.8
2021-11-15,7.029,7.154,5.49,6.163,22924515.17
2021-11-22,6.166,6.191,4.775,5.2,20661754.34
2021-11-29,5.198,6.226,3.917,4.042,32879615.34
2021-12-06,4.046,4.385,3.446,3.799,24511291.3
2021-12-13,3.799,3.88,3.251,3.384,22557648.4
2021-12-20,3.383,4.205,3.201,4.036,23760238.1
2021-12-27,4.037,4.283,3.314,3.804,22062355.3
2022-01-03,3.8,3.926,2.881,3.029,29602199.03
2022-01-10,3.031,3.295,2.777,3.174,14229444.6
2022-01-17,3.176,3.182,1.99,2.262,22285445.91
2022-01-24,2.261,2.366,1.922,2.306,20215861.6
2022-01-31,2.305,2.609,2.159,2.561,21116881.6
2022-02-07,2.56,2.759,2.202,2.253,25630472.5
2022-02-14,2.253,2.481,2.02,2.061,16227432.0
2022-02-21,2.061,2.147,1.652,1.904,28186793.68
2022-02-28,1.904,2.146,1.802,1.828,19643091.7
2022-03-07,1.829,1.947,1.739,1.764,14022717.1
2022-03-14,1.764,2.999,1.744,2.593,63862742.3
2022-03-21,2.594,3.293,2.391,3.102,82600052.8
2022-03-28,3.103,3.708,3.031,3.293,66982773.9
2022-04-04,3.292,3.292,2.484,2.55,32993992.4
2022-04-11,2.55,2.582,2.219,2.36,28470121.0
2022-04-18,2.361,2.657,2.225,2.308,26366721.3
2022-04-25,2.308,2.312,1.764,1.91,22344277.9
2022-05-02,1.909,2.052,1.66,1.688,25639798.3
2022-05-09,1.689,1.714,0.971,1.362,47844765.14
2022-05-16,1.363,1.363,1.069,1.163,20003395.1
2022-05-23,1.163,1.226,0.995,1.039,21829553.3
2022-05-30,1.039,1.187,0.994,1.039,27800306.9
2022-06-06,1.038,1.127,0.865,0.964,53992435.1
2022-06-13,0.964,0.982,0.738,0.859,55197918.3
2022-06-20,0.859,1.045,0.812,0.923,34190977.6
2022-06-27,0.923,1.009,0.735,0.771,41565483.2
2022-07-04,0.771,1.044,0.724,0.981,103475215.6
2022-07-11,0.982,1.167,0.921,1.033,68017028.8
2022-07-18,1.033,1.173,0.957,0.986,35555865.3
2022-07-25,0.986,1.063,0.849,0.993,29218169.4
2022-08-01,0.99,1.155,0.923,1.008,36408266.2
2022-08-08,1.008,1.119,0.943,1.041,23878313.5
2022-08-15,1.041,1.104,0.804,0.844,17430550.1
2022-08-22,0.844,0.868,0.749,0.753,14779567.1
2022-08-29,0.753,0.828,0.746,0.82,9799386.8
2022-09-05,0.819,0.881,0.727,0.859,13675374.1
2022-09-12,0.859,0.922,0.739,0.748,18590704.1
2022-09-19,0.748,0.807,0.719,0.745,16132507.4
2022-09-26,0.745,0.803,0.729,0.74,11634419.3
2022-10-03,0.741,0.8,0.733,0.784,10499499.0
2022-10-10,0.784,0.793,0.688,0.721,12670673.6
2022-10-17,0.72,0.762,0.676,0.719,13181814.4
2022-10-24,0.72,0.838,0.704,0.782,22834366.2
2022-10-31,0.782,0.878,0.723,0.76,31638288.3
2022-11-07,0.759,0.769,0.12163,0.13358,243060639.2
2022-11-14,0.13345,0.41896,0.118,0.25854,629997375.1
2022-11-21,0.2585,0.36682,0.22108,0.25636,218215411.4
