datetime,open,high,low,close,volume
2023-02-20,36.46,98.0,35.9,44.82,1184121.454
2023-02-27,44.82,49.9,35.01,38.72,4803587.373
2023-03-06,38.73,41.96,28.4,35.62,4780418.358
2023-03-13,35.62,43.0,34.55,39.34,5373781.038
2023-03-20,39.35,39.84,33.33,37.79,3051742.972
2023-03-27,37.79,39.38,34.42,36.55,3646647.177
2023-04-03,36.57,40.88,34.41,35.19,2394882.71
2023-04-10,35.19,36.98,32.73,34.53,2501954.595
2023-04-17,34.54,35.92,24.42,26.48,3034427.41
2023-04-24,26.48,29.19,25.55,26.02,2065941.4
2023-05-01,26.08,28.59,20.49,20.62,3430691.071
2023-05-08,20.62,21.59,18.08,20.57,4379773.509
2023-05-15,20.58,24.98,20.05,23.9,2820236.923
2023-05-22,23.92,25.27,22.1,23.99,2238489.459
2023-05-29,24.0,26.38,22.62,22.88,1677169.526
2023-06-05,22.88,22.93,15.28,16.03,2667638.492
2023-06-12,16.04,18.39,14.99,17.41,1863346.246
2023-06-19,17.41,19.76,16.95,19.12,1485740.931
2023-06-26,19.13,21.2,16.35,19.26,2178390.169
2023-07-03,19.25,20.48,17.55,18.0,1461141.405
2023-07-10,18.0,21.3,17.35,18.6,1269501.156
2023-07-17,18.6,19.1,17.28,17.66,665016.49
2023-07-24,17.67,19.27,16.53,18.48,791703.692
2023-07-31,18.49,19.09,16.92,17.4,832990.959
2023-08-07,17.4,18.7,16.79,17.73,843123.64
2023-08-14,17.72,18.5,13.5,14.94,1140888.297
2023-08-21,14.95,15.82,13.33,14.88,841354.272
2023-08-28,14.86,15.28,13.42,13.64,777684.337
2023-09-04,13.64,16.44,13.35,14.68,1156760.79
2023-09-11,14.68,17.11,13.58,16.74,1305428.19
2023-09-18,16.73,17.57,15.56,15.78,1018710.21
2023-09-25,15.77,17.36,15.46,17.21,633035.681
2023-10-02,17.22,17.36,15.1,15.91,626422.341
2023-10-09,15.91,15.98,13.06,13.34,1353952.802
2023-10-16,13.32,13.97,11.33,12.44,1316111.709
2023-10-23,12.45,15.07,12.35,14.53,1607712.194
2023-10-30,14.54,15.98,13.58,15.25,1684530.572
2023-11-06,15.24,21.63,14.41,19.87,5565676.688
2023-11-13,19.87,20.38,15.63,17.18,2979085.032
2023-11-20,17.18,25.0,15.6,22.65,4474771.069
2023-11-27,22.65,30.71,21.55,28.75,5152140.603
2023-12-04,28.74,30.5,24.17,24.87,4094955.984
2023-12-11,24.88,25.07,20.7,21.44,2733735.353
2023-12-18,21.45,27.53,19.7,23.61,3849082.672
2023-12-25,23.61,28.56,21.38,26.49,5828666.692
2024-01-01,26.47,36.5,22.75,30.99,8090480.194
2024-01-08,30.99,40.43,27.77,32.96,6328401.913
