datetime,open,high,low,close,volume
2023-05-01,0.1,2.0,0.1,1.2431,842970072.0
2023-05-08,1.243,1.2448,1.013,1.1591,614179044.3
2023-05-15,1.1589,1.2548,1.051,1.073,308539204.5
2023-05-22,1.0729,1.098,0.9366,1.0617,263205632.1
2023-05-29,1.0619,1.1,0.905,0.9602,287004354.2
2023-06-05,0.9604,0.9715,0.51,0.6055,478444873.1
2023-06-12,0.6054,0.7961,0.5693,0.7207,507578925.3
2023-06-19,0.7206,0.8899,0.7093,0.7451,479215385.4
2023-06-26,0.7451,0.7605,0.628,0.6907,305388635.8
2023-07-03,0.6907,0.7389,0.6344,0.6591,222012749.7
2023-07-10,0.6591,0.7634,0.6271,0.6726,241451471.1
2023-07-17,0.6723,0.785,0.665,0.6787,374379950.8
2023-07-24,0.6788,0.6806,0.6,0.6202,132575298.7
2023-07-31,0.6203,0.65,0.5795,0.5921,166817292.5
2023-08-07,0.5922,0.6269,0.5598,0.5983,122825234.8
2023-08-14,0.5983,0.604,0.45,0.5437,354513389.3
2023-08-21,0.5437,0.6258,0.4994,0.5838,489610477.6
2023-08-28,0.5835,0.5837,0.4724,0.484,258375231.0
2023-09-04,0.4841,0.4992,0.4441,0.4553,206791835.4
2023-09-11,0.4551,0.4671,0.4185,0.4345,246557783.5
2023-09-18,0.4346,0.4647,0.4259,0.439,156189246.6
2023-09-25,0.4387,0.5099,0.4273,0.507,238515073.0
2023-10-02,0.5071,0.5077,0.4252,0.4377,217550451.5
2023-10-09,0.4379,0.4388,0.4006,0.4105,152521201.6
2023-10-16,0.4105,0.43,0.362,0.4043,294432829.2
2023-10-23,0.4043,0.4786,0.392,0.4527,435972712.9
2023-10-30,0.4527,0.5238,0.42,0.5001,411047633.7
2023-11-06,0.4999,0.6459,0.4797,0.6179,615686917.3
2023-11-13,0.6179,0.66,0.514,0.5633,517579436.0
2023-11-20,0.5632,0.6891,0.5,0.6349,459732067.8
2023-11-27,0.6349,0.6475,0.5639,0.6153,326617397.5
2023-12-04,0.6152,0.7268,0.5557,0.6925,458218763.6
2023-12-11,0.6926,0.7143,0.6001,0.6105,344697370.7
2023-12-18,0.6104,0.7633,0.5635,0.7142,691069306.8
2023-12-25,0.714,0.9216,0.7094,0.7752,600609801.6
2024-01-01,0.7753,0.942,0.68,0.8002,588319319.0
2024-01-08,0.7998,1.3645,0.7201,1.2506,981500988.8
