datetime,open,high,low,close,volume
2021-04-12,0.1,5.95,0.1,0.3597,2282193662.72
2021-04-19,0.3595,0.415,0.196,0.2439,763316821.35
2021-04-26,0.2439,0.8786,0.2404,0.7549,2621618211.76
2021-05-03,0.7549,0.869,0.46,0.6238,2379918610.91
2021-05-10,0.6243,0.69,0.326,0.3643,1384824523.16
2021-05-17,0.3646,0.419,0.1121,0.1382,1167821330.68
2021-05-24,0.1381,0.2745,0.1357,0.1896,1371054005.07
2021-05-31,0.1898,0.2173,0.1666,0.1751,671171462.35
2021-06-07,0.175,0.1825,0.1269,0.1475,759828842.6
2021-06-14,0.1474,0.1575,0.1102,0.1215,564588581.99
2021-06-21,0.1216,0.1226,0.0663,0.0755,929812667.3
2021-06-28,0.0756,0.0974,0.0701,0.0888,909083964.3
2021-07-05,0.0888,0.1349,0.079,0.1302,2182121147.36
2021-07-12,0.1303,0.3313,0.1105,0.1977,8302632241.9
2021-07-19,0.1977,0.3743,0.1291,0.3683,9386775351.51
2021-07-26,0.3681,0.3693,0.2506,0.2837,5997986606.12
2021-08-02,0.284,0.31,0.2518,0.2687,2534395859.6
2021-08-09,0.2687,0.3435,0.2556,0.3202,3179796258.86
2021-08-16,0.32,0.3398,0.238,0.2865,2779610487.94
2021-08-23,0.2865,0.4065,0.2564,0.3688,4641778502.07
2021-08-30,0.3688,0.4145,0.3082,0.3354,2394265530.05
2021-09-06,0.3352,0.3581,0.1861,0.2213,2639345930.42
2021-09-13,0.2211,0.2416,0.1829,0.213,1426846773.0
2021-09-20,0.2131,0.2144,0.1436,0.1618,1742104721.94
2021-09-27,0.1616,0.218,0.1501,0.2012,1616516801.0
2021-10-04,0.2012,0.231,0.1817,0.1935,1542778006.0
2021-10-11,0.1934,0.2095,0.1739,0.19,965233012.0
2021-10-18,0.1901,0.2034,0.1801,0.1844,711413991.0
2021-10-25,0.1844,0.3333,0.1582,0.242,3808289644.0
2021-11-01,0.2418,0.326,0.2266,0.2929,2993560907.0
2021-11-08,0.2929,0.3,0.2225,0.2575,1464809573.0
2021-11-15,0.2574,0.4662,0.2084,0.3399,4374998831.91
2021-11-22,0.3399,0.57,0.317,0.4131,5019766223.26
2021-11-29,0.4129,0.485,0.1962,0.2633,3124902875.0
2021-12-06,0.2633,0.28,0.2198,0.2435,1757563006.0
2021-12-13,0.2435,0.2486,0.1993,0.2058,980741259.0
2021-12-20,0.2056,0.2547,0.1878,0.2502,1075122374.0
2021-12-27,0.2504,0.2649,0.2043,0.219,946238714.0
2022-01-03,0.2188,0.224,0.158,0.1691,1046101107.0
2022-01-10,0.169,0.191,0.152,0.1806,815127367.0
2022-01-17,0.1804,0.1818,0.0963,0.1081,1239813829.42
2022-01-24,0.108,0.1203,0.0897,0.1069,1122166246.13
2022-01-31,0.1069,0.1439,0.1017,0.14,1448411955.0
2022-02-07,0.14,0.1645,0.1221,0.1227,2085427754.0
2022-02-14,0.1227,0.1437,0.1075,0.1126,1333240036.0
2022-02-21,0.1126,0.1227,0.085,0.1,1634169969.0
2022-02-28,0.1,0.1182,0.0942,0.0967,1161233905.0
2022-03-07,0.0967,0.1041,0.0891,0.0905,919803123.0
2022-03-14,0.0904,0.1079,0.0887,0.1004,1271762063.0
2022-03-21,0.1004,0.1274,0.097,0.1252,1944719870.0
2022-03-28,0.1252,0.1483,0.1151,0.1359,2588685683.0
2022-04-04,0.1359,0.1379,0.1055,0.1061,1194683563.0
2022-04-11,0.1061,0.1067,0.0948,0.0967,914560190.0
2022-04-18,0.0967,0.1048,0.09,0.0941,1041825715.0
2022-04-25,0.0941,0.0966,0.07,0.0771,1477365049.88
2022-05-02,0.0771,0.0838,0.0662,0.0675,1453209415.04
2022-05-09,0.0676,0.0694,0.0235,0.0361,3582840123.81
2022-05-16,0.0362,0.0434,0.0308,0.0397,2789191592.0
2022-05-23,0.0397,0.0409,0.0304,0.0342,1958529242.0
2022-05-30,0.0342,0.0411,0.0322,0.0351,2283435015.0
2022-06-06,0.0352,0.0394,0.0248,0.0249,1707448034.0
2022-06-13,0.0248,0.0271,0.0201,0.0238,1415320064.0
2022-06-20,0.0237,0.0322,0.0226,0.027,1277514425.0
2022-06-27,0.0269,0.0297,0.0232,0.0241,779046879.0
2022-07-04,0.0241,0.0333,0.0236,0.0268,1475570849.0
2022-07-11,0.0267,0.0295,0.024,0.02665,1597446545.0
2022-07-18,0.02667,0.03049,0.02568,0.02742,1913773594.0
2022-07-25,0.02742,0.03149,0.0244,0.03058,1431053371.0
2022-08-01,0.03057,0.03331,0.02822,0.03138,996199537.0
2022-08-08,0.03138,0.0345,0.0295,0.03214,981543561.0
2022-08-15,0.03214,0.03314,0.0251,0.02698,779525693.0
2022-08-22,0.02699,0.029,0.024,0.02418,660882420.0
2022-08-29,0.02416,0.02593,0.02355,0.0252,512087737.0
2022-09-05,0.0252,0.0265,0.0229,0.02543,644961642.0
2022-09-12,0.02544,0.0259,0.0214,0.02161,620561128.0
2022-09-19,0.0216,0.02238,0.02027,0.02099,498755698.0
2022-09-26,0.02099,0.02633,0.02068,0.02478,2033511381.0
2022-10-03,0.02478,0.0264,0.02275,0.02327,985362851.0
2022-10-10,0.02327,0.02361,0.01922,0.02162,643923034.0
2022-10-17,0.0216,0.02258,0.01935,0.02065,401511149.0
2022-10-24,0.02068,0.02433,0.02013,0.02161,837903057.0
2022-10-31,0.02161,0.0243,0.02009,0.02163,884264354.0
2022-11-07,0.02162,0.02234,0.01386,0.01537,1247651122.0
2022-11-14,0.01537,0.01692,0.01428,0.01465,730021256.0
2022-11-21,0.01463,0.01591,0.01376,0.01529,548643889.0
2022-11-28,0.01531,0.017,0.01462,0.01612,717569158.0
2022-12-05,0.01612,0.0164,0.01491,0.01533,404512773.0
2022-12-12,0.01533,0.01667,0.0128,0.01311,736027863.0
2022-12-19,0.01312,0.0134,0.0121,0.01255,224106329.0
2022-12-26,0.01256,0.0138,0.01176,0.01209,445451671.0
2023-01-02,0.01209,0.01347,0.01185,0.01339,692209984.0
2023-01-09,0.01339,0.01718,0.01314,0.01662,1280885723.0
2023-01-16,0.01662,0.0196,0.01451,0.01815,988443336.0
2023-01-23,0.01814,0.02572,0.017,0.02241,2058652302.0
2023-01-30,0.02242,0.0249,0.02,0.02341,1288827229.0
2023-02-06,0.02342,0.0257,0.01921,0.02212,1120733338.0
2023-02-13,0.02218,0.02463,0.01971,0.02322,1069546002.0
2023-02-20,0.02322,0.02952,0.02248,0.0237,1544096130.0
2023-02-27,0.02371,0.02398,0.01823,0.01897,605827460.0
2023-03-06,0.01895,0.0197,0.01515,0.01741,630636353.0
2023-03-13,0.01741,0.02045,0.01683,0.01955,989900882.0
2023-03-20,0.01955,0.02337,0.0183,0.01904,1741131915.0
2023-03-27,0.01906,0.02085,0.01774,0.01986,888275161.0
2023-04-03,0.01985,0.02294,0.01908,0.02104,1118232520.0
2023-04-10,0.02103,0.02436,0.0204,0.02339,1347706543.0
2023-04-17,0.02339,0.02343,0.01854,0.01926,775214764.0
2023-04-24,0.01925,0.02015,0.01807,0.01906,590814331.0
2023-05-01,0.01906,0.01913,0.01704,0.01716,406853911.0
2023-05-08,0.01716,0.01736,0.0143,0.01557,656248536.0
2023-05-15,0.01559,0.01698,0.01531,0.01598,372934465.0
2023-05-22,0.01598,0.01656,0.01514,0.01625,391708474.0
2023-05-29,0.01626,0.01638,0.01487,0.01534,317107094.0
2023-06-05,0.01534,0.01534,0.00936,0.01015,800176543.0
2023-06-12,0.01013,0.01084,0.00967,0.0103,460365330.0
2023-06-19,0.01029,0.01227,0.0102,0.01193,590254231.0
2023-06-26,0.01194,0.012,0.01022,0.01183,732379180.0
2023-07-03,0.01183,0.01234,0.01087,0.01106,761467673.0
2023-07-10,0.01109,0.01255,0.01066,0.01145,713899866.0
2023-07-17,0.01145,0.01192,0.01081,0.01127,483515365.0
2023-07-24,0.01127,0.01128,0.01042,0.01074,449916435.0
2023-07-31,0.01073,0.0121,0.01023,0.0113,1109421746.0
2023-08-07,0.0113,0.01357,0.0112,0.01301,2769673227.0
2023-08-14,0.013,0.01358,0.00911,0.01035,1288003194.0
2023-08-21,0.01036,0.01039,0.0096,0.0099,546575282.0
2023-08-28,0.00991,0.01036,0.00918,0.00945,457287066.0
2023-09-04,0.00945,0.0119,0.00941,0.01017,2459431472.0
2023-09-11,0.01017,0.01038,0.00931,0.00972,690711348.0
2023-09-18,0.00973,0.01039,0.00959,0.00982,540546246.0
2023-09-25,0.00982,0.01074,0.00968,0.01056,637494638.0
2023-10-02,0.01059,0.01079,0.00966,0.00992,490920383.0
2023-10-09,0.00992,0.00997,0.00918,0.00947,363519142.0
2023-10-16,0.00948,0.01062,0.00945,0.01032,1003083132.0
2023-10-23,0.01032,0.01242,0.01006,0.01207,1557582025.0
2023-10-30,0.01208,0.01248,0.01108,0.01221,887171125.0
2023-11-06,0.01222,0.0144,0.01201,0.01417,2001968488.0
2023-11-13,0.01417,0.01451,0.012,0.01292,927165647.0
2023-11-20,0.01293,0.01875,0.01171,0.01659,3433409878.0
2023-11-27,0.01658,0.01678,0.01443,0.01526,2719400941.0
2023-12-04,0.01527,0.01731,0.01372,0.01684,1728150408.0
2023-12-11,0.01688,0.01694,0.01401,0.01558,1186130515.0
2023-12-18,0.01558,0.01974,0.01402,0.01849,1734695675.0
2023-12-25,0.0185,0.02179,0.01762,0.01921,1937538548.0
2024-01-01,0.01919,0.01969,0.01457,0.015,1427755367.0
2024-01-08,0.01501,0.01751,0.0137,0.01544,1207749967.0
