datetime,open,high,low,close,volume
2019-08-19,0.58,0.8888,0.5017,0.7049,8356328.86
2019-08-26,0.707,0.76,0.455,0.475,7247336.81
2019-09-02,0.4788,0.4898,0.3922,0.4324,1874682.82
2019-09-09,0.4322,0.4459,0.35,0.382,1208045.38
2019-09-16,0.3806,0.447,0.3507,0.3659,1350333.98
2019-09-23,0.3644,0.3691,0.2625,0.2977,1024610.9
2019-09-30,0.2977,0.3325,0.2953,0.3171,753392.21
2019-10-07,0.3162,0.3797,0.31,0.3347,1376196.86
2019-10-14,0.3332,0.3662,0.304,0.3127,1261209.7
2019-10-21,0.3144,0.33,0.2669,0.3039,1504534.73
2019-10-28,0.3048,0.4918,0.295,0.4678,130434353.63
2019-11-04,0.468,0.4879,0.3522,0.3589,74175726.91
2019-11-11,0.3589,0.4,0.34,0.3474,5803740.24
2019-11-18,0.348,0.358,0.2312,0.2417,4994121.92
2019-11-25,0.2418,0.2943,0.2269,0.2629,2708961.68
2019-12-02,0.2629,0.4114,0.2557,0.3083,4864082.52
2019-12-09,0.31,0.7562,0.286,0.502,70657700.9
2019-12-16,0.5029,0.69,0.4406,0.5603,60045466.43
2019-12-23,0.5603,0.74,0.4939,0.5088,26124011.46
2019-12-30,0.5109,0.5408,0.406,0.443,20002539.41
2020-01-06,0.443,0.4666,0.4086,0.459,14110946.71
2020-01-13,0.459,0.5155,0.4441,0.4558,16090390.58
2020-01-20,0.4579,0.4878,0.4283,0.4548,6265107.98
2020-01-27,0.4526,0.51,0.4134,0.4917,9599576.83
2020-02-03,0.4913,0.5654,0.4657,0.4912,10508029.64
2020-02-10,0.4912,0.6952,0.472,0.5486,15302555.19
2020-02-17,0.5486,0.6308,0.49,0.5892,9241830.45
2020-02-24,0.5885,0.63,0.45,0.4733,10104043.89
2020-03-02,0.4763,0.5899,0.4234,0.4274,8356850.41
2020-03-09,0.4283,0.4633,0.1181,0.2066,14580262.13
2020-03-16,0.2066,0.295,0.165,0.2162,16700706.67
2020-03-23,0.2157,0.2644,0.2112,0.2129,10396929.42
2020-03-30,0.2129,0.2898,0.2114,0.2597,7882416.62
2020-04-06,0.2597,0.3095,0.2511,0.2726,7206506.92
2020-04-13,0.2717,0.3766,0.2542,0.3164,18136556.66
2020-04-20,0.3152,0.3691,0.2773,0.3507,11879275.33
2020-04-27,0.3507,0.3842,0.3315,0.3571,9177116.18
2020-05-04,0.3573,0.4477,0.2945,0.3872,16496773.22
2020-05-11,0.3847,0.4028,0.347,0.3892,9648505.28
2020-05-18,0.3891,0.4077,0.3514,0.3705,8122245.31
2020-05-25,0.37,0.434,0.3662,0.3885,8756595.11
2020-06-01,0.3881,0.432,0.3779,0.4159,8278208.52
2020-06-08,0.4163,0.5175,0.3828,0.4136,16006777.52
2020-06-15,0.4127,0.4846,0.3845,0.4365,9572309.13
2020-06-22,0.4365,0.5824,0.4281,0.5049,21043460.12
2020-06-29,0.5036,0.62,0.4723,0.5692,12794113.75
2020-07-06,0.5655,0.7239,0.5655,0.709,16545854.53
2020-07-13,0.7081,0.9099,0.6638,0.895,15864926.46
2020-07-20,0.8943,1.16,0.8368,1.0579,26955931.71
2020-07-27,1.0541,1.0573,0.7784,0.868,26819846.11
2020-08-03,0.8698,1.35,0.8549,1.2783,19588068.6
2020-08-10,1.2783,1.5533,1.054,1.4209,25698942.26
2020-08-17,1.4207,1.4224,0.9571,1.0767,18496935.29
2020-08-24,1.0786,1.17,0.9,1.0942,18164627.51
2020-08-31,1.0949,1.15,0.52,0.6632,39853448.2
2020-09-07,0.6636,0.7968,0.5609,0.6682,30325295.04
2020-09-14,0.6681,0.7168,0.58,0.6389,21058283.32
2020-09-21,0.6408,0.9752,0.627,0.7686,70156770.29
2020-09-28,0.7686,1.2,0.7324,0.9185,65939914.0
2020-10-05,0.9181,0.9281,0.6395,0.73,23015166.32
2020-10-12,0.7299,0.8283,0.651,0.7163,30305154.85
2020-10-19,0.7166,0.723,0.5921,0.6391,20208573.06
2020-10-26,0.6409,0.678,0.5115,0.5536,23171930.52
2020-11-02,0.5533,0.6709,0.466,0.5939,30391107.59
2020-11-09,0.5927,0.6384,0.5505,0.5781,19147466.12
2020-11-16,0.5785,0.819,0.5693,0.7562,32375483.45
2020-11-23,0.7596,0.8945,0.6061,0.6659,32484344.05
2020-11-30,0.6658,0.8179,0.6558,0.7226,20333447.51
2020-12-07,0.7225,0.7796,0.6277,0.7067,13392878.36
2020-12-14,0.7068,0.8789,0.6903,0.7811,26954875.92
2020-12-21,0.7796,0.7974,0.56,0.6866,26980299.16
2020-12-28,0.6881,0.8651,0.6371,0.8199,31512697.29
2021-01-04,0.8202,1.297,0.8011,1.1604,66333288.98
2021-01-11,1.1573,1.45,0.9759,1.3281,47233649.26
2021-01-18,1.3281,1.4091,1.0245,1.2978,28198390.47
2021-01-25,1.2934,1.373,1.1312,1.2572,30903202.03
2021-02-01,1.2576,1.89,1.2035,1.6444,61002436.45
2021-02-08,1.6444,2.47,1.601,2.1533,74824483.68
2021-02-15,2.153,2.24,1.6886,1.9855,67599334.02
2021-02-22,1.9857,2.6955,1.44,1.6999,137575264.27
2021-03-01,1.6998,2.98,1.682,2.7727,118628465.56
2021-03-08,2.7777,2.8888,2.1532,2.5292,74052145.63
2021-03-15,2.5243,2.95,2.0909,2.8427,50723179.56
2021-03-22,2.8438,3.07,2.1639,2.5807,52046203.99
2021-03-29,2.5828,3.2971,2.5138,3.1864,46706318.5
2021-04-05,3.1828,3.6799,2.7304,3.2767,45721528.77
2021-04-12,3.2817,3.3896,1.9,2.6469,44665015.69
2021-04-19,2.6464,2.7799,1.6762,1.8739,44070611.75
2021-04-26,1.8737,2.677,1.8585,2.4838,37426633.65
2021-05-03,2.4857,3.08,2.4813,2.7196,47360699.42
2021-05-10,2.7182,2.8249,1.8334,1.9704,31467244.44
2021-05-17,1.9721,1.9795,0.9465,1.2847,51903172.46
2021-05-24,1.2847,1.67,1.2203,1.4492,41179992.51
2021-05-31,1.4484,1.8277,1.3414,1.6586,32631776.68
2021-06-07,1.6582,1.7268,1.3214,1.5264,20825187.63
2021-06-14,1.525,1.985,1.502,1.7834,35443436.76
2021-06-21,1.7825,1.8175,1.24,1.4357,27164257.45
2021-06-28,1.4337,1.9549,1.4047,1.9068,19460222.21
2021-07-05,1.9058,2.5106,1.8184,2.461,41935484.69
2021-07-12,2.4606,2.7531,2.088,2.4964,31245943.23
2021-07-19,2.4953,3.0,2.108,2.7428,28954902.93
2021-07-26,2.74,2.9116,2.51,2.6313,15544765.07
2021-08-02,2.631,3.1986,2.5745,2.7506,16824864.67
2021-08-09,2.75,3.1,2.6442,3.0699,13616472.4
2021-08-16,3.0738,3.59,2.5865,3.4319,17108512.68
2021-08-23,3.4306,3.8988,2.889,3.357,21065848.26
2021-08-30,3.358,3.797,3.056,3.612,16297388.13
2021-09-06,3.613,3.92,2.071,2.295,107264326.24
2021-09-13,2.293,2.559,2.04,2.247,32754654.3
2021-09-20,2.248,2.475,1.856,2.091,37383909.97
2021-09-27,2.086,2.49,1.924,2.376,21398504.6
2021-10-04,2.375,2.669,2.154,2.168,22003926.5
2021-10-11,2.166,2.444,2.018,2.305,14550283.3
2021-10-18,2.305,2.747,2.232,2.488,15550609.3
2021-10-25,2.486,2.742,2.2,2.605,12975190.4
2021-11-01,2.605,2.893,2.566,2.606,14953123.8
2021-11-08,2.606,3.028,2.36,2.965,14353071.0
2021-11-15,2.969,3.76,2.728,3.246,29847866.5
2021-11-22,3.249,3.86,2.782,3.025,23101663.2
2021-11-29,3.025,3.304,1.97,2.245,16913818.9
2021-12-06,2.246,2.439,1.924,2.108,13290922.0
2021-12-13,2.106,2.129,1.787,1.932,6081991.4
2021-12-20,1.931,2.135,1.754,2.094,11782330.6
2021-12-27,2.095,2.295,1.802,1.994,6522945.1
2022-01-03,1.994,1.995,1.495,1.588,6408151.45
2022-01-10,1.583,1.639,1.444,1.564,5555475.4
2022-01-17,1.564,1.577,1.016,1.159,11124971.74
2022-01-24,1.158,1.254,0.95,1.159,10950768.6
2022-01-31,1.157,1.339,1.072,1.335,6953361.2
2022-02-07,1.336,1.403,1.11,1.138,8295860.8
2022-02-14,1.139,1.283,0.957,0.977,6460637.4
2022-02-21,0.978,1.174,0.846,1.074,11112241.72
2022-02-28,1.072,1.548,1.061,1.141,20543274.2
2022-03-07,1.142,1.239,1.065,1.072,7561124.0
2022-03-14,1.07,1.274,1.057,1.156,6442827.9
2022-03-21,1.159,1.43,1.124,1.405,11729701.4
2022-03-28,1.404,1.79,1.312,1.75,19957542.8
2022-04-04,1.75,1.75,1.122,1.128,14135472.9
2022-04-11,1.127,1.148,0.991,1.041,15297041.5
2022-04-18,1.042,1.24,0.993,1.167,13943054.4
2022-04-25,1.167,1.446,1.061,1.239,52672872.2
2022-05-02,1.239,1.283,0.891,0.918,16458081.8
2022-05-09,0.917,0.935,0.471,0.643,35793243.37
2022-05-16,0.641,0.642,0.511,0.585,14913992.2
2022-05-23,0.585,0.721,0.493,0.54,54972052.0
2022-05-30,0.54,0.728,0.534,0.566,27189134.2
2022-06-06,0.567,0.694,0.471,0.484,31469383.0
2022-06-13,0.485,0.489,0.392,0.445,35589004.41
2022-06-20,0.446,0.545,0.421,0.495,17549266.7
2022-06-27,0.495,0.524,0.423,0.455,11688624.8
2022-07-04,0.455,0.56,0.443,0.52,14471951.3
2022-07-11,0.52,0.625,0.437,0.588,24631865.0
2022-07-18,0.589,0.648,0.551,0.567,19564225.9
2022-07-25,0.567,0.637,0.49,0.585,21453776.9
2022-08-01,0.584,0.72,0.555,0.659,29646426.3
2022-08-08,0.66,0.98,0.594,0.621,47314934.0
2022-08-15,0.621,0.644,0.476,0.517,20236392.0
2022-08-22,0.516,0.561,0.466,0.468,14492738.9
2022-08-29,0.47,0.529,0.464,0.492,8416481.8
2022-09-05,0.492,0.537,0.451,0.525,11265912.2
2022-09-12,0.5248,0.5475,0.4198,0.4289,15662937.4
2022-09-19,0.4288,0.4572,0.4115,0.4424,17730005.8
2022-09-26,0.4416,0.4734,0.4269,0.4365,10062309.5
2022-10-03,0.4358,0.4734,0.431,0.446,3987910.7
2022-10-10,0.4455,0.478,0.3737,0.4033,14619265.0
2022-10-17,0.4045,0.4179,0.388,0.4128,7989192.5
2022-10-24,0.4125,0.4529,0.3992,0.4372,6718157.3
2022-10-31,0.4366,0.4866,0.4037,0.4442,7635130.0
2022-11-07,0.4441,0.4625,0.2576,0.2875,20792555.0
2022-11-14,0.2872,0.35,0.2643,0.2861,12548166.2
2022-11-21,0.2859,0.3242,0.2759,0.3099,6927480.7
2022-11-28,0.3097,0.3455,0.2978,0.3314,14898475.9
2022-12-05,0.3314,0.3368,0.3008,0.3035,9581222.6
2022-12-12,0.3035,0.3125,0.264,0.2734,9576624.4
2022-12-19,0.2742,0.2776,0.2515,0.2703,5161524.3
2022-12-26,0.2703,0.2746,0.2511,0.2608,9226929.8
2023-01-02,0.2609,0.2883,0.2576,0.2876,7343505.8
2023-01-09,0.2874,0.348,0.2786,0.3396,13029482.5
2023-01-16,0.3403,0.3606,0.2952,0.3521,15435475.2
2023-01-23,0.3526,0.4378,0.3371,0.3968,31138017.8
2023-01-30,0.397,0.45,0.352,0.4215,25448882.7
2023-02-06,0.4215,0.4854,0.3444,0.3724,31745253.2
2023-02-13,0.3723,0.4387,0.3421,0.4293,16474972.3
2023-02-20,0.429,0.58,0.417,0.4361,54471152.0
2023-02-27,0.4366,0.4451,0.3566,0.3701,15860080.1
2023-03-06,0.3693,0.3977,0.3166,0.3971,16085067.2
2023-03-13,0.3978,0.6591,0.3967,0.5561,40353807.6
2023-03-20,0.5566,0.6455,0.5015,0.6084,32055939.1
2023-03-27,0.6084,0.7241,0.519,0.6065,31981801.2
2023-04-03,0.6068,0.7279,0.5838,0.6553,24428655.2
2023-04-10,0.6552,0.8473,0.6431,0.8242,15014999.3
2023-04-17,0.8242,0.88,0.6693,0.6802,21211064.1
2023-04-24,0.6803,1.05,0.6404,0.8046,63722335.4
2023-05-01,0.8046,0.988,0.7469,0.9356,60836199.2
2023-05-08,0.935,1.1,0.8187,0.9,48461169.3
2023-05-15,0.8995,1.134,0.8681,1.0413,33324875.7
2023-05-22,1.0416,2.548,1.0289,1.6239,66326266.4
2023-05-29,1.6239,1.745,1.3123,1.3855,62719408.8
2023-06-05,1.3855,1.66,1.0825,1.3991,77308566.8
2023-06-12,1.3989,1.7086,1.2267,1.2458,69804857.3
2023-06-19,1.2458,1.4931,1.0755,1.4601,82045808.7
2023-06-26,1.4604,1.6,0.9315,1.093,100385138.0
2023-07-03,1.0929,1.2011,0.9325,1.1724,61754398.8
2023-07-10,1.172,1.2493,1.0552,1.0744,34903445.6
2023-07-17,1.0737,1.32,1.0637,1.2098,28418949.0
2023-07-24,1.2091,1.5167,1.134,1.4666,41173428.1
2023-07-31,1.4662,1.75,1.3302,1.5018,40074350.8
2023-08-07,1.5023,1.6098,1.3337,1.5064,31847958.7
2023-08-14,1.5066,1.68,1.3408,1.5672,56866487.6
2023-08-21,1.5678,1.6336,0.953,1.0164,101883124.8
2023-08-28,1.0162,1.33,0.9852,1.2694,82795486.9
2023-09-04,1.2693,1.3794,1.1522,1.2259,51026329.3
2023-09-11,1.2258,1.2872,1.1482,1.186,20839967.2
2023-09-18,1.1862,1.3303,1.1634,1.2548,18288338.7
2023-09-25,1.2567,1.3784,1.2418,1.3482,13553077.0
2023-10-02,1.3481,1.53,1.3155,1.4127,25020449.5
2023-10-09,1.412,1.6752,1.3268,1.5028,16530885.3
2023-10-16,1.5024,1.5758,1.4104,1.4861,14147940.5
2023-10-23,1.4861,1.9043,1.4307,1.7489,33988766.5
2023-10-30,1.7477,1.91,1.2515,1.3022,67033345.1
2023-11-06,1.3018,1.4399,1.0822,1.1669,60235386.6
2023-11-13,1.1671,1.3333,0.9532,1.2718,57067490.7
