datetime,open,high,low,close,volume
2022-02-07,0.6868,0.879,0.5302,0.5341,85242344.3
2022-02-14,0.5336,0.6204,0.4163,0.4248,82550152.3
2022-02-21,0.4248,0.5037,0.338,0.4362,203190275.5
2022-02-28,0.4364,0.5499,0.425,0.4505,61181696.9
2022-03-07,0.4506,0.5433,0.4227,0.443,86068394.9
2022-03-14,0.4428,0.64,0.422,0.5916,146065800.9
2022-03-21,0.5932,0.6379,0.5463,0.6157,66666496.7
2022-03-28,0.6168,0.69,0.572,0.5945,75450541.1
2022-04-04,0.5945,0.645,0.4762,0.502,221594038.6
2022-04-11,0.5026,0.5255,0.4473,0.4579,178438921.5
2022-04-18,0.4577,0.5323,0.4301,0.4356,196526120.9
2022-04-25,0.4354,0.4594,0.3376,0.3617,119010336.0
2022-05-02,0.3617,0.3916,0.3003,0.3067,156950024.2
2022-05-09,0.3067,0.3166,0.1463,0.2133,220036282.8
2022-05-16,0.2134,0.2141,0.1716,0.2078,113176138.9
2022-05-23,0.2077,0.2319,0.1516,0.1565,163311704.2
2022-05-30,0.1565,0.1863,0.1485,0.161,148200633.4
2022-06-06,0.1609,0.1854,0.1175,0.1189,215066125.7
2022-06-13,0.1188,0.1768,0.1004,0.1752,542996047.5
2022-06-20,0.1755,0.2445,0.1586,0.1975,512760014.4
2022-06-27,0.1974,0.2081,0.1473,0.16,231578434.6
2022-07-04,0.1602,0.1999,0.1541,0.1785,208845210.8
2022-07-11,0.1786,0.1929,0.1496,0.1788,197706424.9
2022-07-18,0.1787,0.219,0.1725,0.1873,182008647.7
2022-07-25,0.1873,0.2524,0.1621,0.2168,246169035.1
2022-08-01,0.2168,0.2665,0.1939,0.2515,254097142.4
2022-08-08,0.2513,0.2749,0.2168,0.2208,252225068.7
2022-08-15,0.2209,0.2297,0.1559,0.1715,184859058.6
2022-08-22,0.1716,0.1777,0.1379,0.1387,128147412.1
2022-08-29,0.1387,0.1588,0.1371,0.1569,105362654.3
2022-09-05,0.1568,0.169,0.1437,0.1648,122285659.6
2022-09-12,0.1649,0.1739,0.1345,0.1376,139149316.1
2022-09-19,0.1376,0.1421,0.1292,0.1352,106538416.5
2022-09-26,0.1352,0.1475,0.1311,0.1322,80685905.8
2022-10-03,0.1322,0.1483,0.1295,0.1477,85001596.0
2022-10-10,0.1478,0.163,0.131,0.1615,215588610.3
2022-10-17,0.1615,0.1788,0.1524,0.1652,145849084.2
2022-10-24,0.1653,0.1908,0.1587,0.181,222314873.8
2022-10-31,0.1809,0.1971,0.1641,0.1729,180479652.2
2022-11-07,0.1729,0.1832,0.1153,0.1202,272189756.2
2022-11-14,0.12,0.1346,0.1085,0.1103,168014364.6
2022-11-21,0.1102,0.1241,0.1014,0.1204,181783531.8
2022-11-28,0.1204,0.1288,0.1129,0.123,136484017.4
2022-12-05,0.1229,0.1312,0.1141,0.1255,119558195.8
2022-12-12,0.1254,0.141,0.1146,0.1222,226130876.1
2022-12-19,0.1223,0.1243,0.11,0.1142,72139027.5
2022-12-26,0.1144,0.1261,0.1133,0.1253,92721318.6
2023-01-02,0.1252,0.1532,0.1216,0.1519,119718117.6
2023-01-09,0.1519,0.2128,0.1463,0.2041,482667068.2
2023-01-16,0.2041,0.2281,0.1713,0.1994,223416723.6
2023-01-23,0.1995,0.2091,0.1771,0.192,129918791.7
2023-01-30,0.1916,0.2275,0.1693,0.2125,210662150.6
