datetime,open,high,low,close,volume
2021-09-20,6.107,8.5,4.632,5.119,28967959.3
2021-09-27,5.113,8.986,5.001,7.687,35500002.5
2021-10-04,7.697,8.449,6.465,6.55,20987763.4
2021-10-11,6.545,7.345,5.858,6.316,10902418.0
2021-10-18,6.322,7.2,5.956,6.183,6582995.9
2021-10-25,6.187,8.39,5.2,6.788,18423603.7
2021-11-01,6.787,8.18,6.272,6.837,15734035.1
2021-11-08,6.837,6.899,5.6,6.315,7611592.5
2021-11-15,6.315,11.5,5.942,8.341,55516569.1
2021-11-22,8.351,9.365,6.601,7.755,34294083.1
2021-11-29,7.755,9.901,5.082,6.18,30532728.9
2021-12-06,6.167,6.45,5.25,5.649,15845842.2
2021-12-13,5.65,7.959,4.638,5.055,22828639.5
2021-12-20,5.051,6.349,4.85,6.169,17511565.6
2021-12-27,6.178,6.2,5.085,5.605,10895626.1
2022-01-03,5.602,5.611,4.242,4.825,14199072.8
2022-01-10,4.824,5.48,4.227,4.607,15489459.7
2022-01-17,4.61,4.613,2.325,2.66,18004237.4
2022-01-24,2.66,3.2,2.168,2.891,24682764.1
2022-01-31,2.891,4.07,2.685,3.972,25744446.9
2022-02-07,3.975,4.095,3.003,3.038,14480146.8
2022-02-14,3.039,3.721,2.585,2.638,17592854.1
2022-02-21,2.638,3.451,2.27,3.136,20948348.0
2022-02-28,3.14,3.583,2.596,2.629,11639252.4
2022-03-07,2.626,2.855,2.434,2.449,10335224.9
2022-03-14,2.448,2.78,2.336,2.601,10894544.8
2022-03-21,2.601,3.048,2.53,2.936,8995059.6
2022-03-28,2.936,3.584,2.8,3.192,29178023.1
2022-04-04,3.193,3.196,2.397,2.41,12795253.9
2022-04-11,2.405,2.416,2.113,2.119,7639956.5
2022-04-18,2.118,2.196,1.868,1.885,11194078.5
2022-04-25,1.883,2.102,1.418,1.487,32047379.9
2022-05-02,1.489,1.52,1.072,1.111,23063693.9
2022-05-09,1.114,1.133,0.479,0.698,37377440.1
2022-05-16,0.698,1.114,0.515,0.783,83365932.0
2022-05-23,0.783,0.84,0.546,0.614,39174800.7
2022-05-30,0.616,0.805,0.575,0.595,32797059.6
2022-06-06,0.593,0.644,0.448,0.449,27426639.0
2022-06-13,0.45,0.457,0.3098,0.37,35947847.0
2022-06-20,0.3699,0.816,0.3489,0.6892,113421795.1
2022-06-27,0.6887,0.7944,0.5891,0.6392,62181206.7
2022-07-04,0.6403,0.792,0.6045,0.7071,31970711.7
2022-07-11,0.707,0.7098,0.5765,0.6296,15479741.7
2022-07-18,0.6307,0.999,0.6293,0.788,61331513.8
2022-07-25,0.7878,1.0303,0.7238,0.8407,47914038.0
2022-08-01,0.839,0.8749,0.773,0.7973,21417687.1
2022-08-08,0.7978,0.8458,0.7384,0.7472,19137521.3
2022-08-15,0.747,0.7799,0.5339,0.6114,29971201.4
2022-08-22,0.6117,0.6405,0.4772,0.4796,19107657.0
