datetime,open,high,low,close,volume
2020-07-06,6.525,8.9,6.5,7.214,231691.361
2020-07-13,7.23,8.5,6.91,8.139,223779.436
2020-07-20,8.14,9.664,7.9,9.387,211323.012
2020-07-27,9.332,9.483,7.891,8.511,240236.089
2020-08-03,8.511,11.489,8.3,10.498,251055.007
2020-08-10,10.498,11.269,9.528,10.01,315577.957
2020-08-17,10.01,10.819,8.673,9.348,302742.636
2020-08-24,9.307,10.5,8.14,8.721,208426.529
2020-08-31,8.723,9.022,5.558,6.403,325559.095
2020-09-07,6.389,6.69,5.7,6.285,170884.151
2020-09-14,6.284,6.517,5.716,5.827,131802.008
2020-09-21,5.827,6.23,5.223,5.718,142082.735
2020-09-28,5.734,5.958,5.1,5.34,112877.416
2020-10-05,5.36,7.981,5.062,6.869,395236.861
2020-10-12,6.86,7.085,5.782,5.991,465005.601
2020-10-19,5.991,6.0,5.421,5.671,172365.244
2020-10-26,5.693,5.949,5.201,5.584,204336.398
2020-11-02,5.584,6.46,5.101,6.186,313667.978
2020-11-09,6.176,6.8,5.65,6.321,278759.667
2020-11-16,6.352,9.713,5.998,9.125,908759.64
2020-11-23,9.063,19.605,8.699,13.89,4336978.92
2020-11-30,13.89,16.8,11.247,12.286,2504059.99
2020-12-07,12.317,12.708,8.932,10.998,1766432.292
2020-12-14,10.998,13.6,10.634,11.41,1976582.851
2020-12-21,11.41,13.297,8.3,12.581,1930068.09
2020-12-28,12.582,14.713,10.272,13.53,2588200.555
2021-01-04,13.531,23.888,11.602,21.859,3651513.098
2021-01-11,21.882,31.0,17.211,28.158,8653790.891
2021-01-18,28.1,34.172,24.69,27.234,2553495.977
2021-01-25,27.261,39.3,26.877,35.327,3999858.838
2021-02-01,35.401,39.0,31.549,33.637,1476795.824
2021-02-08,33.622,58.133,33.33,53.0,2171017.45
2021-02-15,53.112,86.0,43.34,71.616,2577157.405
2021-02-22,71.642,71.892,39.114,41.904,2212697.554
2021-03-01,41.931,50.95,40.128,50.371,1161071.669
2021-03-08,50.366,58.831,45.089,53.103,1581849.836
2021-03-15,53.093,64.749,46.546,57.868,1667257.864
2021-03-22,57.798,59.488,43.153,50.745,1252018.818
2021-03-29,50.758,65.999,48.0,65.894,1964960.426
2021-04-05,65.9,80.1,61.001,75.344,1951180.206
2021-04-12,75.332,139.5,73.684,109.738,2979197.558
2021-04-19,109.738,132.0,84.55,110.27,3403009.8244
2021-04-26,110.27,138.98,110.18,120.46,1838850.2045
2021-05-03,120.4,169.23,105.39,145.15,2563643.3672
2021-05-10,145.34,158.8,117.41,125.71,2208474.0956
2021-05-17,125.51,126.0,53.33,72.2,4179911.9519
2021-05-24,72.23,125.0,70.8,106.25,3755245.4524
2021-05-31,106.25,116.99,93.9,96.91,1542941.701
2021-06-07,96.82,99.72,72.14,83.85,1450394.7311
2021-06-14,83.85,92.97,72.5,78.07,1021844.3368
2021-06-21,78.2,78.87,47.35,59.75,2058175.131
2021-06-28,59.8,72.58,57.72,67.3,1125552.9384
2021-07-05,67.26,69.92,56.56,60.75,887859.5615
2021-07-12,60.75,62.56,48.83,50.51,647593.3121
2021-07-19,50.48,54.71,41.0,51.66,1306702.949
2021-07-26,51.66,61.94,51.58,55.987,1016704.7713
2021-08-02,56.01,69.591,54.8,63.005,1052846.3274
2021-08-09,63.04,77.0,60.752,72.701,1095753.20262
2021-08-16,72.7,78.66,63.334,75.179,1337904.34027
2021-08-23,75.036,91.73,74.2,87.97,1738892.91888
2021-08-30,87.97,110.0,84.43,108.03,1380385.35791
2021-09-06,108.16,110.84,71.4,84.4,1451046.25121
2021-09-13,84.3,120.0,75.0,92.74,2236307.34916
2021-09-20,92.64,92.84,60.77,66.05,1652161.52769
2021-09-27,65.94,80.47,62.44,77.8,1129276.88
2021-10-04,77.7,86.3,71.03,74.34,1096582.26
2021-10-11,74.33,82.9,69.01,79.12,833755.0
2021-10-18,79.11,94.79,75.88,91.21,1322994.45
2021-10-25,91.19,128.8,69.5,87.81,3447819.74464
2021-11-01,87.81,91.34,80.1,84.64,1444755.94
2021-11-08,84.55,115.0,83.53,95.83,2726971.23
2021-11-15,95.91,114.65,80.1,113.91,1801484.03
2021-11-22,114.16,138.31,97.0,107.19,2809135.92194
2021-11-29,107.24,124.22,55.0,72.7,2252142.29
2021-12-06,72.76,79.48,64.0,68.83,1288689.23
2021-12-13,68.88,72.92,57.05,65.67,1207092.37
2021-12-20,65.6,76.0,59.56,70.23,927429.42
2021-12-27,70.26,74.22,59.16,65.06,780758.79
2022-01-03,65.05,69.68,51.37,55.89,1039139.51888
2022-01-10,56.0,60.29,51.08,55.23,1118422.27
2022-01-17,55.27,55.52,30.01,35.66,1400820.46882
2022-01-24,35.64,43.86,30.01,40.29,2654334.33
2022-01-31,40.27,48.47,36.56,47.43,1021777.45
2022-02-07,47.53,49.82,38.8,40.19,1147550.75
2022-02-14,40.28,44.05,34.26,34.63,911627.59
2022-02-21,34.68,36.45,29.0,32.58,1511430.4502
2022-02-28,32.62,40.47,32.03,33.34,1094418.52
2022-03-07,33.34,43.63,32.44,36.2,1929313.63
2022-03-14,36.2,43.53,35.27,41.18,1539815.54
2022-03-21,41.2,52.3,40.18,50.03,1377634.01
2022-03-28,50.09,53.3,46.12,49.53,1096883.81
2022-04-04,49.53,50.96,39.43,41.35,1103262.91
2022-04-11,41.39,41.77,36.34,36.44,562969.83
2022-04-18,36.44,39.68,34.83,36.07,585903.18
2022-04-25,36.08,36.75,27.66,30.86,958683.15
2022-05-02,30.84,44.9,29.24,30.98,1914814.12
2022-05-09,30.99,32.45,15.17,22.16,3069842.243
2022-05-16,22.18,22.65,18.26,21.08,934591.53
2022-05-23,21.08,21.98,18.38,20.3,925780.95
2022-05-30,20.31,23.83,19.22,19.75,604720.37
2022-06-06,19.77,21.51,14.9,15.14,672431.3
2022-06-13,15.15,16.36,12.27,13.97,1428241.88
2022-06-20,13.97,16.32,13.26,14.63,795040.49
2022-06-27,14.62,15.45,12.31,13.69,792624.31
2022-07-04,13.7,17.67,13.39,16.97,1142878.66
2022-07-11,16.97,17.37,13.58,16.55,722525.91
2022-07-18,16.55,18.5,16.15,17.0,759980.06
2022-07-25,17.01,20.41,14.59,18.94,1058315.81
2022-08-01,18.92,20.25,16.55,19.17,948680.0
2022-08-08,19.18,22.5,18.84,20.13,1278984.95
2022-08-15,20.14,21.42,15.26,16.71,1031492.3
2022-08-22,16.72,17.66,14.8,14.87,548153.24
2022-08-29,14.87,16.59,14.69,16.44,547509.34
2022-09-05,16.44,17.25,14.24,16.48,764693.36
2022-09-12,16.47,17.11,13.09,13.38,750030.85
2022-09-19,13.38,14.51,13.04,13.81,653948.37
2022-09-26,13.8,14.91,13.39,13.46,459572.57
2022-10-03,13.47,14.53,13.3,13.53,271000.83
2022-10-10,13.53,13.78,11.51,12.72,369012.07
2022-10-17,12.72,13.63,12.06,13.06,596049.38
2022-10-24,13.07,14.28,12.67,13.59,546120.18
2022-10-31,13.6,15.12,12.49,13.69,707513.3
2022-11-07,13.69,14.06,8.9,10.49,1963854.846
2022-11-14,10.48,11.33,8.72,8.78,853368.69
2022-11-21,8.78,10.14,8.35,9.57,1007030.11
2022-11-28,9.57,11.11,9.07,10.95,566515.72
2022-12-05,10.96,11.18,9.84,10.19,684994.93
2022-12-12,10.18,10.55,8.55,8.62,693640.19
2022-12-19,8.63,9.2,8.13,9.13,477227.82
2022-12-26,9.13,9.59,8.7,9.41,445466.7
2023-01-02,9.4,9.53,8.23,8.71,829434.92
2023-01-09,8.72,10.85,8.42,10.55,2338292.24
2023-01-16,10.55,11.18,9.52,10.77,2072874.07
2023-01-23,10.78,11.54,9.89,11.26,2540307.93
2023-01-30,11.26,11.3,9.7,10.32,3466315.67
2023-02-06,10.33,14.98,9.5,12.52,8295675.91
2023-02-13,12.51,15.67,11.63,12.98,7592304.34
2023-02-20,12.99,14.89,11.87,12.82,3094576.56
2023-02-27,12.83,12.87,10.3,10.72,2449084.88
2023-03-06,10.72,11.11,8.56,9.83,2246349.37
2023-03-13,9.82,11.46,9.49,10.74,2842848.11
2023-03-20,10.75,11.16,9.73,10.31,2073581.71
2023-03-27,10.31,11.15,9.55,10.88,1734740.44
2023-04-03,10.9,11.29,10.18,10.54,1144532.76
2023-04-10,10.53,11.66,10.24,11.6,1362611.85
2023-04-17,11.59,11.81,9.19,9.68,1473407.51
2023-04-24,9.69,10.28,9.0,9.69,1091726.06
2023-05-01,9.69,9.77,8.56,8.61,908870.22
2023-05-08,8.6,8.69,7.65,8.23,945640.2
2023-05-15,8.23,8.78,8.06,8.29,606955.9
2023-05-22,8.3,8.86,8.14,8.68,535486.5
2023-05-29,8.68,8.72,7.92,8.08,583221.26
